,ENSCINT00000030573_ENSCING00000024609,ENSCSAVT00000018151_ENSCSAVG00000010568,ENSCSAVT00000014016_ENSCSAVG00000008127,ENSCSAVT00000014017_ENSCSAVG00000008127,ENSCINT00000016841_ENSCING00000008245,FBtr0332095_FBgn0036516,FBtr0075592_FBgn0036516,FBtr0301186_FBgn0036516,FBtr0300329_FBgn0036516,Y71G12B.15a.1_WBGene00006702,Y71G12B.15a.2_WBGene00006702,Y71G12B.15b.1_WBGene00006702,YDR054C_mRNA_YDR054C
ENSCINT00000030573_ENSCING00000024609,1.0,0.91,0.21,0.26,0.26,0.26,0.26,0.26,0.26,0.29,0.29,0.16,0.18
ENSCSAVT00000018151_ENSCSAVG00000010568,0.91,1.0,0.2,0.25,0.25,0.27,0.27,0.27,0.27,0.3,0.3,0.17,0.17
ENSCSAVT00000014016_ENSCSAVG00000008127,0.21,0.2,1.0,0.36,0.35,0.27,0.27,0.27,0.27,0.29,0.29,0.2,0.31
ENSCSAVT00000014017_ENSCSAVG00000008127,0.26,0.25,0.36,1.0,0.58,0.34,0.34,0.34,0.34,0.34,0.34,0.25,0.31
ENSCINT00000016841_ENSCING00000008245,0.26,0.25,0.35,0.58,1.0,0.33,0.33,0.33,0.33,0.34,0.34,0.25,0.31
FBtr0332095_FBgn0036516,0.26,0.27,0.27,0.34,0.33,1.0,0.8,0.8,0.8,0.28,0.28,0.18,0.24
FBtr0075592_FBgn0036516,0.26,0.27,0.27,0.34,0.33,0.8,1.0,0.8,0.8,0.28,0.28,0.18,0.24
FBtr0301186_FBgn0036516,0.26,0.27,0.27,0.34,0.33,0.8,0.8,1.0,0.8,0.28,0.28,0.18,0.23
FBtr0300329_FBgn0036516,0.26,0.27,0.27,0.34,0.33,0.8,0.8,0.8,1.0,0.28,0.28,0.18,0.23
Y71G12B.15a.1_WBGene00006702,0.29,0.3,0.29,0.34,0.34,0.28,0.28,0.28,0.28,1.0,0.8,0.35,0.28
Y71G12B.15a.2_WBGene00006702,0.29,0.3,0.29,0.34,0.34,0.28,0.28,0.28,0.28,0.8,1.0,0.35,0.28
Y71G12B.15b.1_WBGene00006702,0.16,0.17,0.2,0.25,0.25,0.18,0.18,0.18,0.18,0.35,0.35,1.0,0.2
YDR054C_mRNA_YDR054C,0.18,0.17,0.31,0.31,0.31,0.24,0.24,0.23,0.23,0.28,0.28,0.2,1.0
