,ENSCJAT00000020472_ENSCJAG00000043494,ENSCCAT00000027293_ENSCCAG00000022693,ENSCCAT00000027307_ENSCCAG00000022693,ENSCCAT00000027312_ENSCCAG00000022693,ENSMNET00000051377_ENSMNEG00000036953,ENSMNET00000051384_ENSMNEG00000036953,ENSTGET00000027789_ENSTGEG00000018854,ENSCJAT00000067882_ENSCJAG00000041374,ENSCJAT00000068722_ENSCJAG00000041374,ENST00000400374_ENSG00000215454,ENSTGET00000028097_ENSTGEG00000019057,ENSPTRT00000074488_ENSPTRG00000039751,ENSPPAT00000041213_ENSPPAG00000032384,ENST00000334670_ENSG00000243489,ENSPPYT00000013352_ENSPPYG00000011497
ENSCJAT00000020472_ENSCJAG00000043494,1.0,0.1,0.1,1e-18,1e-18,1e-18,0.06,1e-18,1e-18,0.1,0.12,1e-18,1e-18,0.12,1e-18
ENSCCAT00000027293_ENSCCAG00000022693,0.1,1.0,0.75,1e-18,1e-18,1e-18,0.3,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCCAT00000027307_ENSCCAG00000022693,0.1,0.75,1.0,1e-18,1e-18,1e-18,0.3,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCCAT00000027312_ENSCCAG00000022693,1e-18,1e-18,1e-18,1.0,0.5,0.5,1e-18,0.17,0.17,1e-18,0.25,0.5,0.25,0.25,0.5
ENSMNET00000051377_ENSMNEG00000036953,1e-18,1e-18,1e-18,0.5,1.0,0.5,1e-18,0.17,0.17,1e-18,0.25,0.5,0.25,0.25,0.5
ENSMNET00000051384_ENSMNEG00000036953,1e-18,1e-18,1e-18,0.5,0.5,1.0,1e-18,0.17,0.17,1e-18,0.25,0.5,0.25,0.25,0.5
ENSTGET00000027789_ENSTGEG00000018854,0.06,0.3,0.3,1e-18,1e-18,1e-18,1.0,0.08,0.08,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSCJAT00000067882_ENSCJAG00000041374,1e-18,1e-18,1e-18,0.17,0.17,0.17,0.08,1.0,0.83,1e-18,0.12,0.17,0.12,0.12,0.17
ENSCJAT00000068722_ENSCJAG00000041374,1e-18,1e-18,1e-18,0.17,0.17,0.17,0.08,0.83,1.0,1e-18,0.12,0.17,0.12,0.12,0.17
ENST00000400374_ENSG00000215454,0.1,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,0.17,1e-18,1e-18,0.17,1e-18
ENSTGET00000028097_ENSTGEG00000019057,0.12,1e-18,1e-18,0.25,0.25,0.25,1e-18,0.12,0.12,0.17,1.0,0.25,0.17,0.5,0.25
ENSPTRT00000074488_ENSPTRG00000039751,1e-18,1e-18,1e-18,0.5,0.5,0.5,1e-18,0.17,0.17,1e-18,0.25,1.0,0.25,0.25,0.5
ENSPPAT00000041213_ENSPPAG00000032384,1e-18,1e-18,1e-18,0.25,0.25,0.25,1e-18,0.12,0.12,1e-18,0.17,0.25,1.0,0.17,0.25
ENST00000334670_ENSG00000243489,0.12,1e-18,1e-18,0.25,0.25,0.25,1e-18,0.12,0.12,0.17,0.5,0.25,0.17,1.0,0.25
ENSPPYT00000013352_ENSPPYG00000011497,1e-18,1e-18,1e-18,0.5,0.5,0.5,1e-18,0.17,0.17,1e-18,0.25,0.5,0.25,0.25,1.0
