,FBtr0078389_FBgn0015239,FBtr0078392_FBgn0015239,FBtr0078391_FBgn0015239,FBtr0303653_FBgn0015239,FBtr0078390_FBgn0015239,FBtr0303654_FBgn0015239,Y104H12A.1a.1_WBGene00022423,Y104H12A.1b.1_WBGene00022423,Y104H12A.1b.2_WBGene00022423,Y104H12A.1c.1_WBGene00022423,Y104H12A.1c.2_WBGene00022423,Y104H12A.1d.1_WBGene00022423,Y104H12A.1e.1_WBGene00022423,Y104H12A.1e.2_WBGene00022423,Y104H12A.1e.3_WBGene00022423,ENSCSAVT00000014985_ENSCSAVG00000008663,ENSCSAVT00000014986_ENSCSAVG00000008663,ENSCINT00000003290_ENSCING00000001639
FBtr0078389_FBgn0015239,1.0,0.7,0.7,0.7,0.7,0.7,0.19,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.13,0.23,0.13
FBtr0078392_FBgn0015239,0.7,1.0,0.7,0.7,0.7,0.7,0.19,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.13,0.23,0.13
FBtr0078391_FBgn0015239,0.7,0.7,1.0,0.7,0.7,0.7,0.19,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.13,0.23,0.13
FBtr0303653_FBgn0015239,0.7,0.7,0.7,1.0,0.7,0.7,0.19,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.13,0.23,0.13
FBtr0078390_FBgn0015239,0.7,0.7,0.7,0.7,1.0,0.7,0.19,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.13,0.23,0.13
FBtr0303654_FBgn0015239,0.7,0.7,0.7,0.7,0.7,1.0,0.19,0.24,0.24,0.22,0.22,0.21,0.22,0.22,0.22,0.13,0.23,0.13
Y104H12A.1a.1_WBGene00022423,0.19,0.19,0.19,0.19,0.19,0.19,1.0,0.7,0.7,0.63,0.63,0.58,0.6,0.6,0.6,0.18,0.26,0.17
Y104H12A.1b.1_WBGene00022423,0.24,0.24,0.24,0.24,0.24,0.24,0.7,1.0,0.89,0.76,0.76,0.68,0.72,0.72,0.72,0.21,0.3,0.2
Y104H12A.1b.2_WBGene00022423,0.24,0.24,0.24,0.24,0.24,0.24,0.7,0.89,1.0,0.76,0.76,0.68,0.72,0.72,0.72,0.21,0.3,0.2
Y104H12A.1c.1_WBGene00022423,0.22,0.22,0.22,0.22,0.22,0.22,0.63,0.76,0.76,1.0,0.87,0.72,0.78,0.78,0.78,0.19,0.27,0.19
Y104H12A.1c.2_WBGene00022423,0.22,0.22,0.22,0.22,0.22,0.22,0.63,0.76,0.76,0.87,1.0,0.72,0.78,0.78,0.78,0.19,0.27,0.19
Y104H12A.1d.1_WBGene00022423,0.21,0.21,0.21,0.21,0.21,0.21,0.58,0.68,0.68,0.72,0.72,1.0,0.77,0.77,0.77,0.19,0.27,0.19
Y104H12A.1e.1_WBGene00022423,0.22,0.22,0.22,0.22,0.22,0.22,0.6,0.72,0.72,0.78,0.78,0.77,1.0,0.85,0.85,0.18,0.25,0.17
Y104H12A.1e.2_WBGene00022423,0.22,0.22,0.22,0.22,0.22,0.22,0.6,0.72,0.72,0.78,0.78,0.77,0.85,1.0,0.85,0.18,0.25,0.17
Y104H12A.1e.3_WBGene00022423,0.22,0.22,0.22,0.22,0.22,0.22,0.6,0.72,0.72,0.78,0.78,0.77,0.85,0.85,1.0,0.18,0.25,0.17
ENSCSAVT00000014985_ENSCSAVG00000008663,0.13,0.13,0.13,0.13,0.13,0.13,0.18,0.21,0.21,0.19,0.19,0.19,0.18,0.18,0.18,1.0,0.43,0.75
ENSCSAVT00000014986_ENSCSAVG00000008663,0.23,0.23,0.23,0.23,0.23,0.23,0.26,0.3,0.3,0.27,0.27,0.27,0.25,0.25,0.25,0.43,1.0,0.39
ENSCINT00000003290_ENSCING00000001639,0.13,0.13,0.13,0.13,0.13,0.13,0.17,0.2,0.2,0.19,0.19,0.19,0.17,0.17,0.17,0.75,0.39,1.0
