,FBtr0100288_FBgn0038643,FBtr0339240_FBgn0039452,FBtr0100553_FBgn0039452,FBtr0078908_FBgn0040687,FBtr0339239_FBgn0040608,FBtr0100441_FBgn0040608,FBtr0344267_FBgn0040608,FBtr0347561_FBgn0040609,FBtr0085172_FBgn0040609,FBtr0112478_FBgn0085311,FBtr0347115_FBgn0085311,FBtr0303466_FBgn0040607,FBtr0079714_FBgn0040958,FBtr0331993_FBgn0040958,FBtr0331994_FBgn0040958,FBtr0079713_FBgn0040959
FBtr0100288_FBgn0038643,1.0,0.36,0.36,0.52,0.5,0.5,0.5,0.5,0.5,0.71,0.71,0.63,0.91,0.91,0.91,0.92
FBtr0339240_FBgn0039452,0.36,1.0,0.8,0.56,0.54,0.54,0.54,0.57,0.57,0.37,0.37,0.37,0.37,0.37,0.37,0.37
FBtr0100553_FBgn0039452,0.36,0.8,1.0,0.56,0.54,0.54,0.54,0.57,0.57,0.37,0.37,0.37,0.37,0.37,0.37,0.37
FBtr0078908_FBgn0040687,0.52,0.56,0.56,1.0,0.69,0.69,0.69,0.7,0.7,0.51,0.51,0.49,0.52,0.52,0.52,0.52
FBtr0339239_FBgn0040608,0.5,0.54,0.54,0.69,1.0,0.8,0.8,0.7,0.7,0.5,0.5,0.48,0.49,0.49,0.49,0.49
FBtr0100441_FBgn0040608,0.5,0.54,0.54,0.69,0.8,1.0,0.8,0.7,0.7,0.5,0.5,0.48,0.49,0.49,0.49,0.49
FBtr0344267_FBgn0040608,0.5,0.54,0.54,0.69,0.8,0.8,1.0,0.7,0.7,0.5,0.5,0.48,0.49,0.49,0.49,0.49
FBtr0347561_FBgn0040609,0.5,0.57,0.57,0.7,0.7,0.7,0.7,1.0,0.8,0.5,0.5,0.49,0.49,0.49,0.49,0.48
FBtr0085172_FBgn0040609,0.5,0.57,0.57,0.7,0.7,0.7,0.7,0.8,1.0,0.5,0.5,0.49,0.49,0.49,0.49,0.48
FBtr0112478_FBgn0085311,0.71,0.37,0.37,0.51,0.5,0.5,0.5,0.5,0.5,1.0,0.8,0.65,0.71,0.71,0.71,0.7
FBtr0347115_FBgn0085311,0.71,0.37,0.37,0.51,0.5,0.5,0.5,0.5,0.5,0.8,1.0,0.65,0.71,0.71,0.71,0.7
FBtr0303466_FBgn0040607,0.63,0.37,0.37,0.49,0.48,0.48,0.48,0.49,0.49,0.65,0.65,1.0,0.63,0.63,0.63,0.62
FBtr0079714_FBgn0040958,0.91,0.37,0.37,0.52,0.49,0.49,0.49,0.49,0.49,0.71,0.71,0.63,1.0,1.0,1.0,0.94
FBtr0331993_FBgn0040958,0.91,0.37,0.37,0.52,0.49,0.49,0.49,0.49,0.49,0.71,0.71,0.63,1.0,1.0,1.0,0.94
FBtr0331994_FBgn0040958,0.91,0.37,0.37,0.52,0.49,0.49,0.49,0.49,0.49,0.71,0.71,0.63,1.0,1.0,1.0,0.94
FBtr0079713_FBgn0040959,0.92,0.37,0.37,0.52,0.49,0.49,0.49,0.48,0.48,0.7,0.7,0.62,0.94,0.94,0.94,1.0
