,ENSDCDT00000029080_ENSDCDG00000016631,ENSDCDT00000029081_ENSDCDG00000016631,ENSCHAT00000057620_ENSCHAG00000024278,ENSCHAT00000057631_ENSCHAG00000024278,ENSCHAT00000057651_ENSCHAG00000024278,ENSEEET00000045841_ENSEEEG00000021397,ENSEEET00000045842_ENSEEEG00000021397,ENSEEET00000045844_ENSEEEG00000021397,ENSIPUT00000006342_ENSIPUG00000004209,ENSIPUT00000006348_ENSIPUG00000004209
ENSDCDT00000029080_ENSDCDG00000016631,1.0,0.97,0.72,0.61,0.53,0.69,0.69,0.54,0.68,0.6
ENSDCDT00000029081_ENSDCDG00000016631,0.97,1.0,0.73,0.62,0.51,0.68,0.67,0.54,0.67,0.6
ENSCHAT00000057620_ENSCHAG00000024278,0.72,0.73,1.0,0.65,0.54,0.59,0.59,0.49,0.58,0.52
ENSCHAT00000057631_ENSCHAG00000024278,0.61,0.62,0.65,1.0,0.5,0.67,0.67,0.52,0.67,0.59
ENSCHAT00000057651_ENSCHAG00000024278,0.53,0.51,0.54,0.5,1.0,0.47,0.47,0.38,0.47,0.41
ENSEEET00000045841_ENSEEEG00000021397,0.69,0.68,0.59,0.67,0.47,1.0,0.9,0.67,0.84,0.72
ENSEEET00000045842_ENSEEEG00000021397,0.69,0.67,0.59,0.67,0.47,0.9,1.0,0.67,0.83,0.72
ENSEEET00000045844_ENSEEEG00000021397,0.54,0.54,0.49,0.52,0.38,0.67,0.67,1.0,0.62,0.54
ENSIPUT00000006342_ENSIPUG00000004209,0.68,0.67,0.58,0.67,0.47,0.84,0.83,0.62,1.0,0.77
ENSIPUT00000006348_ENSIPUG00000004209,0.6,0.6,0.52,0.59,0.41,0.72,0.72,0.54,0.77,1.0
