,ENSAOWT00000014883_ENSAOWG00000008932,ENSAOWT00000014896_ENSAOWG00000008932,ENSAOWT00000014907_ENSAOWG00000008932,ENSAHAT00000030323_ENSAHAG00000018938,ENSAHAT00000030329_ENSAHAG00000018938,ENSAHAT00000030335_ENSAHAG00000018938,ENSAHAT00000030336_ENSAHAG00000018938,ENSAHAT00000030337_ENSAHAG00000018938,ENSARWT00000022914_ENSARWG00000013748,ENSARWT00000022917_ENSARWG00000013748,ENSARWT00000022941_ENSARWG00000013748,ENSARWT00000022987_ENSARWG00000013748,ENSARWT00000023015_ENSARWG00000013748,ENSNPET00000012555_ENSNPEG00000009146
ENSAOWT00000014883_ENSAOWG00000008932,1.0,0.97,0.94,0.86,0.72,0.85,0.84,0.74,0.85,0.84,0.69,0.52,0.34,0.68
ENSAOWT00000014896_ENSAOWG00000008932,0.97,1.0,0.97,0.83,0.7,0.88,0.87,0.71,0.88,0.87,0.66,0.54,0.36,0.69
ENSAOWT00000014907_ENSAOWG00000008932,0.94,0.97,1.0,0.84,0.71,0.91,0.89,0.72,0.9,0.89,0.68,0.55,0.37,0.71
ENSAHAT00000030323_ENSAHAG00000018938,0.86,0.83,0.84,1.0,0.82,0.82,0.76,0.74,0.81,0.76,0.69,0.48,0.31,0.63
ENSAHAT00000030329_ENSAHAG00000018938,0.72,0.7,0.71,0.82,1.0,0.66,0.65,0.92,0.66,0.65,0.86,0.55,0.36,0.63
ENSAHAT00000030335_ENSAHAG00000018938,0.85,0.88,0.91,0.82,0.66,1.0,0.88,0.67,0.99,0.88,0.63,0.56,0.38,0.77
ENSAHAT00000030336_ENSAHAG00000018938,0.84,0.87,0.89,0.76,0.65,0.88,1.0,0.72,0.88,0.99,0.66,0.58,0.4,0.71
ENSAHAT00000030337_ENSAHAG00000018938,0.74,0.71,0.72,0.74,0.92,0.67,0.72,1.0,0.67,0.71,0.94,0.6,0.4,0.63
ENSARWT00000022914_ENSARWG00000013748,0.85,0.88,0.9,0.81,0.66,0.99,0.88,0.67,1.0,0.88,0.63,0.56,0.38,0.77
ENSARWT00000022917_ENSARWG00000013748,0.84,0.87,0.89,0.76,0.65,0.88,0.99,0.71,0.88,1.0,0.66,0.59,0.4,0.71
ENSARWT00000022941_ENSARWG00000013748,0.69,0.66,0.68,0.69,0.86,0.63,0.66,0.94,0.63,0.66,1.0,0.64,0.4,0.59
ENSARWT00000022987_ENSARWG00000013748,0.52,0.54,0.55,0.48,0.55,0.56,0.58,0.6,0.56,0.59,0.64,1.0,0.5,0.53
ENSARWT00000023015_ENSARWG00000013748,0.34,0.36,0.37,0.31,0.36,0.38,0.4,0.4,0.38,0.4,0.4,0.5,1.0,0.37
ENSNPET00000012555_ENSNPEG00000009146,0.68,0.69,0.71,0.63,0.63,0.77,0.71,0.63,0.77,0.71,0.59,0.53,0.37,1.0
