,FBtr0302724_FBgn0261561,FBtr0303165_FBgn0261561,FBtr0335519_FBgn0261561,FBtr0302726_FBgn0261561,FBtr0302727_FBgn0261561,FBtr0302725_FBgn0261561,FBtr0087012_FBgn0050460,FBtr0087011_FBgn0050460,FBtr0113378_FBgn0050460,FBtr0302611_FBgn0050460,FBtr0087010_FBgn0050460,FBtr0273340_FBgn0050460,FBtr0273341_FBgn0050460,FBtr0087009_FBgn0050460,FBtr0300958_FBgn0050460
FBtr0302724_FBgn0261561,1.0,0.8,0.46,0.42,0.51,0.8,0.03,0.08,0.06,0.08,0.14,0.11,0.2,0.13,0.13
FBtr0303165_FBgn0261561,0.8,1.0,0.46,0.42,0.51,0.8,0.03,0.08,0.06,0.08,0.14,0.11,0.2,0.13,0.13
FBtr0335519_FBgn0261561,0.46,0.46,1.0,0.38,0.45,0.46,0.03,0.07,0.1,0.08,0.12,0.1,0.18,0.11,0.12
FBtr0302726_FBgn0261561,0.42,0.42,0.38,1.0,0.42,0.42,0.05,0.1,0.08,0.1,0.1,0.07,0.15,0.15,0.15
FBtr0302727_FBgn0261561,0.51,0.51,0.45,0.42,1.0,0.51,0.03,0.08,0.06,0.08,0.14,0.11,0.2,0.12,0.13
FBtr0302725_FBgn0261561,0.8,0.8,0.46,0.42,0.51,1.0,0.03,0.08,0.06,0.08,0.14,0.11,0.2,0.13,0.13
FBtr0087012_FBgn0050460,0.03,0.03,0.03,0.05,0.03,0.03,1.0,0.7,0.57,0.89,0.48,0.56,0.26,0.38,0.6
FBtr0087011_FBgn0050460,0.08,0.08,0.07,0.1,0.08,0.08,0.7,1.0,0.73,0.6,0.61,0.73,0.37,0.56,0.82
FBtr0113378_FBgn0050460,0.06,0.06,0.1,0.08,0.06,0.06,0.57,0.73,1.0,0.47,0.69,0.81,0.47,0.45,0.63
FBtr0302611_FBgn0050460,0.08,0.08,0.08,0.1,0.08,0.08,0.89,0.6,0.47,1.0,0.39,0.46,0.21,0.33,0.7
FBtr0087010_FBgn0050460,0.14,0.14,0.12,0.1,0.14,0.14,0.48,0.61,0.69,0.39,1.0,0.79,0.72,0.37,0.52
FBtr0273340_FBgn0050460,0.11,0.11,0.1,0.07,0.11,0.11,0.56,0.73,0.81,0.46,0.79,1.0,0.56,0.44,0.62
FBtr0273341_FBgn0050460,0.2,0.2,0.18,0.15,0.2,0.2,0.26,0.37,0.47,0.21,0.72,0.56,1.0,0.52,0.32
FBtr0087009_FBgn0050460,0.13,0.13,0.11,0.15,0.12,0.13,0.38,0.56,0.45,0.33,0.37,0.44,0.52,1.0,0.51
FBtr0300958_FBgn0050460,0.13,0.13,0.12,0.15,0.13,0.13,0.6,0.82,0.63,0.7,0.52,0.62,0.32,0.51,1.0
