,ENSSPAT00000009154_ENSSPAG00000006845,ENSSPAT00000028170_ENSSPAG00000020892,ENSAPET00000029664_ENSAPEG00000020531,ENSAPET00000027031_ENSAPEG00000018659,ENSAOCT00000005432_ENSAOCG00000009523,ENSAPET00000002982_ENSAPEG00000002100,ENSPRNT00000030149_ENSPRNG00000014162,ENSGWIT00000005942_ENSGWIG00000003020,ENSGWIT00000006114_ENSGWIG00000003130,ENSGWIT00000006124_ENSGWIG00000003142
ENSSPAT00000009154_ENSSPAG00000006845,1.0,0.43,0.57,0.39,0.33,0.23,0.44,0.5,0.5,0.5
ENSSPAT00000028170_ENSSPAG00000020892,0.43,1.0,0.75,0.33,0.5,0.35,0.5,0.43,0.43,0.43
ENSAPET00000029664_ENSAPEG00000020531,0.57,0.75,1.0,0.44,0.56,0.4,0.62,0.57,0.57,0.57
ENSAPET00000027031_ENSAPEG00000018659,0.39,0.33,0.44,1.0,0.45,0.33,0.32,0.5,0.5,0.5
ENSAOCT00000005432_ENSAOCG00000009523,0.33,0.5,0.56,0.45,1.0,0.65,0.4,0.33,0.33,0.33
ENSAPET00000002982_ENSAPEG00000002100,0.23,0.35,0.4,0.33,0.65,1.0,0.36,0.23,0.23,0.23
ENSPRNT00000030149_ENSPRNG00000014162,0.44,0.5,0.62,0.32,0.4,0.36,1.0,0.39,0.39,0.39
ENSGWIT00000005942_ENSGWIG00000003020,0.5,0.43,0.57,0.5,0.33,0.23,0.39,1.0,0.92,0.92
ENSGWIT00000006114_ENSGWIG00000003130,0.5,0.43,0.57,0.5,0.33,0.23,0.39,0.92,1.0,0.92
ENSGWIT00000006124_ENSGWIG00000003142,0.5,0.43,0.57,0.5,0.33,0.23,0.39,0.92,0.92,1.0
