,ENSCHAT00000052735_ENSCHAG00000022458,ENSCHAT00000052835_ENSCHAG00000022493,ENSCHAT00000052851_ENSCHAG00000022493,ENSCHAT00000000660_ENSCHAG00000000398,ENSCHAT00000000730_ENSCHAG00000000445,ENSCHAT00000052636_ENSCHAG00000022410,ENSCHAT00000052764_ENSCHAG00000022473,ENSCHAT00000052666_ENSCHAG00000022433,ENSCHAT00000052698_ENSCHAG00000022443,ENSDCDT00000049573_ENSDCDG00000025921,ENSDCDT00000049582_ENSDCDG00000025921,ENSPNAT00000038882_ENSPNAG00000024613,ENSPNAT00000038884_ENSPNAG00000024613,ENSPNAT00000037774_ENSPNAG00000021606,ENSAMXT00000005336_ENSAMXG00000005207,ENSAMXT00000044936_ENSAMXG00000005207
ENSCHAT00000052735_ENSCHAG00000022458,1.0,0.55,0.56,0.66,0.6,0.69,0.59,0.62,0.63,0.42,0.37,0.3,0.3,0.5,0.5,0.5
ENSCHAT00000052835_ENSCHAG00000022493,0.55,1.0,0.61,0.58,0.58,0.54,0.52,0.54,0.54,0.42,0.35,0.4,0.4,0.46,0.46,0.46
ENSCHAT00000052851_ENSCHAG00000022493,0.56,0.61,1.0,0.48,0.49,0.45,0.45,0.45,0.43,0.36,0.31,0.39,0.39,0.37,0.36,0.36
ENSCHAT00000000660_ENSCHAG00000000398,0.66,0.58,0.48,1.0,0.71,0.62,0.72,0.79,0.51,0.52,0.44,0.35,0.35,0.71,0.65,0.65
ENSCHAT00000000730_ENSCHAG00000000445,0.6,0.58,0.49,0.71,1.0,0.61,0.63,0.67,0.51,0.52,0.44,0.35,0.35,0.56,0.55,0.55
ENSCHAT00000052636_ENSCHAG00000022410,0.69,0.54,0.45,0.62,0.61,1.0,0.57,0.6,0.59,0.42,0.37,0.3,0.3,0.48,0.47,0.47
ENSCHAT00000052764_ENSCHAG00000022473,0.59,0.52,0.45,0.72,0.63,0.57,1.0,0.81,0.47,0.45,0.39,0.33,0.33,0.58,0.54,0.54
ENSCHAT00000052666_ENSCHAG00000022433,0.62,0.54,0.45,0.79,0.67,0.6,0.81,1.0,0.5,0.48,0.41,0.34,0.34,0.64,0.59,0.59
ENSCHAT00000052698_ENSCHAG00000022443,0.63,0.54,0.43,0.51,0.51,0.59,0.47,0.5,1.0,0.38,0.34,0.29,0.29,0.39,0.38,0.38
ENSDCDT00000049573_ENSDCDG00000025921,0.42,0.42,0.36,0.52,0.52,0.42,0.45,0.48,0.38,1.0,0.68,0.37,0.37,0.49,0.49,0.49
ENSDCDT00000049582_ENSDCDG00000025921,0.37,0.35,0.31,0.44,0.44,0.37,0.39,0.41,0.34,0.68,1.0,0.31,0.31,0.41,0.4,0.4
ENSPNAT00000038882_ENSPNAG00000024613,0.3,0.4,0.39,0.35,0.35,0.3,0.33,0.34,0.29,0.37,0.31,1.0,0.88,0.48,0.41,0.41
ENSPNAT00000038884_ENSPNAG00000024613,0.3,0.4,0.39,0.35,0.35,0.3,0.33,0.34,0.29,0.37,0.31,0.88,1.0,0.48,0.41,0.41
ENSPNAT00000037774_ENSPNAG00000021606,0.5,0.46,0.37,0.71,0.56,0.48,0.58,0.64,0.39,0.49,0.41,0.48,0.48,1.0,0.74,0.74
ENSAMXT00000005336_ENSAMXG00000005207,0.5,0.46,0.36,0.65,0.55,0.47,0.54,0.59,0.38,0.49,0.4,0.41,0.41,0.74,1.0,0.85
ENSAMXT00000044936_ENSAMXG00000005207,0.5,0.46,0.36,0.65,0.55,0.47,0.54,0.59,0.38,0.49,0.4,0.41,0.41,0.74,0.85,1.0
