,FBtr0084002_FBgn0026056,FBtr0336772_FBgn0026056,T23G11.5a.1_WBGene00011970,T23G11.5b.1_WBGene00011970,T23G11.5b.2_WBGene00011970,ENSPMAT00000004084_ENSPMAG00000003732,ENSEBUT00000003480_ENSEBUG00000002302,ENSPKIT00000007116_ENSPKIG00000008882,ENSPKIT00000007142_ENSPKIG00000008882,ENSSFOT00015020655_ENSSFOG00015013129,ENSPKIT00000041402_ENSPKIG00000003030,ENSAMXT00000048541_ENSAMXG00000041416,ENSAMXT00000037208_ENSAMXG00000041416
FBtr0084002_FBgn0026056,1.0,1.0,0.07,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04
FBtr0336772_FBgn0026056,1.0,1.0,0.07,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04
T23G11.5a.1_WBGene00011970,0.07,0.07,1.0,0.5,0.5,0.12,0.18,0.12,0.15,0.12,0.12,0.12,0.12
T23G11.5b.1_WBGene00011970,0.04,0.04,0.5,1.0,0.83,0.14,0.15,0.15,0.18,0.15,0.15,0.14,0.14
T23G11.5b.2_WBGene00011970,0.04,0.04,0.5,0.83,1.0,0.14,0.15,0.15,0.18,0.15,0.15,0.14,0.14
ENSPMAT00000004084_ENSPMAG00000003732,0.04,0.04,0.12,0.14,0.14,1.0,0.4,0.56,0.45,0.56,0.3,0.5,0.5
ENSEBUT00000003480_ENSEBUG00000002302,0.04,0.04,0.18,0.15,0.15,0.4,1.0,0.44,0.36,0.44,0.39,0.4,0.4
ENSPKIT00000007116_ENSPKIG00000008882,0.04,0.04,0.12,0.15,0.15,0.56,0.44,1.0,0.5,0.62,0.33,0.56,0.56
ENSPKIT00000007142_ENSPKIG00000008882,0.03,0.03,0.15,0.18,0.18,0.45,0.36,0.5,1.0,0.5,0.27,0.45,0.45
ENSSFOT00015020655_ENSSFOG00015013129,0.04,0.04,0.12,0.15,0.15,0.56,0.44,0.62,0.5,1.0,0.33,0.56,0.56
ENSPKIT00000041402_ENSPKIG00000003030,0.04,0.04,0.12,0.15,0.15,0.3,0.39,0.33,0.27,0.33,1.0,0.3,0.3
ENSAMXT00000048541_ENSAMXG00000041416,0.04,0.04,0.12,0.14,0.14,0.5,0.4,0.56,0.45,0.56,0.3,1.0,0.67
ENSAMXT00000037208_ENSAMXG00000041416,0.04,0.04,0.12,0.14,0.14,0.5,0.4,0.56,0.45,0.56,0.3,0.67,1.0
