,ENSCHAT00000059820_ENSCHAG00000025049,ENSCHAT00000059859_ENSCHAG00000025049,ENSCHAT00000060012_ENSCHAG00000025049,ENSCHAT00000060018_ENSCHAG00000025049,ENSCHAT00000060066_ENSCHAG00000025049,ENSCHAT00000060132_ENSCHAG00000025049,ENSCHAT00000060149_ENSCHAG00000025049,ENSDCDT00000043025_ENSDCDG00000022663,ENSDCDT00000043031_ENSDCDG00000022663,ENSDCDT00000043037_ENSDCDG00000022663,ENSDCDT00000043254_ENSDCDG00000022663,ENSDCDT00000043341_ENSDCDG00000022663,ENSDCDT00000043442_ENSDCDG00000022663,ENSIPUT00000018861_ENSIPUG00000012243,ENSEEET00000003775_ENSEEEG00000002012,ENSEEET00000003777_ENSEEEG00000002012,ENSAMXT00000054315_ENSAMXG00000012967,ENSAMXT00000013353_ENSAMXG00000012967
ENSCHAT00000059820_ENSCHAG00000025049,1.0,0.88,0.92,0.88,0.81,0.79,0.86,0.93,0.89,0.88,0.85,0.8,0.77,0.85,0.84,0.86,0.86,0.84
ENSCHAT00000059859_ENSCHAG00000025049,0.88,1.0,0.88,0.85,0.78,0.76,0.82,0.84,0.83,0.82,0.81,0.78,0.75,0.83,0.84,0.82,0.82,0.81
ENSCHAT00000060012_ENSCHAG00000025049,0.92,0.88,1.0,0.95,0.86,0.84,0.92,0.87,0.87,0.88,0.86,0.83,0.8,0.9,0.85,0.9,0.86,0.88
ENSCHAT00000060018_ENSCHAG00000025049,0.88,0.85,0.95,1.0,0.85,0.83,0.91,0.84,0.83,0.85,0.85,0.83,0.79,0.86,0.82,0.86,0.82,0.84
ENSCHAT00000060066_ENSCHAG00000025049,0.81,0.78,0.86,0.85,1.0,0.87,0.87,0.77,0.77,0.78,0.8,0.8,0.77,0.79,0.76,0.81,0.77,0.78
ENSCHAT00000060132_ENSCHAG00000025049,0.79,0.76,0.84,0.83,0.87,1.0,0.84,0.75,0.75,0.76,0.78,0.77,0.74,0.76,0.74,0.78,0.74,0.75
ENSCHAT00000060149_ENSCHAG00000025049,0.86,0.82,0.92,0.91,0.87,0.84,1.0,0.82,0.81,0.83,0.84,0.86,0.85,0.83,0.8,0.85,0.8,0.82
ENSDCDT00000043025_ENSDCDG00000022663,0.93,0.84,0.87,0.84,0.77,0.75,0.82,1.0,0.95,0.94,0.9,0.84,0.8,0.85,0.84,0.86,0.86,0.84
ENSDCDT00000043031_ENSDCDG00000022663,0.89,0.83,0.87,0.83,0.77,0.75,0.81,0.95,1.0,0.97,0.89,0.83,0.8,0.85,0.84,0.86,0.86,0.84
ENSDCDT00000043037_ENSDCDG00000022663,0.88,0.82,0.88,0.85,0.78,0.76,0.83,0.94,0.97,1.0,0.88,0.85,0.82,0.86,0.82,0.87,0.85,0.85
ENSDCDT00000043254_ENSDCDG00000022663,0.85,0.81,0.86,0.85,0.8,0.78,0.84,0.9,0.89,0.88,1.0,0.87,0.83,0.85,0.82,0.86,0.86,0.83
ENSDCDT00000043341_ENSDCDG00000022663,0.8,0.78,0.83,0.83,0.8,0.77,0.86,0.84,0.83,0.85,0.87,1.0,0.93,0.86,0.78,0.83,0.87,0.89
ENSDCDT00000043442_ENSDCDG00000022663,0.77,0.75,0.8,0.79,0.77,0.74,0.85,0.8,0.8,0.82,0.83,0.93,1.0,0.82,0.75,0.8,0.83,0.85
ENSIPUT00000018861_ENSIPUG00000012243,0.85,0.83,0.9,0.86,0.79,0.76,0.83,0.85,0.85,0.86,0.85,0.86,0.82,1.0,0.84,0.91,0.9,0.93
ENSEEET00000003775_ENSEEEG00000002012,0.84,0.84,0.85,0.82,0.76,0.74,0.8,0.84,0.84,0.82,0.82,0.78,0.75,0.84,1.0,0.9,0.84,0.83
ENSEEET00000003777_ENSEEEG00000002012,0.86,0.82,0.9,0.86,0.81,0.78,0.85,0.86,0.86,0.87,0.86,0.83,0.8,0.91,0.9,1.0,0.88,0.89
ENSAMXT00000054315_ENSAMXG00000012967,0.86,0.82,0.86,0.82,0.77,0.74,0.8,0.86,0.86,0.85,0.86,0.87,0.83,0.9,0.84,0.88,1.0,0.96
ENSAMXT00000013353_ENSAMXG00000012967,0.84,0.81,0.88,0.84,0.78,0.75,0.82,0.84,0.84,0.85,0.83,0.89,0.85,0.93,0.83,0.89,0.96,1.0
