,ENSCINT00000013895_ENSCING00000006772,ENSCSAVT00000014464_ENSCSAVG00000008372,ENSCSAVT00000014465_ENSCSAVG00000008372,ENSCINT00000011066_ENSCING00000005383,ENSCINT00000013465_ENSCING00000006549,ENSCSAVT00000014117_ENSCSAVG00000008181,ENSCSAVT00000014118_ENSCSAVG00000008181,ENSCINT00000013490_ENSCING00000006564,ENSCSAVT00000014544_ENSCSAVG00000008422,ENSCINT00000034576_ENSCING00000018253,ENSCSAVT00000014520_ENSCSAVG00000008410,FBtr0075186_FBgn0052183
ENSCINT00000013895_ENSCING00000006772,1.0,0.68,0.63,0.61,0.66,0.7,0.65,0.73,0.65,0.58,0.57,0.58
ENSCSAVT00000014464_ENSCSAVG00000008372,0.68,1.0,0.74,0.63,0.68,0.68,0.64,0.68,0.64,0.58,0.58,0.57
ENSCSAVT00000014465_ENSCSAVG00000008372,0.63,0.74,1.0,0.69,0.65,0.63,0.62,0.63,0.63,0.61,0.6,0.55
ENSCINT00000011066_ENSCING00000005383,0.61,0.63,0.69,1.0,0.68,0.6,0.6,0.61,0.6,0.59,0.58,0.57
ENSCINT00000013465_ENSCING00000006549,0.66,0.68,0.65,0.68,1.0,0.7,0.68,0.69,0.67,0.59,0.59,0.6
ENSCSAVT00000014117_ENSCSAVG00000008181,0.7,0.68,0.63,0.6,0.7,1.0,0.7,0.74,0.68,0.57,0.57,0.58
ENSCSAVT00000014118_ENSCSAVG00000008181,0.65,0.64,0.62,0.6,0.68,0.7,1.0,0.68,0.68,0.59,0.59,0.57
ENSCINT00000013490_ENSCING00000006564,0.73,0.68,0.63,0.61,0.69,0.74,0.68,1.0,0.71,0.58,0.58,0.58
ENSCSAVT00000014544_ENSCSAVG00000008422,0.65,0.64,0.63,0.6,0.67,0.68,0.68,0.71,1.0,0.58,0.58,0.57
ENSCINT00000034576_ENSCING00000018253,0.58,0.58,0.61,0.59,0.59,0.57,0.59,0.58,0.58,1.0,0.79,0.55
ENSCSAVT00000014520_ENSCSAVG00000008410,0.57,0.58,0.6,0.58,0.59,0.57,0.59,0.58,0.58,0.79,1.0,0.55
FBtr0075186_FBgn0052183,0.58,0.57,0.55,0.57,0.6,0.58,0.57,0.58,0.57,0.55,0.55,1.0
