,ENSXMAT00000007027_ENSXMAG00000007011,ENSXMAT00000035701_ENSXMAG00000007011,ENSFHET00000004262_ENSFHEG00000008255,ENSFHET00000004273_ENSFHEG00000008255,ENSOMET00000028142_ENSOMEG00000020719,ENSACLT00000035924_ENSACLG00000023770,ENSMZET00005028194_ENSMZEG00005020383,ENSHBUT00000016581_ENSHBUG00000011399,ENSHBUT00000016588_ENSHBUG00000011399,ENSHBUT00000031466_ENSHBUG00000011399
ENSXMAT00000007027_ENSXMAG00000007011,1.0,0.88,0.45,0.38,0.35,0.36,0.36,0.42,0.39,0.24
ENSXMAT00000035701_ENSXMAG00000007011,0.88,1.0,0.43,0.36,0.31,0.34,0.34,0.39,0.36,0.21
ENSFHET00000004262_ENSFHEG00000008255,0.45,0.43,1.0,0.91,0.66,0.74,0.74,0.54,0.62,0.61
ENSFHET00000004273_ENSFHEG00000008255,0.38,0.36,0.91,1.0,0.67,0.66,0.66,0.48,0.55,0.61
ENSOMET00000028142_ENSOMEG00000020719,0.35,0.31,0.66,0.67,1.0,0.65,0.65,0.45,0.52,0.6
ENSACLT00000035924_ENSACLG00000023770,0.36,0.34,0.74,0.66,0.65,1.0,0.98,0.74,0.81,0.82
ENSMZET00005028194_ENSMZEG00005020383,0.36,0.34,0.74,0.66,0.65,0.98,1.0,0.74,0.81,0.82
ENSHBUT00000016581_ENSHBUG00000011399,0.42,0.39,0.54,0.48,0.45,0.74,0.74,1.0,0.91,0.6
ENSHBUT00000016588_ENSHBUG00000011399,0.39,0.36,0.62,0.55,0.52,0.81,0.81,0.91,1.0,0.67
ENSHBUT00000031466_ENSHBUG00000011399,0.24,0.21,0.61,0.61,0.6,0.82,0.82,0.6,0.67,1.0
