,ENSAOWT00000026077_ENSAOWG00000015518,ENSAOWT00000026230_ENSAOWG00000015518,ENSAOWT00000026318_ENSAOWG00000015518,ENSAOWT00000026323_ENSAOWG00000015518,ENSAOWT00000026381_ENSAOWG00000015518,ENSAOWT00000026389_ENSAOWG00000015518,ENSARWT00000019757_ENSARWG00000011939,ENSARWT00000019828_ENSARWG00000011939,ENSARWT00000019829_ENSARWG00000011939,ENSARWT00000019925_ENSARWG00000011939,ENSARWT00000020006_ENSARWG00000011939,ENSARWT00000020043_ENSARWG00000011939,ENSAHAT00000011774_ENSAHAG00000006314,ENSAHAT00000011788_ENSAHAG00000006314,ENSAHAT00000011789_ENSAHAG00000006314,ENSAHAT00000011862_ENSAHAG00000006314,ENSDNVT00000013596_ENSDNVG00000007965,ENSDNVT00000013611_ENSDNVG00000007965,ENSDNVT00000013616_ENSDNVG00000007965
ENSAOWT00000026077_ENSAOWG00000015518,1.0,0.78,0.64,0.6,0.54,0.72,0.78,0.64,0.6,0.54,1.0,0.72,0.64,0.72,0.6,0.72,0.75,0.74,0.71
ENSAOWT00000026230_ENSAOWG00000015518,0.78,1.0,0.84,0.79,0.69,0.7,1.0,0.84,0.79,0.69,0.78,0.7,0.84,0.92,0.79,0.7,0.93,0.84,0.89
ENSAOWT00000026318_ENSAOWG00000015518,0.64,0.84,1.0,0.85,0.71,0.76,0.84,1.0,0.85,0.7,0.64,0.76,1.0,0.78,0.85,0.76,0.78,0.71,0.83
ENSAOWT00000026323_ENSAOWG00000015518,0.6,0.79,0.85,1.0,0.74,0.72,0.79,0.85,1.0,0.74,0.6,0.72,0.85,0.8,1.0,0.72,0.73,0.66,0.71
ENSAOWT00000026381_ENSAOWG00000015518,0.54,0.69,0.71,0.74,1.0,0.61,0.69,0.71,0.74,0.9,0.54,0.61,0.71,0.7,0.74,0.61,0.64,0.58,0.61
ENSAOWT00000026389_ENSAOWG00000015518,0.72,0.7,0.76,0.72,0.61,1.0,0.7,0.76,0.72,0.6,0.72,1.0,0.76,0.65,0.72,1.0,0.66,0.59,0.64
ENSARWT00000019757_ENSARWG00000011939,0.78,1.0,0.84,0.79,0.69,0.7,1.0,0.84,0.79,0.69,0.78,0.7,0.84,0.92,0.79,0.7,0.93,0.84,0.89
ENSARWT00000019828_ENSARWG00000011939,0.64,0.84,1.0,0.85,0.71,0.76,0.84,1.0,0.85,0.7,0.64,0.76,1.0,0.78,0.85,0.76,0.78,0.71,0.83
ENSARWT00000019829_ENSARWG00000011939,0.6,0.79,0.85,1.0,0.74,0.72,0.79,0.85,1.0,0.74,0.6,0.72,0.85,0.8,1.0,0.72,0.73,0.66,0.71
ENSARWT00000019925_ENSARWG00000011939,0.54,0.69,0.7,0.74,0.9,0.6,0.69,0.7,0.74,1.0,0.54,0.6,0.7,0.74,0.74,0.6,0.64,0.57,0.61
ENSARWT00000020006_ENSARWG00000011939,1.0,0.78,0.64,0.6,0.54,0.72,0.78,0.64,0.6,0.54,1.0,0.72,0.64,0.72,0.6,0.72,0.75,0.74,0.71
ENSARWT00000020043_ENSARWG00000011939,0.72,0.7,0.76,0.72,0.61,1.0,0.7,0.76,0.72,0.6,0.72,1.0,0.76,0.65,0.72,1.0,0.66,0.59,0.64
ENSAHAT00000011774_ENSAHAG00000006314,0.64,0.84,1.0,0.85,0.71,0.76,0.84,1.0,0.85,0.7,0.64,0.76,1.0,0.78,0.85,0.76,0.78,0.71,0.83
ENSAHAT00000011788_ENSAHAG00000006314,0.72,0.92,0.78,0.8,0.7,0.65,0.92,0.78,0.8,0.74,0.72,0.65,0.78,1.0,0.8,0.65,0.85,0.78,0.83
ENSAHAT00000011789_ENSAHAG00000006314,0.6,0.79,0.85,1.0,0.74,0.72,0.79,0.85,1.0,0.74,0.6,0.72,0.85,0.8,1.0,0.72,0.73,0.66,0.71
ENSAHAT00000011862_ENSAHAG00000006314,0.72,0.7,0.76,0.72,0.61,1.0,0.7,0.76,0.72,0.6,0.72,1.0,0.76,0.65,0.72,1.0,0.66,0.59,0.64
ENSDNVT00000013596_ENSDNVG00000007965,0.75,0.93,0.78,0.73,0.64,0.66,0.93,0.78,0.73,0.64,0.75,0.66,0.78,0.85,0.73,0.66,1.0,0.79,0.84
ENSDNVT00000013611_ENSDNVG00000007965,0.74,0.84,0.71,0.66,0.58,0.59,0.84,0.71,0.66,0.57,0.74,0.59,0.71,0.78,0.66,0.59,0.79,1.0,0.87
ENSDNVT00000013616_ENSDNVG00000007965,0.71,0.89,0.83,0.71,0.61,0.64,0.89,0.83,0.71,0.61,0.71,0.64,0.83,0.83,0.71,0.64,0.84,0.87,1.0
