,F32D8.12a.1_WBGene00009334,F32D8.12a.2_WBGene00009334,F32D8.12b.1_WBGene00009334,F32D8.12b.2_WBGene00009334,F32D8.12c.1_WBGene00009334,F32D8.12c.2_WBGene00009334,F32D8.12c.3_WBGene00009334,F32D8.4.1_WBGene00009329,ENSDCDT00000016509_ENSDCDG00000008726,ENSDCDT00000016516_ENSDCDG00000008726,ENSDCDT00000016518_ENSDCDG00000008726,ENSCHAT00000033424_ENSCHAG00000014377,ENSCHAT00000033483_ENSCHAG00000014377,ENSEEET00000029517_ENSEEEG00000013931,ENSEEET00000029532_ENSEEEG00000013931,ENSEEET00000029547_ENSEEEG00000013931,ENSIPUT00000012606_ENSIPUG00000008187,ENSIPUT00000012640_ENSIPUG00000008187,ENSAMXT00000054279_ENSAMXG00000040441,ENSAMXT00000040981_ENSAMXG00000040441,ENSPNAT00000038460_ENSPNAG00000023519
F32D8.12a.1_WBGene00009334,1.0,0.89,0.89,0.89,0.82,0.82,0.82,0.33,0.46,0.5,0.52,0.52,0.52,0.5,0.52,0.51,0.52,0.52,0.52,0.53,0.52
F32D8.12a.2_WBGene00009334,0.89,1.0,0.89,0.89,0.82,0.82,0.82,0.33,0.46,0.5,0.52,0.52,0.52,0.5,0.52,0.51,0.52,0.52,0.52,0.53,0.52
F32D8.12b.1_WBGene00009334,0.89,0.89,1.0,0.89,0.82,0.82,0.82,0.33,0.46,0.5,0.52,0.52,0.52,0.5,0.52,0.5,0.52,0.52,0.52,0.53,0.52
F32D8.12b.2_WBGene00009334,0.89,0.89,0.89,1.0,0.82,0.82,0.82,0.33,0.46,0.5,0.52,0.52,0.52,0.5,0.52,0.5,0.52,0.52,0.52,0.53,0.52
F32D8.12c.1_WBGene00009334,0.82,0.82,0.82,0.82,1.0,0.94,0.94,0.35,0.41,0.46,0.47,0.47,0.47,0.47,0.47,0.46,0.47,0.47,0.47,0.47,0.47
F32D8.12c.2_WBGene00009334,0.82,0.82,0.82,0.82,0.94,1.0,0.94,0.35,0.41,0.46,0.47,0.47,0.47,0.47,0.47,0.46,0.47,0.47,0.47,0.47,0.47
F32D8.12c.3_WBGene00009334,0.82,0.82,0.82,0.82,0.94,0.94,1.0,0.35,0.41,0.46,0.47,0.47,0.47,0.47,0.47,0.46,0.47,0.47,0.47,0.47,0.47
F32D8.4.1_WBGene00009329,0.33,0.33,0.33,0.33,0.35,0.35,0.35,1.0,0.28,0.31,0.31,0.31,0.3,0.28,0.31,0.31,0.31,0.31,0.31,0.29,0.31
ENSDCDT00000016509_ENSDCDG00000008726,0.46,0.46,0.46,0.46,0.41,0.41,0.41,0.28,1.0,0.73,0.73,0.7,0.57,0.62,0.7,0.67,0.7,0.7,0.7,0.65,0.7
ENSDCDT00000016516_ENSDCDG00000008726,0.5,0.5,0.5,0.5,0.46,0.46,0.46,0.31,0.73,1.0,0.8,0.78,0.62,0.68,0.78,0.74,0.77,0.77,0.78,0.71,0.78
ENSDCDT00000016518_ENSDCDG00000008726,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.31,0.73,0.8,1.0,0.82,0.64,0.71,0.82,0.78,0.82,0.82,0.82,0.75,0.82
ENSCHAT00000033424_ENSCHAG00000014377,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.31,0.7,0.78,0.82,1.0,0.66,0.72,0.82,0.78,0.82,0.82,0.82,0.75,0.82
ENSCHAT00000033483_ENSCHAG00000014377,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.3,0.57,0.62,0.64,0.66,1.0,0.62,0.64,0.62,0.64,0.64,0.64,0.64,0.64
ENSEEET00000029517_ENSEEEG00000013931,0.5,0.5,0.5,0.5,0.47,0.47,0.47,0.28,0.62,0.68,0.71,0.72,0.62,1.0,0.74,0.71,0.72,0.72,0.72,0.72,0.72
ENSEEET00000029532_ENSEEEG00000013931,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.31,0.7,0.78,0.82,0.82,0.64,0.74,1.0,0.81,0.83,0.83,0.83,0.76,0.83
ENSEEET00000029547_ENSEEEG00000013931,0.51,0.51,0.5,0.5,0.46,0.46,0.46,0.31,0.67,0.74,0.78,0.78,0.62,0.71,0.81,1.0,0.78,0.78,0.78,0.72,0.78
ENSIPUT00000012606_ENSIPUG00000008187,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.31,0.7,0.77,0.82,0.82,0.64,0.72,0.83,0.78,1.0,0.85,0.83,0.76,0.82
ENSIPUT00000012640_ENSIPUG00000008187,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.31,0.7,0.77,0.82,0.82,0.64,0.72,0.83,0.78,0.85,1.0,0.83,0.76,0.82
ENSAMXT00000054279_ENSAMXG00000040441,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.31,0.7,0.78,0.82,0.82,0.64,0.72,0.83,0.78,0.83,0.83,1.0,0.78,0.84
ENSAMXT00000040981_ENSAMXG00000040441,0.53,0.53,0.53,0.53,0.47,0.47,0.47,0.29,0.65,0.71,0.75,0.75,0.64,0.72,0.76,0.72,0.76,0.76,0.78,1.0,0.76
ENSPNAT00000038460_ENSPNAG00000023519,0.52,0.52,0.52,0.52,0.47,0.47,0.47,0.31,0.7,0.78,0.82,0.82,0.64,0.72,0.83,0.78,0.82,0.82,0.84,0.76,1.0
