,ENSPPAT00000041673_ENSPPAG00000032627,ENSPPAT00000041681_ENSPPAG00000032627,ENSPTRT00000020005_ENSPTRG00000010811,ENSPTRT00000106723_ENSPTRG00000010811,ENSGGOT00000064619_ENSGGOG00000009581,ENSGGOT00000009619_ENSGGOG00000009581,ENSMMUT00000066909_ENSMMUG00000011319,ENSMMUT00000084807_ENSMMUG00000011319,ENSMMUT00000015849_ENSMMUG00000011319,ENSMNET00000066413_ENSMNEG00000043755,ENSMNET00000066414_ENSMNEG00000043755,ENSMNET00000066417_ENSMNEG00000043755,ENSMNET00000066423_ENSMNEG00000043755,ENSMFAT00000031584_ENSMFAG00000043393,ENSMFAT00000031592_ENSMFAG00000043393,ENSMFAT00000031597_ENSMFAG00000043393,ENSPTET00000002534_ENSPTEG00000001916,ENSPTET00000002537_ENSPTEG00000001916,ENSPTET00000002543_ENSPTEG00000001916,ENSRROT00000040533_ENSRROG00000032340,ENSCATT00000000198_ENSCATG00000000033,ENSCATT00000000241_ENSCATG00000000033,ENSTGET00000021707_ENSTGEG00000014704,ENSTGET00000021727_ENSTGEG00000014704,ENSTGET00000021729_ENSTGEG00000014704,ENSANAT00000024095_ENSANAG00000021243,ENSANAT00000024106_ENSANAG00000021243
ENSPPAT00000041673_ENSPPAG00000032627,1.0,0.12,0.86,0.12,0.11,0.86,0.86,0.86,0.86,0.16,0.16,0.59,0.12,0.16,0.86,0.59,0.11,0.85,0.12,0.85,0.86,0.12,0.86,0.16,0.12,0.85,0.12
ENSPPAT00000041681_ENSPPAG00000032627,0.12,1.0,0.12,1.0,0.8,0.12,0.12,0.12,0.12,0.71,0.71,0.06,1.0,0.71,0.12,0.06,0.72,0.13,1.0,0.13,0.12,1.0,0.12,0.71,1.0,0.12,1.0
ENSPTRT00000020005_ENSPTRG00000010811,0.86,0.12,1.0,0.12,0.11,0.86,0.86,0.86,0.86,0.16,0.16,0.59,0.12,0.16,0.86,0.59,0.11,0.85,0.12,0.85,0.86,0.12,0.86,0.16,0.12,0.85,0.12
ENSPTRT00000106723_ENSPTRG00000010811,0.12,1.0,0.12,1.0,0.8,0.12,0.12,0.12,0.12,0.71,0.71,0.06,1.0,0.71,0.12,0.06,0.72,0.13,1.0,0.13,0.12,1.0,0.12,0.71,1.0,0.12,1.0
ENSGGOT00000064619_ENSGGOG00000009581,0.11,0.8,0.11,0.8,1.0,0.11,0.11,0.11,0.11,0.58,0.58,0.06,0.8,0.58,0.11,0.06,0.58,0.12,0.8,0.12,0.11,0.8,0.11,0.58,0.8,0.11,0.8
ENSGGOT00000009619_ENSGGOG00000009581,0.86,0.12,0.86,0.12,0.11,1.0,0.86,0.86,0.86,0.16,0.16,0.59,0.12,0.16,0.86,0.59,0.11,0.85,0.12,0.85,0.86,0.12,0.86,0.16,0.12,0.85,0.12
ENSMMUT00000066909_ENSMMUG00000011319,0.86,0.12,0.86,0.12,0.11,0.86,1.0,0.86,0.86,0.16,0.16,0.6,0.12,0.16,0.86,0.6,0.11,0.85,0.12,0.85,0.86,0.12,0.86,0.16,0.12,0.85,0.12
ENSMMUT00000084807_ENSMMUG00000011319,0.86,0.12,0.86,0.12,0.11,0.86,0.86,1.0,0.86,0.16,0.16,0.6,0.12,0.16,0.86,0.6,0.11,0.85,0.12,0.85,0.86,0.12,0.86,0.16,0.12,0.85,0.12
ENSMMUT00000015849_ENSMMUG00000011319,0.86,0.12,0.86,0.12,0.11,0.86,0.86,0.86,1.0,0.16,0.16,0.6,0.12,0.16,0.86,0.6,0.11,0.85,0.12,0.85,0.86,0.12,0.86,0.16,0.12,0.85,0.12
ENSMNET00000066413_ENSMNEG00000043755,0.16,0.71,0.16,0.71,0.58,0.16,0.16,0.16,0.16,1.0,0.92,0.08,0.72,0.92,0.16,0.08,0.7,0.16,0.71,0.16,0.15,0.71,0.15,0.92,0.71,0.15,0.71
ENSMNET00000066414_ENSMNEG00000043755,0.16,0.71,0.16,0.71,0.58,0.16,0.16,0.16,0.16,0.92,1.0,0.08,0.72,0.92,0.16,0.08,0.7,0.16,0.71,0.16,0.15,0.71,0.15,0.92,0.71,0.15,0.71
ENSMNET00000066417_ENSMNEG00000043755,0.59,0.06,0.59,0.06,0.06,0.59,0.6,0.6,0.6,0.08,0.08,1.0,0.06,0.08,0.6,0.86,0.05,0.58,0.06,0.58,0.59,0.06,0.59,0.08,0.06,0.58,0.06
ENSMNET00000066423_ENSMNEG00000043755,0.12,1.0,0.12,1.0,0.8,0.12,0.12,0.12,0.12,0.72,0.72,0.06,1.0,0.72,0.12,0.06,0.72,0.13,1.0,0.13,0.12,1.0,0.12,0.71,1.0,0.12,1.0
ENSMFAT00000031584_ENSMFAG00000043393,0.16,0.71,0.16,0.71,0.58,0.16,0.16,0.16,0.16,0.92,0.92,0.08,0.72,1.0,0.16,0.08,0.7,0.16,0.71,0.16,0.15,0.71,0.15,0.92,0.71,0.15,0.71
ENSMFAT00000031592_ENSMFAG00000043393,0.86,0.12,0.86,0.12,0.11,0.86,0.86,0.86,0.86,0.16,0.16,0.6,0.12,0.16,1.0,0.6,0.11,0.85,0.12,0.85,0.86,0.12,0.86,0.16,0.12,0.85,0.12
ENSMFAT00000031597_ENSMFAG00000043393,0.59,0.06,0.59,0.06,0.06,0.59,0.6,0.6,0.6,0.08,0.08,0.86,0.06,0.08,0.6,1.0,0.05,0.58,0.06,0.58,0.59,0.06,0.59,0.08,0.06,0.58,0.06
ENSPTET00000002534_ENSPTEG00000001916,0.11,0.72,0.11,0.72,0.58,0.11,0.11,0.11,0.11,0.7,0.7,0.05,0.72,0.7,0.11,0.05,1.0,0.12,0.72,0.12,0.11,0.72,0.11,0.7,0.72,0.1,0.72
ENSPTET00000002537_ENSPTEG00000001916,0.85,0.13,0.85,0.13,0.12,0.85,0.85,0.85,0.85,0.16,0.16,0.58,0.13,0.16,0.85,0.58,0.12,1.0,0.13,0.86,0.85,0.13,0.85,0.16,0.13,0.84,0.13
ENSPTET00000002543_ENSPTEG00000001916,0.12,1.0,0.12,1.0,0.8,0.12,0.12,0.12,0.12,0.71,0.71,0.06,1.0,0.71,0.12,0.06,0.72,0.13,1.0,0.13,0.12,1.0,0.12,0.71,1.0,0.12,1.0
ENSRROT00000040533_ENSRROG00000032340,0.85,0.13,0.85,0.13,0.12,0.85,0.85,0.85,0.85,0.16,0.16,0.58,0.13,0.16,0.85,0.58,0.12,0.86,0.13,1.0,0.85,0.13,0.85,0.16,0.13,0.84,0.13
ENSCATT00000000198_ENSCATG00000000033,0.86,0.12,0.86,0.12,0.11,0.86,0.86,0.86,0.86,0.15,0.15,0.59,0.12,0.15,0.86,0.59,0.11,0.85,0.12,0.85,1.0,0.12,0.86,0.15,0.12,0.85,0.12
ENSCATT00000000241_ENSCATG00000000033,0.12,1.0,0.12,1.0,0.8,0.12,0.12,0.12,0.12,0.71,0.71,0.06,1.0,0.71,0.12,0.06,0.72,0.13,1.0,0.13,0.12,1.0,0.12,0.71,1.0,0.12,1.0
