,ENSMEUT00000013746_ENSMEUG00000013696,ENSVURT00010019708_ENSVURG00010013248,ENSMODT00000020462_ENSMODG00000016102,ENSMICT00000073064_ENSMICG00000048868,ENSMICT00000072789_ENSMICG00000048868,ENSMICT00000072489_ENSMICG00000048868,ENSPCOT00000019731_ENSPCOG00000015937,ENSPCOT00000019733_ENSPCOG00000015937,ENSPSMT00000040360_ENSPSMG00000024118,ENSPSMT00000040361_ENSPSMG00000024118,ENSPSMT00000040362_ENSPSMG00000024118,ENSOGAT00000009460_ENSOGAG00000009457,ENSPTRT00000111095_ENSPTRG00000015608,ENSPTRT00000067985_ENSPTRG00000015608,ENSPTRT00000090932_ENSPTRG00000015608,ENSPTRT00000078231_ENSPTRG00000015608,ENSPPAT00000043775_ENSPPAG00000033721,ENST00000316428_ENSG00000114248,ENST00000264676_ENSG00000114248,ENST00000523069_ENSG00000114248
ENSMEUT00000013746_ENSMEUG00000013696,1.0,0.39,0.45,0.37,0.44,0.31,0.32,0.45,0.38,0.45,0.32,0.37,0.38,0.43,0.45,0.32,0.27,0.38,0.45,0.32
ENSVURT00010019708_ENSVURG00010013248,0.39,1.0,0.79,0.7,0.59,0.56,0.58,0.61,0.72,0.61,0.58,0.71,0.72,0.65,0.62,0.58,0.53,0.72,0.62,0.58
ENSMODT00000020462_ENSMODG00000016102,0.45,0.79,1.0,0.79,0.68,0.64,0.66,0.7,0.82,0.7,0.66,0.8,0.82,0.74,0.7,0.66,0.62,0.82,0.7,0.66
ENSMICT00000073064_ENSMICG00000048868,0.37,0.7,0.79,1.0,0.87,0.82,0.78,0.83,0.95,0.83,0.77,0.9,0.93,0.82,0.81,0.76,0.71,0.93,0.81,0.76
ENSMICT00000072789_ENSMICG00000048868,0.44,0.59,0.68,0.87,1.0,0.7,0.66,0.95,0.83,0.95,0.66,0.78,0.81,0.72,0.93,0.64,0.59,0.81,0.93,0.64
ENSMICT00000072489_ENSMICG00000048868,0.31,0.56,0.64,0.82,0.7,1.0,0.95,0.66,0.77,0.66,0.95,0.73,0.76,0.65,0.64,0.93,0.79,0.76,0.64,0.93
ENSPCOT00000019731_ENSPCOG00000015937,0.32,0.58,0.66,0.78,0.66,0.95,1.0,0.7,0.8,0.69,0.98,0.76,0.78,0.68,0.67,0.97,0.82,0.78,0.67,0.97
ENSPCOT00000019733_ENSPCOG00000015937,0.45,0.61,0.7,0.83,0.95,0.66,0.7,1.0,0.85,0.98,0.69,0.81,0.83,0.75,0.96,0.67,0.61,0.83,0.96,0.67
ENSPSMT00000040360_ENSPSMG00000024118,0.38,0.72,0.82,0.95,0.83,0.77,0.8,0.85,1.0,0.87,0.82,0.93,0.96,0.84,0.83,0.78,0.74,0.96,0.83,0.78
ENSPSMT00000040361_ENSPSMG00000024118,0.45,0.61,0.7,0.83,0.95,0.66,0.69,0.98,0.87,1.0,0.7,0.81,0.83,0.75,0.96,0.67,0.61,0.83,0.96,0.67
ENSPSMT00000040362_ENSPSMG00000024118,0.32,0.58,0.66,0.77,0.66,0.95,0.98,0.69,0.82,0.7,1.0,0.76,0.78,0.68,0.67,0.96,0.82,0.78,0.67,0.96
ENSOGAT00000009460_ENSOGAG00000009457,0.37,0.71,0.8,0.9,0.78,0.73,0.76,0.81,0.93,0.81,0.76,1.0,0.92,0.8,0.8,0.75,0.71,0.92,0.8,0.75
ENSPTRT00000111095_ENSPTRG00000015608,0.38,0.72,0.82,0.93,0.81,0.76,0.78,0.83,0.96,0.83,0.78,0.92,1.0,0.88,0.87,0.82,0.77,1.0,0.87,0.82
ENSPTRT00000067985_ENSPTRG00000015608,0.43,0.65,0.74,0.82,0.72,0.65,0.68,0.75,0.84,0.75,0.68,0.8,0.88,1.0,0.78,0.71,0.65,0.88,0.78,0.71
ENSPTRT00000090932_ENSPTRG00000015608,0.45,0.62,0.7,0.81,0.93,0.64,0.67,0.96,0.83,0.96,0.67,0.8,0.87,0.78,1.0,0.7,0.64,0.87,1.0,0.7
ENSPTRT00000078231_ENSPTRG00000015608,0.32,0.58,0.66,0.76,0.64,0.93,0.97,0.67,0.78,0.67,0.96,0.75,0.82,0.71,0.7,1.0,0.85,0.82,0.7,1.0
ENSPPAT00000043775_ENSPPAG00000033721,0.27,0.53,0.62,0.71,0.59,0.79,0.82,0.61,0.74,0.61,0.82,0.71,0.77,0.65,0.64,0.85,1.0,0.77,0.64,0.85
ENST00000316428_ENSG00000114248,0.38,0.72,0.82,0.93,0.81,0.76,0.78,0.83,0.96,0.83,0.78,0.92,1.0,0.88,0.87,0.82,0.77,1.0,0.87,0.82
ENST00000264676_ENSG00000114248,0.45,0.62,0.7,0.81,0.93,0.64,0.67,0.96,0.83,0.96,0.67,0.8,0.87,0.78,1.0,0.7,0.64,0.87,1.0,0.7
ENST00000523069_ENSG00000114248,0.32,0.58,0.66,0.76,0.64,0.93,0.97,0.67,0.78,0.67,0.96,0.75,0.82,0.71,0.7,1.0,0.85,0.82,0.7,1.0
