,ENSPMGT00000022162_ENSPMGG00000016840,ENSPMGT00000022167_ENSPMGG00000016843,ENSSPUT00000024205_ENSSPUG00000017438,ENSSPUT00000024212_ENSSPUG00000017444,ENSSPUT00000024223_ENSSPUG00000017450,ENSPVIT00000033182_ENSPVIG00000020077,ENSNSUT00000011575_ENSNSUG00000008213,ENSSMRT00000008068_ENSSMRG00000005570,ENSSMRT00000008074_ENSSMRG00000005570,ENSMVIT00005020348_ENSMVIG00005012798,ENSMVIT00005020352_ENSMVIG00005012798,ENSLCOT00000018989_ENSLCOG00000012713,ENSTGUT00000012915_ENSTGUG00000012399
ENSPMGT00000022162_ENSPMGG00000016840,1.0,0.12,0.59,1e-18,1e-18,0.38,0.39,0.37,0.37,0.37,0.37,0.37,0.37
ENSPMGT00000022167_ENSPMGG00000016843,0.12,1.0,0.19,0.38,0.39,0.44,0.44,0.43,0.44,0.45,0.45,0.44,0.44
ENSSPUT00000024205_ENSSPUG00000017438,0.59,0.19,1.0,1e-18,1e-18,0.52,0.52,0.53,0.54,0.54,0.54,0.53,0.54
ENSSPUT00000024212_ENSSPUG00000017444,1e-18,0.38,1e-18,1.0,1e-18,0.42,0.42,0.44,0.44,0.46,0.46,0.45,0.46
ENSSPUT00000024223_ENSSPUG00000017450,1e-18,0.39,1e-18,1e-18,1.0,0.49,0.47,0.48,0.49,0.47,0.47,0.45,0.44
ENSPVIT00000033182_ENSPVIG00000020077,0.38,0.44,0.52,0.42,0.49,1.0,0.88,0.88,0.91,0.83,0.83,0.78,0.77
ENSNSUT00000011575_ENSNSUG00000008213,0.39,0.44,0.52,0.42,0.47,0.88,1.0,0.85,0.87,0.8,0.8,0.79,0.76
ENSSMRT00000008068_ENSSMRG00000005570,0.37,0.43,0.53,0.44,0.48,0.88,0.85,1.0,0.97,0.81,0.81,0.77,0.76
ENSSMRT00000008074_ENSSMRG00000005570,0.37,0.44,0.54,0.44,0.49,0.91,0.87,0.97,1.0,0.83,0.83,0.78,0.78
ENSMVIT00005020348_ENSMVIG00005012798,0.37,0.45,0.54,0.46,0.47,0.83,0.8,0.81,0.83,1.0,1.0,0.94,0.88
ENSMVIT00005020352_ENSMVIG00005012798,0.37,0.45,0.54,0.46,0.47,0.83,0.8,0.81,0.83,1.0,1.0,0.94,0.88
ENSLCOT00000018989_ENSLCOG00000012713,0.37,0.44,0.53,0.45,0.45,0.78,0.79,0.77,0.78,0.94,0.94,1.0,0.84
ENSTGUT00000012915_ENSTGUG00000012399,0.37,0.44,0.54,0.46,0.44,0.77,0.76,0.76,0.78,0.88,0.88,0.84,1.0
