,B0222.11.1_WBGene00044582,T16H12.9.1_WBGene00011817,Y95B8A.6a.1_WBGene00022386,Y95B8A.6a.2_WBGene00022386,Y95B8A.6b.1_WBGene00022386,Y95B8A.6b.2_WBGene00022386,Y95B8A.6c.1_WBGene00022386,Y95B8A.6d.1_WBGene00022386,F39D8.3a.1_WBGene00009561,F39D8.3b.1_WBGene00009561,F39D8.3c.1_WBGene00009561,F39D8.3d.1_WBGene00009561,F25B3.2.1_WBGene00009099
B0222.11.1_WBGene00044582,1.0,0.59,0.4,0.4,0.45,0.45,0.29,0.29,0.42,0.43,0.46,0.46,0.37
T16H12.9.1_WBGene00011817,0.59,1.0,0.48,0.48,0.53,0.53,0.37,0.35,0.38,0.37,0.51,0.51,0.44
Y95B8A.6a.1_WBGene00022386,0.4,0.48,1.0,0.9,0.73,0.73,0.75,0.61,0.45,0.4,0.61,0.57,0.57
Y95B8A.6a.2_WBGene00022386,0.4,0.48,0.9,1.0,0.73,0.73,0.75,0.61,0.45,0.4,0.61,0.57,0.57
Y95B8A.6b.1_WBGene00022386,0.45,0.53,0.73,0.73,1.0,0.9,0.63,0.51,0.44,0.4,0.72,0.66,0.51
Y95B8A.6b.2_WBGene00022386,0.45,0.53,0.73,0.73,0.9,1.0,0.63,0.51,0.44,0.4,0.72,0.66,0.51
Y95B8A.6c.1_WBGene00022386,0.29,0.37,0.75,0.75,0.63,0.63,1.0,0.78,0.34,0.31,0.51,0.47,0.46
Y95B8A.6d.1_WBGene00022386,0.29,0.35,0.61,0.61,0.51,0.51,0.78,1.0,0.34,0.31,0.57,0.55,0.43
F39D8.3a.1_WBGene00009561,0.42,0.38,0.45,0.45,0.44,0.44,0.34,0.34,1.0,0.9,0.52,0.52,0.37
F39D8.3b.1_WBGene00009561,0.43,0.37,0.4,0.4,0.4,0.4,0.31,0.31,0.9,1.0,0.48,0.48,0.39
F39D8.3c.1_WBGene00009561,0.46,0.51,0.61,0.61,0.72,0.72,0.51,0.57,0.52,0.48,1.0,0.84,0.46
F39D8.3d.1_WBGene00009561,0.46,0.51,0.57,0.57,0.66,0.66,0.47,0.55,0.52,0.48,0.84,1.0,0.46
F25B3.2.1_WBGene00009099,0.37,0.44,0.57,0.57,0.51,0.51,0.46,0.43,0.37,0.39,0.46,0.46,1.0
