,ENSMOCT00000031311_ENSMOCG00000022900,ENSMAUT00000029571_ENSMAUG00000022052,ENSLCOT00000011745_ENSLCOG00000008039,ENSVURT00010014965_ENSVURG00010010113,ENSVURT00010014974_ENSVURG00010010113,ENSVURT00010014978_ENSVURG00010010113,ENSVURT00010014987_ENSVURG00010010113,ENSPCIT00000013708_ENSPCIG00000008870,ENSPCIT00000013712_ENSPCIG00000008870,ENSPCIT00000013705_ENSPCIG00000008870,ENSSHAT00000020698_ENSSHAG00000017411,ENSMODT00000013640_ENSMODG00000010691,ENSMODT00000086070_ENSMODG00000010691,ENSMODT00000074347_ENSMODG00000010691,ENSMODT00000086678_ENSMODG00000010691
ENSMOCT00000031311_ENSMOCG00000022900,1.0,0.96,0.22,0.24,0.26,0.18,0.19,0.24,0.26,0.18,0.24,0.24,0.24,0.26,0.18
ENSMAUT00000029571_ENSMAUG00000022052,0.96,1.0,0.22,0.24,0.26,0.18,0.19,0.24,0.26,0.18,0.24,0.24,0.24,0.26,0.18
ENSLCOT00000011745_ENSLCOG00000008039,0.22,0.22,1.0,0.25,0.27,0.57,0.6,0.25,0.27,0.57,0.25,0.23,0.25,0.27,0.57
ENSVURT00010014965_ENSVURG00010010113,0.24,0.24,0.25,1.0,0.92,0.35,0.34,0.95,0.9,0.35,0.91,0.92,0.95,0.9,0.35
ENSVURT00010014974_ENSVURG00010010113,0.26,0.26,0.27,0.92,1.0,0.38,0.36,0.9,0.95,0.37,0.86,0.87,0.9,0.95,0.37
ENSVURT00010014978_ENSVURG00010010113,0.18,0.18,0.57,0.35,0.38,1.0,0.76,0.35,0.37,0.91,0.33,0.33,0.35,0.37,0.91
ENSVURT00010014987_ENSVURG00010010113,0.19,0.19,0.6,0.34,0.36,0.76,1.0,0.34,0.36,0.76,0.32,0.31,0.33,0.35,0.75
ENSPCIT00000013708_ENSPCIG00000008870,0.24,0.24,0.25,0.95,0.9,0.35,0.34,1.0,0.92,0.36,0.9,0.9,0.94,0.89,0.35
ENSPCIT00000013712_ENSPCIG00000008870,0.26,0.26,0.27,0.9,0.95,0.37,0.36,0.92,1.0,0.38,0.85,0.86,0.89,0.94,0.37
ENSPCIT00000013705_ENSPCIG00000008870,0.18,0.18,0.57,0.35,0.37,0.91,0.76,0.36,0.38,1.0,0.33,0.33,0.35,0.37,0.91
ENSSHAT00000020698_ENSSHAG00000017411,0.24,0.24,0.25,0.91,0.86,0.33,0.32,0.9,0.85,0.33,1.0,0.87,0.9,0.86,0.33
ENSMODT00000013640_ENSMODG00000010691,0.24,0.24,0.23,0.92,0.87,0.33,0.31,0.9,0.86,0.33,0.87,1.0,0.94,0.89,0.34
ENSMODT00000086070_ENSMODG00000010691,0.24,0.24,0.25,0.95,0.9,0.35,0.33,0.94,0.89,0.35,0.9,0.94,1.0,0.92,0.35
ENSMODT00000074347_ENSMODG00000010691,0.26,0.26,0.27,0.9,0.95,0.37,0.35,0.89,0.94,0.37,0.86,0.89,0.92,1.0,0.38
ENSMODT00000086678_ENSMODG00000010691,0.18,0.18,0.57,0.35,0.37,0.91,0.75,0.35,0.37,0.91,0.33,0.34,0.35,0.38,1.0
