,FBtr0078556_FBgn0037203,FBtr0078557_FBgn0037203,FBtr0078555_FBgn0037203,FBtr0273277_FBgn0036764,FBtr0075159_FBgn0036764,FBtr0110881_FBgn0036493,FBtr0334105_FBgn0036493,FBtr0301185_FBgn0036493,FBtr0110880_FBgn0036493,FBtr0100360_FBgn0036493
FBtr0078556_FBgn0037203,1.0,0.86,0.86,0.16,0.18,0.07,0.18,0.18,0.18,0.07
FBtr0078557_FBgn0037203,0.86,1.0,0.86,0.16,0.18,0.07,0.18,0.18,0.18,0.07
FBtr0078555_FBgn0037203,0.86,0.86,1.0,0.16,0.18,0.07,0.18,0.18,0.18,0.07
FBtr0273277_FBgn0036764,0.16,0.16,0.16,1.0,0.6,0.18,0.3,0.3,0.3,0.18
FBtr0075159_FBgn0036764,0.18,0.18,0.18,0.6,1.0,0.21,0.34,0.34,0.34,0.21
FBtr0110881_FBgn0036493,0.07,0.07,0.07,0.18,0.21,1.0,0.53,0.53,0.53,0.8
FBtr0334105_FBgn0036493,0.18,0.18,0.18,0.3,0.34,0.53,1.0,0.74,0.74,0.53
FBtr0301185_FBgn0036493,0.18,0.18,0.18,0.3,0.34,0.53,0.74,1.0,0.74,0.53
FBtr0110880_FBgn0036493,0.18,0.18,0.18,0.3,0.34,0.53,0.74,0.74,1.0,0.53
FBtr0100360_FBgn0036493,0.07,0.07,0.07,0.18,0.21,0.8,0.53,0.53,0.53,1.0
