,ENSACAT00000025747_ENSACAG00000025881,ENSNSUT00000015596_ENSNSUG00000010851,ENSPVIT00000023386_ENSPVIG00000014397,ENSPVIT00000023389_ENSPVIG00000014397,ENSPVIT00000023392_ENSPVIG00000014397,ENSPVIT00000023395_ENSPVIG00000014397,ENSSMRT00000009344_ENSSMRG00000006415,ENSSMRT00000009356_ENSSMRG00000006415,ENSSMRT00000009378_ENSSMRG00000006415,ENSSMRT00000009385_ENSSMRG00000006415,ENSARWT00000027307_ENSARWG00000016419,ENSARWT00000027273_ENSARWG00000016329,ENSARWT00000027296_ENSARWG00000016329,ENSARWT00000027305_ENSARWG00000016329,ENSAOWT00000010322_ENSAOWG00000006065,ENSAOWT00000010373_ENSAOWG00000006065,ENSAOWT00000010385_ENSAOWG00000006065,ENSAOWT00000010393_ENSAOWG00000006065,ENSAHAT00000008703_ENSAHAG00000005819,ENSAHAT00000008707_ENSAHAG00000005819,ENSDNVT00000022093_ENSDNVG00000012836,ENSDNVT00000022098_ENSDNVG00000012836,ENSDNVT00000022104_ENSDNVG00000012836,ENSDNVT00000022117_ENSDNVG00000012836,ENSNPET00000022111_ENSNPEG00000015878,ENSNPET00000022121_ENSNPEG00000015878,ENSNPET00000022124_ENSNPEG00000015878,ENSNPET00000022127_ENSNPEG00000015878,ENSNPET00000022129_ENSNPEG00000015878,ENSNPET00000022137_ENSNPEG00000015878,ENSNPET00000022146_ENSNPEG00000015878,ENSSCAT00000019219_ENSSCAG00000012477,ENSSCAT00000019222_ENSSCAG00000012477,ENSMVIT00005008475_ENSMVIG00005005558,ENSCCET00000017447_ENSCCEG00000010931,ENSAHAT00000008695_ENSAHAG00000005815,ENSAOWT00000009947_ENSAOWG00000006028,ENSGALT00000108313_ENSGALG00000041263,ENSGALT00000082498_ENSGALG00000041263,ENSGALT00000091572_ENSGALG00000041263,ENSGALT00000095393_ENSGALG00000041263,ENSMGAT00000016939_ENSMGAG00000015065,ENSCJPT00005034488_ENSCJPG00005019904,ENSCJPT00005034490_ENSCJPG00005019904,ENSCJPT00005034491_ENSCJPG00005019904,ENSNMET00000015189_ENSNMEG00000009196,ENSNMET00000015190_ENSNMEG00000009196,ENSNMET00000015192_ENSNMEG00000009196
ENSACAT00000025747_ENSACAG00000025881,1.0,0.43,0.21,0.19,0.03,0.75,0.19,0.21,0.19,0.03,0.33,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.21,0.03,0.19,0.75,0.17,0.18,0.19,0.17,0.17,1e-18,1e-18,0.5,0.25,0.21,0.75,0.43,0.43,0.21,0.19,0.75,0.03,0.21,0.21,0.19,0.75,0.75,0.21,0.03
ENSNSUT00000015596_ENSNSUG00000010851,0.43,1.0,0.19,0.18,1e-18,0.43,0.18,0.19,0.18,1e-18,0.38,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.19,1e-18,0.18,0.43,0.15,0.16,0.16,0.15,0.14,1e-18,1e-18,0.5,0.29,0.25,0.43,0.5,0.5,0.19,0.18,0.43,1e-18,0.19,0.19,0.18,0.43,0.43,0.19,1e-18
ENSPVIT00000023386_ENSPVIG00000014397,0.21,0.19,1.0,0.76,0.56,0.21,0.79,0.88,0.76,0.65,0.16,0.66,0.56,0.56,0.59,0.66,0.56,0.56,0.65,0.56,0.88,0.56,0.76,0.21,0.71,0.78,0.72,0.68,0.61,0.56,0.5,0.19,0.11,0.12,0.21,0.22,0.22,0.88,0.76,0.21,0.56,0.88,0.88,0.76,0.21,0.21,0.88,0.56
ENSPVIT00000023389_ENSPVIG00000014397,0.19,0.18,0.76,1.0,0.64,0.19,0.69,0.76,0.85,0.56,0.15,0.56,0.65,0.62,0.5,0.56,0.65,0.62,0.56,0.64,0.76,0.64,0.85,0.19,0.61,0.68,0.62,0.76,0.69,0.47,0.55,0.18,0.11,0.12,0.19,0.21,0.21,0.76,0.85,0.19,0.64,0.76,0.76,0.85,0.19,0.19,0.76,0.58
ENSPVIT00000023392_ENSPVIG00000014397,0.03,1e-18,0.56,0.64,1.0,0.03,0.5,0.56,0.64,0.82,1e-18,0.68,0.79,0.75,0.6,0.68,0.79,0.75,0.82,0.93,0.56,0.93,0.64,0.03,0.47,0.53,0.47,0.62,0.56,0.57,0.66,1e-18,1e-18,0.03,0.03,0.03,0.03,0.56,0.64,0.03,0.93,0.56,0.56,0.64,0.03,0.03,0.56,0.86
ENSPVIT00000023395_ENSPVIG00000014397,0.75,0.43,0.21,0.19,0.03,1.0,0.19,0.21,0.19,0.03,0.33,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.03,0.03,0.21,0.03,0.19,0.75,0.17,0.18,0.19,0.17,0.17,1e-18,1e-18,0.5,0.25,0.21,0.75,0.43,0.43,0.21,0.19,0.75,0.03,0.21,0.21,0.19,0.75,0.75,0.21,0.03
ENSSMRT00000009344_ENSSMRG00000006415,0.19,0.18,0.79,0.69,0.5,0.19,1.0,0.79,0.69,0.58,0.15,0.59,0.5,0.5,0.53,0.59,0.5,0.5,0.58,0.5,0.79,0.5,0.69,0.19,0.64,0.71,0.65,0.61,0.55,0.5,0.45,0.18,0.11,0.12,0.19,0.21,0.21,0.79,0.69,0.19,0.5,0.79,0.79,0.69,0.19,0.19,0.79,0.5
ENSSMRT00000009356_ENSSMRG00000006415,0.21,0.19,0.88,0.76,0.56,0.21,0.79,1.0,0.76,0.65,0.16,0.66,0.56,0.56,0.59,0.66,0.56,0.56,0.65,0.56,0.88,0.56,0.76,0.21,0.71,0.78,0.72,0.68,0.61,0.56,0.5,0.19,0.11,0.12,0.21,0.22,0.22,0.88,0.76,0.21,0.56,0.88,0.88,0.76,0.21,0.21,0.88,0.56
ENSSMRT00000009378_ENSSMRG00000006415,0.19,0.18,0.76,0.85,0.64,0.19,0.69,0.76,1.0,0.56,0.15,0.56,0.65,0.62,0.5,0.56,0.65,0.62,0.56,0.64,0.76,0.64,0.85,0.19,0.61,0.68,0.62,0.76,0.69,0.47,0.55,0.18,0.11,0.12,0.19,0.21,0.21,0.76,0.85,0.19,0.64,0.76,0.76,0.85,0.19,0.19,0.76,0.58
ENSSMRT00000009385_ENSSMRG00000006415,0.03,1e-18,0.65,0.56,0.82,0.03,0.58,0.65,0.56,1.0,1e-18,0.81,0.68,0.68,0.71,0.81,0.68,0.68,0.96,0.82,0.65,0.82,0.56,0.03,0.56,0.62,0.56,0.53,0.47,0.68,0.59,1e-18,1e-18,0.03,0.03,0.03,0.03,0.65,0.56,0.03,0.82,0.65,0.65,0.56,0.03,0.03,0.65,0.82
