,ENSPCIT00000005416_ENSPCIG00000003595,ENSMODT00000008204_ENSMODG00000006479,ENSPTRT00000042678_ENSPTRG00000024207,ENSPPAT00000038711_ENSPPAG00000031126,ENSGGOT00000013503_ENSGGOG00000013459,ENST00000361605_ENSG00000198912,ENSPPYT00000002339_ENSPPYG00000001957,ENSCANT00000016342_ENSCANG00000014666,ENSPTET00000029945_ENSPTEG00000021853,ENSPTET00000029948_ENSPTEG00000021853,ENSRROT00000050568_ENSRROG00000036910,ENSRBIT00000063769_ENSRBIG00000043326,ENSMLET00000044389_ENSMLEG00000034653,ENSCATT00000041763_ENSCATG00000032678,ENSTGET00000021557_ENSTGEG00000014616,ENSPANT00000044746_ENSPANG00000008198,ENSMNET00000010460_ENSMNEG00000009614,ENSMMUT00000021283_ENSMMUG00000015176,ENSMFAT00000031516_ENSMFAG00000043364,ENSCSAT00000017806_ENSCSAG00000000729,ENSCCAT00000041841_ENSCCAG00000029954,ENSSBOT00000033428_ENSSBOG00000025001,ENSCJAT00000062873_ENSCJAG00000002869,ENSANAT00000028563_ENSANAG00000023356,ENSPCOT00000010821_ENSPCOG00000009557,ENSPSMT00000037392_ENSPSMG00000022431,ENSMICT00000050700_ENSMICG00000033991,ENSDORT00000028519_ENSDORG00000027225,ENSDORT00000031658_ENSDORG00000027225
ENSPCIT00000005416_ENSPCIG00000003595,1.0,0.6,0.59,0.6,0.6,0.59,0.73,0.59,0.59,0.48,0.59,0.73,0.59,0.59,0.59,0.59,0.72,0.59,0.72,0.73,0.6,0.73,0.73,0.54,0.71,0.55,0.7,0.54,0.46
ENSMODT00000008204_ENSMODG00000006479,0.6,1.0,0.51,0.51,0.51,0.51,0.45,0.5,0.51,0.38,0.5,0.44,0.5,0.5,0.5,0.5,0.44,0.5,0.44,0.44,0.52,0.46,0.46,0.33,0.43,0.44,0.41,0.44,1e-18
ENSPTRT00000042678_ENSPTRG00000024207,0.59,0.51,1.0,0.91,0.91,0.91,0.79,0.89,0.89,0.73,0.89,0.78,0.89,0.89,0.88,0.88,0.78,0.88,0.78,0.78,0.87,0.76,0.76,0.58,0.7,0.68,0.67,0.66,0.49
ENSPPAT00000038711_ENSPPAG00000031126,0.6,0.51,0.91,1.0,0.91,0.91,0.79,0.89,0.89,0.73,0.89,0.78,0.89,0.89,0.88,0.88,0.78,0.88,0.78,0.78,0.87,0.76,0.76,0.58,0.7,0.68,0.67,0.66,0.49
ENSGGOT00000013503_ENSGGOG00000013459,0.6,0.51,0.91,0.91,1.0,0.91,0.79,0.89,0.89,0.72,0.89,0.79,0.89,0.89,0.89,0.88,0.78,0.88,0.78,0.78,0.87,0.76,0.76,0.58,0.7,0.68,0.67,0.67,0.5
ENST00000361605_ENSG00000198912,0.59,0.51,0.91,0.91,0.91,1.0,0.79,0.89,0.89,0.73,0.89,0.79,0.89,0.89,0.89,0.88,0.78,0.89,0.78,0.78,0.87,0.76,0.76,0.58,0.69,0.67,0.67,0.66,0.5
ENSPPYT00000002339_ENSPPYG00000001957,0.73,0.45,0.79,0.79,0.79,0.79,1.0,0.78,0.78,0.67,0.78,0.92,0.78,0.78,0.78,0.78,0.91,0.78,0.91,0.91,0.77,0.89,0.89,0.71,0.82,0.62,0.8,0.6,0.47
ENSCANT00000016342_ENSCANG00000014666,0.59,0.5,0.89,0.89,0.89,0.89,0.78,1.0,0.9,0.74,0.9,0.8,0.9,0.9,0.89,0.89,0.79,0.9,0.79,0.79,0.86,0.75,0.75,0.57,0.69,0.68,0.67,0.65,0.49
ENSPTET00000029945_ENSPTEG00000021853,0.59,0.51,0.89,0.89,0.89,0.89,0.78,0.9,1.0,0.75,0.9,0.8,0.9,0.9,0.9,0.9,0.79,0.9,0.79,0.79,0.87,0.75,0.76,0.58,0.69,0.67,0.67,0.65,0.49
ENSPTET00000029948_ENSPTEG00000021853,0.48,0.38,0.73,0.73,0.72,0.73,0.67,0.74,0.75,1.0,0.74,0.69,0.73,0.74,0.73,0.73,0.68,0.73,0.68,0.68,0.7,0.64,0.65,0.55,0.58,0.55,0.56,0.53,0.46
ENSRROT00000050568_ENSRROG00000036910,0.59,0.5,0.89,0.89,0.89,0.89,0.78,0.9,0.9,0.74,1.0,0.81,0.9,0.9,0.9,0.9,0.79,0.9,0.79,0.79,0.86,0.75,0.75,0.58,0.69,0.68,0.67,0.65,0.5
ENSRBIT00000063769_ENSRBIG00000043326,0.73,0.44,0.78,0.78,0.79,0.79,0.92,0.8,0.8,0.69,0.81,1.0,0.8,0.8,0.79,0.79,0.93,0.8,0.92,0.92,0.76,0.88,0.89,0.7,0.83,0.62,0.81,0.59,0.47
ENSMLET00000044389_ENSMLEG00000034653,0.59,0.5,0.89,0.89,0.89,0.89,0.78,0.9,0.9,0.73,0.9,0.8,1.0,0.91,0.91,0.91,0.8,0.91,0.81,0.79,0.87,0.75,0.76,0.58,0.69,0.68,0.67,0.65,0.49
ENSCATT00000041763_ENSCATG00000032678,0.59,0.5,0.89,0.89,0.89,0.89,0.78,0.9,0.9,0.74,0.9,0.8,0.91,1.0,0.91,0.91,0.8,0.91,0.8,0.79,0.87,0.75,0.76,0.58,0.69,0.68,0.67,0.65,0.49
ENSTGET00000021557_ENSTGEG00000014616,0.59,0.5,0.88,0.88,0.89,0.89,0.78,0.89,0.9,0.73,0.9,0.79,0.91,0.91,1.0,0.91,0.8,0.91,0.8,0.79,0.87,0.75,0.76,0.57,0.69,0.68,0.67,0.65,0.49
ENSPANT00000044746_ENSPANG00000008198,0.59,0.5,0.88,0.88,0.88,0.88,0.78,0.89,0.9,0.73,0.9,0.79,0.91,0.91,0.91,1.0,0.8,0.9,0.8,0.79,0.86,0.75,0.76,0.57,0.69,0.67,0.67,0.65,0.48
ENSMNET00000010460_ENSMNEG00000009614,0.72,0.44,0.78,0.78,0.78,0.78,0.91,0.79,0.79,0.68,0.79,0.93,0.8,0.8,0.8,0.8,1.0,0.81,0.94,0.92,0.76,0.88,0.89,0.7,0.83,0.62,0.81,0.59,0.47
ENSMMUT00000021283_ENSMMUG00000015176,0.59,0.5,0.88,0.88,0.88,0.89,0.78,0.9,0.9,0.73,0.9,0.8,0.91,0.91,0.91,0.9,0.81,1.0,0.81,0.79,0.87,0.75,0.76,0.57,0.7,0.68,0.67,0.65,0.49
ENSMFAT00000031516_ENSMFAG00000043364,0.72,0.44,0.78,0.78,0.78,0.78,0.91,0.79,0.79,0.68,0.79,0.92,0.81,0.8,0.8,0.8,0.94,0.81,1.0,0.92,0.76,0.88,0.89,0.7,0.83,0.62,0.81,0.59,0.47
ENSCSAT00000017806_ENSCSAG00000000729,0.73,0.44,0.78,0.78,0.78,0.78,0.91,0.79,0.79,0.68,0.79,0.92,0.79,0.79,0.79,0.79,0.92,0.79,0.92,1.0,0.76,0.88,0.88,0.7,0.83,0.61,0.81,0.6,0.47
ENSCCAT00000041841_ENSCCAG00000029954,0.6,0.52,0.87,0.87,0.87,0.87,0.77,0.86,0.87,0.7,0.86,0.76,0.87,0.87,0.87,0.86,0.76,0.87,0.76,0.76,1.0,0.78,0.79,0.6,0.69,0.69,0.67,0.67,0.49
ENSSBOT00000033428_ENSSBOG00000025001,0.73,0.46,0.76,0.76,0.76,0.76,0.89,0.75,0.75,0.64,0.75,0.88,0.75,0.75,0.75,0.75,0.88,0.75,0.88,0.88,0.78,1.0,0.91,0.72,0.82,0.61,0.79,0.6,0.45
ENSCJAT00000062873_ENSCJAG00000002869,0.73,0.46,0.76,0.76,0.76,0.76,0.89,0.75,0.76,0.65,0.75,0.89,0.76,0.76,0.76,0.76,0.89,0.76,0.89,0.88,0.79,0.91,1.0,0.73,0.82,0.63,0.8,0.61,0.47
ENSANAT00000028563_ENSANAG00000023356,0.54,0.33,0.58,0.58,0.58,0.58,0.71,0.57,0.58,0.55,0.58,0.7,0.58,0.58,0.57,0.57,0.7,0.57,0.7,0.7,0.6,0.72,0.73,1.0,0.63,0.47,0.6,0.48,0.5
ENSPCOT00000010821_ENSPCOG00000009557,0.71,0.43,0.7,0.7,0.7,0.69,0.82,0.69,0.69,0.58,0.69,0.83,0.69,0.69,0.69,0.69,0.83,0.7,0.83,0.83,0.69,0.82,0.82,0.63,1.0,0.66,0.86,0.59,0.45
ENSPSMT00000037392_ENSPSMG00000022431,0.55,0.44,0.68,0.68,0.68,0.67,0.62,0.68,0.67,0.55,0.68,0.62,0.68,0.68,0.68,0.67,0.62,0.68,0.62,0.61,0.69,0.61,0.63,0.47,0.66,1.0,0.63,0.78,0.51
ENSMICT00000050700_ENSMICG00000033991,0.7,0.41,0.67,0.67,0.67,0.67,0.8,0.67,0.67,0.56,0.67,0.81,0.67,0.67,0.67,0.67,0.81,0.67,0.81,0.81,0.67,0.79,0.8,0.6,0.86,0.63,1.0,0.58,0.44
ENSDORT00000028519_ENSDORG00000027225,0.54,0.44,0.66,0.66,0.67,0.66,0.6,0.65,0.65,0.53,0.65,0.59,0.65,0.65,0.65,0.65,0.59,0.65,0.59,0.6,0.67,0.6,0.61,0.48,0.59,0.78,0.58,1.0,0.62
ENSDORT00000031658_ENSDORG00000027225,0.46,1e-18,0.49,0.49,0.5,0.5,0.47,0.49,0.49,0.46,0.5,0.47,0.49,0.49,0.49,0.48,0.47,0.49,0.47,0.47,0.49,0.45,0.47,0.5,0.45,0.51,0.44,0.62,1.0
