,ENSPCAT00000009841_ENSPCAG00000009880,ENSLAFT00000007224_ENSLAFG00000007225,ENSDNOT00000024731_ENSDNOG00000025508,ENSMMUT00000061742_ENSMMUG00000043912,ENSMNET00000037143_ENSMNEG00000030744,ENSMFAT00000034062_ENSMFAG00000044426,ENSPANT00000016032_ENSPANG00000021144,ENSTGET00000009432_ENSTGEG00000006421,ENSMLET00000060502_ENSMLEG00000042558,ENSCATT00000052265_ENSCATG00000037339,ENSCSAT00000001971_ENSCSAG00000003943,ENSRROT00000034856_ENSRROG00000029770,ENSRBIT00000053466_ENSRBIG00000038642,ENSPTET00000020978_ENSPTEG00000015629
ENSPCAT00000009841_ENSPCAG00000009880,1.0,0.61,0.6,0.59,0.59,0.59,0.59,0.59,0.59,0.51,0.4,0.54,0.58,0.54
ENSLAFT00000007224_ENSLAFG00000007225,0.61,1.0,0.48,0.46,0.46,0.46,0.46,0.46,0.46,0.39,0.32,0.42,0.46,0.43
ENSDNOT00000024731_ENSDNOG00000025508,0.6,0.48,1.0,0.79,0.79,0.79,0.79,0.79,0.79,0.67,0.46,0.71,0.78,0.72
ENSMMUT00000061742_ENSMMUG00000043912,0.59,0.46,0.79,1.0,0.87,0.87,0.87,0.86,0.86,0.74,0.5,0.79,0.86,0.79
ENSMNET00000037143_ENSMNEG00000030744,0.59,0.46,0.79,0.87,1.0,0.87,0.87,0.86,0.86,0.74,0.5,0.79,0.86,0.79
ENSMFAT00000034062_ENSMFAG00000044426,0.59,0.46,0.79,0.87,0.87,1.0,0.87,0.87,0.87,0.74,0.5,0.79,0.86,0.79
ENSPANT00000016032_ENSPANG00000021144,0.59,0.46,0.79,0.87,0.87,0.87,1.0,0.87,0.87,0.74,0.5,0.79,0.86,0.79
ENSTGET00000009432_ENSTGEG00000006421,0.59,0.46,0.79,0.86,0.86,0.87,0.87,1.0,0.86,0.73,0.49,0.79,0.86,0.79
ENSMLET00000060502_ENSMLEG00000042558,0.59,0.46,0.79,0.86,0.86,0.87,0.87,0.86,1.0,0.74,0.49,0.79,0.86,0.79
ENSCATT00000052265_ENSCATG00000037339,0.51,0.39,0.67,0.74,0.74,0.74,0.74,0.73,0.74,1.0,0.39,0.66,0.73,0.66
ENSCSAT00000001971_ENSCSAG00000003943,0.4,0.32,0.46,0.5,0.5,0.5,0.5,0.49,0.49,0.39,1.0,0.5,0.49,0.49
ENSRROT00000034856_ENSRROG00000029770,0.54,0.42,0.71,0.79,0.79,0.79,0.79,0.79,0.79,0.66,0.5,1.0,0.79,0.79
ENSRBIT00000053466_ENSRBIG00000038642,0.58,0.46,0.78,0.86,0.86,0.86,0.86,0.86,0.86,0.73,0.49,0.79,1.0,0.79
ENSPTET00000020978_ENSPTEG00000015629,0.54,0.43,0.72,0.79,0.79,0.79,0.79,0.79,0.79,0.66,0.49,0.79,0.79,1.0
