,ENSVURT00010022915_ENSVURG00010015405,ENSVURT00010022925_ENSVURG00010015405,ENSPCIT00000015704_ENSPCIG00000010059,ENSMODT00000010903_ENSMODG00000008593,ENSOANT00000040039_ENSOANG00000030598,ENSDNVT00000004954_ENSDNVG00000002855,ENSDNVT00000004963_ENSDNVG00000002855,ENSDNVT00000004981_ENSDNVG00000002855,ENSDNVT00000005019_ENSDNVG00000002855,ENSAHAT00000006975_ENSAHAG00000004740,ENSAOWT00000014130_ENSAOWG00000008508,ENSAOWT00000014137_ENSAOWG00000008508,ENSARWT00000030186_ENSARWG00000018053
ENSVURT00010022915_ENSVURG00010015405,1.0,0.87,0.55,0.36,0.21,0.47,0.46,0.29,0.32,0.72,0.67,0.72,0.73
ENSVURT00010022925_ENSVURG00010015405,0.87,1.0,0.49,0.29,0.24,0.41,0.4,0.32,0.3,0.64,0.6,0.64,0.64
ENSPCIT00000015704_ENSPCIG00000010059,0.55,0.49,1.0,0.22,0.34,0.47,0.49,0.21,0.22,0.54,0.5,0.54,0.54
ENSMODT00000010903_ENSMODG00000008593,0.36,0.29,0.22,1.0,0.33,0.32,0.32,0.36,0.43,0.28,0.26,0.28,0.3
ENSOANT00000040039_ENSOANG00000030598,0.21,0.24,0.34,0.33,1.0,0.36,0.37,0.3,0.29,0.23,0.2,0.23,0.23
ENSDNVT00000004954_ENSDNVG00000002855,0.47,0.41,0.47,0.32,0.36,1.0,0.9,0.33,0.35,0.54,0.51,0.54,0.55
ENSDNVT00000004963_ENSDNVG00000002855,0.46,0.4,0.49,0.32,0.37,0.9,1.0,0.31,0.34,0.53,0.5,0.53,0.54
ENSDNVT00000004981_ENSDNVG00000002855,0.29,0.32,0.21,0.36,0.3,0.33,0.31,1.0,0.78,0.42,0.39,0.42,0.42
ENSDNVT00000005019_ENSDNVG00000002855,0.32,0.3,0.22,0.43,0.29,0.35,0.34,0.78,1.0,0.44,0.41,0.44,0.45
ENSAHAT00000006975_ENSAHAG00000004740,0.72,0.64,0.54,0.28,0.23,0.54,0.53,0.42,0.44,1.0,0.89,0.94,0.93
ENSAOWT00000014130_ENSAOWG00000008508,0.67,0.6,0.5,0.26,0.2,0.51,0.5,0.39,0.41,0.89,1.0,0.89,0.89
ENSAOWT00000014137_ENSAOWG00000008508,0.72,0.64,0.54,0.28,0.23,0.54,0.53,0.42,0.44,0.94,0.89,1.0,0.93
ENSARWT00000030186_ENSARWG00000018053,0.73,0.64,0.54,0.3,0.23,0.55,0.54,0.42,0.45,0.93,0.89,0.93,1.0
