,ENSSMRT00000025186_ENSSMRG00000016727,ENSSMRT00000025191_ENSSMRG00000016727,ENSPVIT00000031029_ENSPVIG00000018891,ENSPVIT00000031030_ENSPVIG00000018891,ENSSPUT00000023151_ENSSPUG00000016652,ENSAOWT00000022880_ENSAOWG00000013664,ENSARWT00000027949_ENSARWG00000016801,ENSARWT00000027950_ENSARWG00000016801,ENSAHAT00000017182_ENSAHAG00000011107,ENSDNVT00000010654_ENSDNVG00000006288,ENSDNVT00000010661_ENSDNVG00000006288,ENSCPUT00000018699_ENSCPUG00000010948,ENSCPUT00000018700_ENSCPUG00000010948,ENSCPGT00000026941_ENSCPGG00000016995,ENSMUNT00000006967_ENSMUNG00000004889,ENSMUNT00000006968_ENSMUNG00000004889
ENSSMRT00000025186_ENSSMRG00000016727,1.0,0.88,0.88,0.58,0.83,0.83,0.69,0.83,0.83,0.83,0.73,0.83,0.69,0.83,0.83,0.62
ENSSMRT00000025191_ENSSMRG00000016727,0.88,1.0,1.0,0.68,0.95,0.95,0.79,0.95,0.95,0.95,0.83,0.95,0.79,0.95,0.95,0.71
ENSPVIT00000031029_ENSPVIG00000018891,0.88,1.0,1.0,0.68,0.95,0.95,0.79,0.95,0.95,0.95,0.83,0.95,0.79,0.95,0.95,0.71
ENSPVIT00000031030_ENSPVIG00000018891,0.58,0.68,0.68,1.0,0.64,0.64,0.64,0.64,0.64,0.64,0.58,0.64,0.5,0.64,0.64,0.64
ENSSPUT00000023151_ENSSPUG00000016652,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSAOWT00000022880_ENSAOWG00000013664,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSARWT00000027949_ENSARWG00000016801,0.69,0.79,0.79,0.64,0.83,0.83,1.0,0.83,0.83,0.83,0.77,0.83,0.65,0.83,0.83,0.75
ENSARWT00000027950_ENSARWG00000016801,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSAHAT00000017182_ENSAHAG00000011107,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSDNVT00000010654_ENSDNVG00000006288,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSDNVT00000010661_ENSDNVG00000006288,0.73,0.83,0.83,0.58,0.88,0.88,0.77,0.88,0.88,0.88,1.0,0.88,0.69,0.88,0.88,0.69
ENSCPUT00000018699_ENSCPUG00000010948,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSCPUT00000018700_ENSCPUG00000010948,0.69,0.79,0.79,0.5,0.79,0.79,0.65,0.79,0.79,0.79,0.69,0.79,1.0,0.79,0.79,0.58
ENSCPGT00000026941_ENSCPGG00000016995,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSMUNT00000006967_ENSMUNG00000004889,0.83,0.95,0.95,0.64,1.0,1.0,0.83,1.0,1.0,1.0,0.88,1.0,0.79,1.0,1.0,0.75
ENSMUNT00000006968_ENSMUNG00000004889,0.62,0.71,0.71,0.64,0.75,0.75,0.75,0.75,0.75,0.75,0.69,0.75,0.58,0.75,0.75,1.0
