,ENSPTRT00000108900_ENSPTRG00000048633,ENSPPAT00000051717_ENSPPAG00000037465,ENSGGOT00000061876_ENSGGOG00000043068,ENSNLET00000052285_ENSNLEG00000031295,ENSTGET00000004376_ENSTGEG00000003039,ENSMLET00000006873_ENSMLEG00000006190,ENSCATT00000041058_ENSCATG00000032365,ENSMNET00000029741_ENSMNEG00000027059,ENSMFAT00000040062_ENSMFAG00000006903,ENSPTET00000038486_ENSPTEG00000027300
ENSPTRT00000108900_ENSPTRG00000048633,1.0,0.68,0.67,0.69,0.64,0.63,0.32,0.64,0.64,0.64
ENSPPAT00000051717_ENSPPAG00000037465,0.68,1.0,0.7,0.67,0.62,0.61,0.3,0.62,0.62,0.62
ENSGGOT00000061876_ENSGGOG00000043068,0.67,0.7,1.0,0.67,0.62,0.62,0.3,0.62,0.62,0.62
ENSNLET00000052285_ENSNLEG00000031295,0.69,0.67,0.67,1.0,0.64,0.63,0.32,0.64,0.64,0.64
ENSTGET00000004376_ENSTGEG00000003039,0.64,0.62,0.62,0.64,1.0,0.69,0.38,0.69,0.69,0.68
ENSMLET00000006873_ENSMLEG00000006190,0.63,0.61,0.62,0.63,0.69,1.0,0.37,0.69,0.69,0.68
ENSCATT00000041058_ENSCATG00000032365,0.32,0.3,0.3,0.32,0.38,0.37,1.0,0.38,0.37,0.36
ENSMNET00000029741_ENSMNEG00000027059,0.64,0.62,0.62,0.64,0.69,0.69,0.38,1.0,0.69,0.68
ENSMFAT00000040062_ENSMFAG00000006903,0.64,0.62,0.62,0.64,0.69,0.69,0.37,0.69,1.0,0.68
ENSPTET00000038486_ENSPTEG00000027300,0.64,0.62,0.62,0.64,0.68,0.68,0.36,0.68,0.68,1.0
