,ENSLACT00000010444_ENSLACG00000009130,ENSXETT00000000926_ENSXETG00000005926,ENSXETT00000001236_ENSXETG00000005926,ENSXETT00000001264_ENSXETG00000005926,ENSXETT00000001475_ENSXETG00000005926,ENSECRT00000016340_ENSECRG00000010700,ENSECRT00000016349_ENSECRG00000010700,ENSECRT00000016355_ENSECRG00000010700,ENSPMET00000030108_ENSPMEG00000023629,ENSPMET00000035074_ENSPMEG00000023629,ENSPMET00000035077_ENSPMEG00000023629,ENSPFOT00000004413_ENSPFOG00000004450,ENSPLAT00000017361_ENSPLAG00000000314,ENSPLAT00000017377_ENSPLAG00000000314,ENSPRET00000020320_ENSPREG00000013591,ENSXMAT00000016276_ENSXMAG00000016208,ENSXMAT00000024581_ENSXMAG00000016208,ENSGAFT00000011577_ENSGAFG00000007768,ENSFHET00000017628_ENSFHEG00000012212,ENSKMAT00000011992_ENSKMAG00000008876,ENSPRNT00000048032_ENSPRNG00000021983,ENSGWIT00000013822_ENSGWIG00000007030,ENSGWIT00000013828_ENSGWIG00000007030,ENSGWIT00000013835_ENSGWIG00000007030
ENSLACT00000010444_ENSLACG00000009130,1.0,0.51,0.66,0.77,0.6,0.81,0.69,0.81,0.66,0.84,0.81,0.81,0.81,0.81,0.81,0.81,0.84,0.81,0.81,0.81,0.82,0.81,0.62,0.71
ENSXETT00000000926_ENSXETG00000005926,0.51,1.0,0.45,0.71,0.48,0.64,0.71,0.51,0.36,0.51,0.64,0.64,0.64,0.5,0.64,0.64,0.51,0.64,0.64,0.64,0.64,0.64,0.33,0.42
ENSXETT00000001236_ENSXETG00000005926,0.66,0.45,1.0,0.72,0.5,0.65,0.52,0.65,0.55,0.7,0.64,0.64,0.64,0.64,0.64,0.64,0.7,0.64,0.65,0.65,0.65,0.64,0.52,0.65
ENSXETT00000001264_ENSXETG00000005926,0.77,0.71,0.72,1.0,0.77,0.92,0.79,0.76,0.59,0.79,0.91,0.91,0.91,0.75,0.91,0.91,0.79,0.91,0.92,0.92,0.92,0.91,0.61,0.69
ENSXETT00000001475_ENSXETG00000005926,0.6,0.48,0.5,0.77,1.0,0.74,0.6,0.59,0.44,0.61,0.73,0.73,0.73,0.59,0.73,0.73,0.6,0.73,0.73,0.73,0.73,0.73,0.8,0.51
ENSECRT00000016340_ENSECRG00000010700,0.81,0.64,0.65,0.92,0.74,1.0,0.86,0.84,0.6,0.83,0.96,0.96,0.96,0.8,0.96,0.96,0.83,0.96,0.96,0.96,0.96,0.96,0.61,0.7
ENSECRT00000016349_ENSECRG00000010700,0.69,0.71,0.52,0.79,0.6,0.86,1.0,0.71,0.49,0.7,0.83,0.83,0.83,0.67,0.83,0.83,0.7,0.83,0.83,0.83,0.83,0.83,0.48,0.57
ENSECRT00000016355_ENSECRG00000010700,0.81,0.51,0.65,0.76,0.59,0.84,0.71,1.0,0.6,0.83,0.8,0.8,0.8,0.8,0.8,0.8,0.83,0.8,0.8,0.8,0.8,0.8,0.61,0.7
ENSPMET00000030108_ENSPMEG00000023629,0.66,0.36,0.55,0.59,0.44,0.6,0.49,0.6,1.0,0.65,0.63,0.63,0.63,0.63,0.63,0.63,0.64,0.63,0.62,0.62,0.62,0.61,0.45,0.73
ENSPMET00000035074_ENSPMEG00000023629,0.84,0.51,0.7,0.79,0.61,0.83,0.7,0.83,0.65,1.0,0.87,0.87,0.87,0.87,0.87,0.87,1.0,0.87,0.86,0.85,0.85,0.85,0.73,0.83
ENSPMET00000035077_ENSPMEG00000023629,0.81,0.64,0.64,0.91,0.73,0.96,0.83,0.8,0.63,0.87,1.0,1.0,1.0,0.84,1.0,1.0,0.87,1.0,0.99,0.98,0.98,0.98,0.62,0.71
ENSPFOT00000004413_ENSPFOG00000004450,0.81,0.64,0.64,0.91,0.73,0.96,0.83,0.8,0.63,0.87,1.0,1.0,1.0,0.84,1.0,1.0,0.87,1.0,0.99,0.98,0.98,0.98,0.62,0.71
ENSPLAT00000017361_ENSPLAG00000000314,0.81,0.64,0.64,0.91,0.73,0.96,0.83,0.8,0.63,0.87,1.0,1.0,1.0,0.84,1.0,1.0,0.87,1.0,0.99,0.98,0.98,0.98,0.62,0.71
ENSPLAT00000017377_ENSPLAG00000000314,0.81,0.5,0.64,0.75,0.59,0.8,0.67,0.8,0.63,0.87,0.84,0.84,0.84,1.0,0.84,0.83,0.86,0.83,0.82,0.82,0.82,0.82,0.62,0.71
ENSPRET00000020320_ENSPREG00000013591,0.81,0.64,0.64,0.91,0.73,0.96,0.83,0.8,0.63,0.87,1.0,1.0,1.0,0.84,1.0,1.0,0.87,1.0,0.98,0.98,0.98,0.98,0.62,0.71
ENSXMAT00000016276_ENSXMAG00000016208,0.81,0.64,0.64,0.91,0.73,0.96,0.83,0.8,0.63,0.87,1.0,1.0,1.0,0.83,1.0,1.0,0.87,1.0,0.98,0.98,0.98,0.98,0.62,0.71
ENSXMAT00000024581_ENSXMAG00000016208,0.84,0.51,0.7,0.79,0.6,0.83,0.7,0.83,0.64,1.0,0.87,0.87,0.87,0.86,0.87,0.87,1.0,0.87,0.85,0.85,0.85,0.85,0.73,0.83
ENSGAFT00000011577_ENSGAFG00000007768,0.81,0.64,0.64,0.91,0.73,0.96,0.83,0.8,0.63,0.87,1.0,1.0,1.0,0.83,1.0,1.0,0.87,1.0,0.98,0.98,0.98,0.98,0.62,0.71
ENSFHET00000017628_ENSFHEG00000012212,0.81,0.64,0.65,0.92,0.73,0.96,0.83,0.8,0.62,0.86,0.99,0.99,0.99,0.82,0.98,0.98,0.85,0.98,1.0,0.98,0.98,0.97,0.62,0.71
