,ENSPSMT00000010342_ENSPSMG00000006468,ENSPCOT00000038013_ENSPCOG00000026066,ENSMICT00000059522_ENSMICG00000046219,ENSOGAT00000029015_ENSOGAG00000032054,ENSPTRT00000109410_ENSPTRG00000052259,ENSPPAT00000017429_ENSPPAG00000015909,ENST00000330871_ENSG00000184557,ENST00000587578_ENSG00000184557,ENSGGOT00000065280_ENSGGOG00000036429,ENSPPYT00000010145_ENSPPYG00000008690
ENSPSMT00000010342_ENSPSMG00000006468,1.0,0.99,0.74,0.72,0.98,0.98,0.98,0.29,0.98,0.98
ENSPCOT00000038013_ENSPCOG00000026066,0.99,1.0,0.74,0.72,0.98,0.98,0.98,0.29,0.98,0.98
ENSMICT00000059522_ENSMICG00000046219,0.74,0.74,1.0,0.72,0.73,0.73,0.73,0.28,0.72,0.73
ENSOGAT00000029015_ENSOGAG00000032054,0.72,0.72,0.72,1.0,0.72,0.72,0.72,0.29,0.72,0.72
ENSPTRT00000109410_ENSPTRG00000052259,0.98,0.98,0.73,0.72,1.0,1.0,1.0,0.29,1.0,1.0
ENSPPAT00000017429_ENSPPAG00000015909,0.98,0.98,0.73,0.72,1.0,1.0,1.0,0.29,1.0,1.0
ENST00000330871_ENSG00000184557,0.98,0.98,0.73,0.72,1.0,1.0,1.0,0.29,1.0,1.0
ENST00000587578_ENSG00000184557,0.29,0.29,0.28,0.29,0.29,0.29,0.29,1.0,0.29,0.29
ENSGGOT00000065280_ENSGGOG00000036429,0.98,0.98,0.72,0.72,1.0,1.0,1.0,0.29,1.0,1.0
ENSPPYT00000010145_ENSPPYG00000008690,0.98,0.98,0.73,0.72,1.0,1.0,1.0,0.29,1.0,1.0
