,ENSPLAT00000010373_ENSPLAG00000005611,ENSPFOT00000021954_ENSPFOG00000022468,ENSPFOT00000022260_ENSPFOG00000022468,ENSPFOT00000023231_ENSPFOG00000022468,ENSPFOT00000018225_ENSPFOG00000018112,ENSPMET00000028360_ENSPMEG00000022040,ENSPFOT00000017066_ENSPFOG00000016984,ENSPFOT00000023141_ENSPFOG00000016984,ENSPFOT00000000265_ENSPFOG00000000299,ENSPFOT00000011865_ENSPFOG00000011873,ENSPFOT00000021951_ENSPFOG00000011873,ENSPRET00000022673_ENSPREG00000015152
ENSPLAT00000010373_ENSPLAG00000005611,1.0,0.07,0.07,0.06,0.12,0.12,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSPFOT00000021954_ENSPFOG00000022468,0.07,1.0,0.43,0.44,0.14,0.06,0.17,0.17,0.17,0.15,0.17,0.19
ENSPFOT00000022260_ENSPFOG00000022468,0.07,0.43,1.0,0.28,0.14,0.06,0.25,0.17,0.25,0.22,0.17,0.29
ENSPFOT00000023231_ENSPFOG00000022468,0.06,0.44,0.28,1.0,0.11,0.05,0.15,0.06,0.09,0.14,0.06,0.1
ENSPFOT00000018225_ENSPFOG00000018112,0.12,0.14,0.14,0.11,1.0,1e-18,0.06,0.1,0.06,0.06,0.1,0.07
ENSPMET00000028360_ENSPMEG00000022040,0.12,0.06,0.06,0.05,1e-18,1.0,0.06,1e-18,0.06,0.06,1e-18,0.07
ENSPFOT00000017066_ENSPFOG00000016984,1e-18,0.17,0.25,0.15,0.06,0.06,1.0,0.17,0.36,0.5,0.17,0.42
ENSPFOT00000023141_ENSPFOG00000016984,1e-18,0.17,0.17,0.06,0.1,1e-18,0.17,1.0,0.17,0.14,0.5,0.2
ENSPFOT00000000265_ENSPFOG00000000299,1e-18,0.17,0.25,0.09,0.06,0.06,0.36,0.17,1.0,0.43,0.17,0.42
ENSPFOT00000011865_ENSPFOG00000011873,1e-18,0.15,0.22,0.14,0.06,0.06,0.5,0.14,0.43,1.0,0.14,0.36
ENSPFOT00000021951_ENSPFOG00000011873,1e-18,0.17,0.17,0.06,0.1,1e-18,0.17,0.5,0.17,0.14,1.0,0.2
ENSPRET00000022673_ENSPREG00000015152,1e-18,0.19,0.29,0.1,0.07,0.07,0.42,0.2,0.42,0.36,0.2,1.0
