,FBtr0339964_FBgn0033902,FBtr0087579_FBgn0033902,K08F11.3.1_WBGene00019543,K08F11.3.2_WBGene00019543,ENSPCIT00000006438_ENSPCIG00000004258,ENSPCIT00000006449_ENSPCIG00000004258,ENSPCIT00000064100_ENSPCIG00000004258,ENSPCIT00000006444_ENSPCIG00000004258,ENSVURT00010019505_ENSVURG00010013122,ENSVURT00010019517_ENSVURG00010013122,ENSVURT00010019529_ENSVURG00010013122,ENSPCIT00000040362_ENSPCIG00000024347,ENSSHAT00000020968_ENSSHAG00000017641,ENSMODT00000012326_ENSMODG00000009678,ENSMODT00000068626_ENSMODG00000009678,ENSCCNT00000027853_ENSCCNG00000021421,ENSCCNT00000027855_ENSCCNG00000021421,ENSSTOT00000041056_ENSSTOG00000010502,ENSSTOT00000010505_ENSSTOG00000010502
FBtr0339964_FBgn0033902,1.0,0.97,0.51,0.51,0.63,0.63,0.64,0.6,0.63,0.63,0.64,0.66,0.63,0.63,0.64,0.63,0.64,0.63,0.64
FBtr0087579_FBgn0033902,0.97,1.0,0.51,0.51,0.63,0.63,0.64,0.6,0.63,0.63,0.64,0.66,0.63,0.63,0.64,0.63,0.64,0.63,0.64
K08F11.3.1_WBGene00019543,0.51,0.51,1.0,0.84,0.51,0.51,0.53,0.51,0.51,0.51,0.53,0.53,0.51,0.51,0.53,0.51,0.53,0.51,0.53
K08F11.3.2_WBGene00019543,0.51,0.51,0.84,1.0,0.51,0.51,0.53,0.51,0.51,0.51,0.53,0.53,0.51,0.51,0.53,0.51,0.53,0.51,0.53
ENSPCIT00000006438_ENSPCIG00000004258,0.63,0.63,0.51,0.51,1.0,0.87,0.82,0.88,0.87,0.95,0.82,0.7,0.95,0.95,0.82,0.95,0.81,0.95,0.81
ENSPCIT00000006449_ENSPCIG00000004258,0.63,0.63,0.51,0.51,0.87,1.0,0.75,0.81,0.87,0.87,0.75,0.7,0.87,0.87,0.75,0.86,0.74,0.86,0.74
ENSPCIT00000064100_ENSPCIG00000004258,0.64,0.64,0.53,0.53,0.82,0.75,1.0,0.75,0.74,0.82,0.97,0.78,0.82,0.82,0.97,0.81,0.96,0.81,0.96
ENSPCIT00000006444_ENSPCIG00000004258,0.6,0.6,0.51,0.51,0.88,0.81,0.75,1.0,0.8,0.88,0.75,0.65,0.87,0.87,0.75,0.87,0.75,0.87,0.75
ENSVURT00010019505_ENSVURG00010013122,0.63,0.63,0.51,0.51,0.87,0.87,0.74,0.8,1.0,0.87,0.74,0.7,0.87,0.87,0.74,0.86,0.74,0.86,0.74
ENSVURT00010019517_ENSVURG00010013122,0.63,0.63,0.51,0.51,0.95,0.87,0.82,0.88,0.87,1.0,0.82,0.7,0.95,0.95,0.82,0.95,0.81,0.95,0.81
ENSVURT00010019529_ENSVURG00010013122,0.64,0.64,0.53,0.53,0.82,0.75,0.97,0.75,0.74,0.82,1.0,0.78,0.82,0.82,0.97,0.81,0.96,0.81,0.96
ENSPCIT00000040362_ENSPCIG00000024347,0.66,0.66,0.53,0.53,0.7,0.7,0.78,0.65,0.7,0.7,0.78,1.0,0.7,0.7,0.78,0.69,0.78,0.69,0.78
ENSSHAT00000020968_ENSSHAG00000017641,0.63,0.63,0.51,0.51,0.95,0.87,0.82,0.87,0.87,0.95,0.82,0.7,1.0,0.95,0.82,0.95,0.81,0.95,0.82
ENSMODT00000012326_ENSMODG00000009678,0.63,0.63,0.51,0.51,0.95,0.87,0.82,0.87,0.87,0.95,0.82,0.7,0.95,1.0,0.82,0.95,0.81,0.95,0.82
ENSMODT00000068626_ENSMODG00000009678,0.64,0.64,0.53,0.53,0.82,0.75,0.97,0.75,0.74,0.82,0.97,0.78,0.82,0.82,1.0,0.81,0.96,0.82,0.96
ENSCCNT00000027853_ENSCCNG00000021421,0.63,0.63,0.51,0.51,0.95,0.86,0.81,0.87,0.86,0.95,0.81,0.69,0.95,0.95,0.81,1.0,0.82,0.95,0.82
ENSCCNT00000027855_ENSCCNG00000021421,0.64,0.64,0.53,0.53,0.81,0.74,0.96,0.75,0.74,0.81,0.96,0.78,0.81,0.81,0.96,0.82,1.0,0.82,0.97
ENSSTOT00000041056_ENSSTOG00000010502,0.63,0.63,0.51,0.51,0.95,0.86,0.81,0.87,0.86,0.95,0.81,0.69,0.95,0.95,0.82,0.95,0.82,1.0,0.82
ENSSTOT00000010505_ENSSTOG00000010502,0.64,0.64,0.53,0.53,0.81,0.74,0.96,0.75,0.74,0.81,0.96,0.78,0.82,0.82,0.96,0.82,0.97,0.82,1.0
