,ENSPFOT00000014573_ENSPFOG00000014530,ENSPLAT00000023436_ENSPLAG00000018755,ENSPRET00000001212_ENSPREG00000000879,ENSPMET00000000402_ENSPMEG00000011533,ENSGAFT00000031234_ENSGAFG00000020846,ENSXMAT00000005363_ENSXMAG00000005352,ENSXCOT00000008500_ENSXCOG00000006440,ENSPRNT00000033734_ENSPRNG00000015889,ENSPRNT00000033737_ENSPRNG00000015889,ENSHCOT00000016821_ENSHCOG00000013017
ENSPFOT00000014573_ENSPFOG00000014530,1.0,1.0,1.0,1.0,0.69,0.78,0.78,0.91,0.78,0.82
ENSPLAT00000023436_ENSPLAG00000018755,1.0,1.0,1.0,1.0,0.69,0.78,0.78,0.91,0.78,0.82
ENSPRET00000001212_ENSPREG00000000879,1.0,1.0,1.0,1.0,0.68,0.77,0.77,0.91,0.78,0.82
ENSPMET00000000402_ENSPMEG00000011533,1.0,1.0,1.0,1.0,0.69,0.78,0.78,0.91,0.78,0.82
ENSGAFT00000031234_ENSGAFG00000020846,0.69,0.69,0.68,0.69,1.0,0.52,0.52,0.61,0.54,0.57
ENSXMAT00000005363_ENSXMAG00000005352,0.78,0.78,0.77,0.78,0.52,1.0,1.0,0.71,0.73,0.66
ENSXCOT00000008500_ENSXCOG00000006440,0.78,0.78,0.77,0.78,0.52,1.0,1.0,0.71,0.73,0.66
ENSPRNT00000033734_ENSPRNG00000015889,0.91,0.91,0.91,0.91,0.61,0.71,0.71,1.0,0.86,0.82
ENSPRNT00000033737_ENSPRNG00000015889,0.78,0.78,0.78,0.78,0.54,0.73,0.73,0.86,1.0,0.72
ENSHCOT00000016821_ENSHCOG00000013017,0.82,0.82,0.82,0.82,0.57,0.66,0.66,0.82,0.72,1.0
