,ENSPLAT00000002946_ENSPLAG00000010968,ENSPLAT00000002954_ENSPLAG00000010968,ENSPFOT00000008868_ENSPFOG00000008891,ENSPRET00000018423_ENSPREG00000012338,ENSPRET00000018443_ENSPREG00000012338,ENSCVAT00000017043_ENSCVAG00000012494,ENSCVAT00000017070_ENSCVAG00000012494,ENSORLT00000044082_ENSORLG00000025453,ENSORLT00000039721_ENSORLG00000025453,ENSGWIT00000022806_ENSGWIG00000011230,ENSGWIT00000022818_ENSGWIG00000011230,ENSGWIT00000022819_ENSGWIG00000011230,ENSGWIT00000022821_ENSGWIG00000011230,ENSNBRT00000026159_ENSNBRG00000019482,ENSNBRT00000026170_ENSNBRG00000019482,ENSMZET00005005977_ENSMZEG00005004429,ENSMZET00005005992_ENSMZEG00005004429,ENSMAMT00000016696_ENSMAMG00000010995,ENSMAMT00000016704_ENSMAMG00000010995,ENSLCAT00010048673_ENSLCAG00010022061,ENSLCAT00010048677_ENSLCAG00010022061,ENSLCAT00010048680_ENSLCAG00010022061,ENSSDUT00000022598_ENSSDUG00000016145,ENSSDUT00000022614_ENSSDUG00000016145
ENSPLAT00000002946_ENSPLAG00000010968,1.0,0.94,0.99,0.99,0.92,0.9,0.96,0.93,0.86,0.49,0.89,0.83,0.65,0.94,0.88,0.94,0.88,0.92,0.85,0.94,0.88,0.68,0.93,0.87
ENSPLAT00000002954_ENSPLAG00000010968,0.94,1.0,0.93,0.93,0.98,0.97,0.9,0.87,0.92,0.43,0.83,0.89,0.59,0.88,0.94,0.88,0.94,0.85,0.92,0.88,0.94,0.62,0.87,0.93
ENSPFOT00000008868_ENSPFOG00000008891,0.99,0.93,1.0,0.98,0.9,0.89,0.95,0.92,0.85,0.48,0.88,0.82,0.64,0.93,0.87,0.93,0.87,0.91,0.84,0.93,0.87,0.67,0.92,0.86
ENSPRET00000018423_ENSPREG00000012338,0.99,0.93,0.98,1.0,0.93,0.9,0.96,0.93,0.86,0.5,0.89,0.83,0.65,0.94,0.87,0.93,0.87,0.92,0.85,0.94,0.88,0.69,0.93,0.87
ENSPRET00000018443_ENSPREG00000012338,0.92,0.98,0.9,0.93,1.0,0.95,0.89,0.86,0.93,0.45,0.82,0.88,0.59,0.86,0.92,0.86,0.92,0.84,0.9,0.87,0.93,0.62,0.86,0.92
ENSCVAT00000017043_ENSCVAG00000012494,0.9,0.97,0.89,0.9,0.95,1.0,0.94,0.86,0.91,0.43,0.83,0.89,0.6,0.89,0.95,0.89,0.95,0.87,0.93,0.88,0.94,0.63,0.88,0.94
ENSCVAT00000017070_ENSCVAG00000012494,0.96,0.9,0.95,0.96,0.89,0.94,1.0,0.92,0.85,0.49,0.89,0.83,0.65,0.95,0.89,0.95,0.89,0.93,0.87,0.94,0.88,0.69,0.94,0.88
ENSORLT00000044082_ENSORLG00000025453,0.93,0.87,0.92,0.93,0.86,0.86,0.92,1.0,0.93,0.47,0.87,0.81,0.65,0.93,0.88,0.93,0.87,0.9,0.85,0.92,0.86,0.68,0.91,0.85
ENSORLT00000039721_ENSORLG00000025453,0.86,0.92,0.85,0.86,0.93,0.91,0.85,0.93,1.0,0.43,0.8,0.86,0.59,0.86,0.93,0.86,0.92,0.84,0.9,0.85,0.91,0.62,0.84,0.9
ENSGWIT00000022806_ENSGWIG00000011230,0.49,0.43,0.48,0.5,0.45,0.43,0.49,0.47,0.43,1.0,0.56,0.5,0.5,0.49,0.43,0.49,0.43,0.48,0.42,0.5,0.44,0.45,0.49,0.43
ENSGWIT00000022818_ENSGWIG00000011230,0.89,0.83,0.88,0.89,0.82,0.83,0.89,0.87,0.8,0.56,1.0,0.94,0.74,0.9,0.84,0.89,0.83,0.88,0.82,0.9,0.84,0.65,0.89,0.83
ENSGWIT00000022819_ENSGWIG00000011230,0.83,0.89,0.82,0.83,0.88,0.89,0.83,0.81,0.86,0.5,0.94,1.0,0.68,0.84,0.9,0.83,0.89,0.82,0.89,0.84,0.9,0.59,0.83,0.89
ENSGWIT00000022821_ENSGWIG00000011230,0.65,0.59,0.64,0.65,0.59,0.6,0.65,0.65,0.59,0.5,0.74,0.68,1.0,0.66,0.6,0.66,0.6,0.65,0.59,0.65,0.59,0.92,0.66,0.6
ENSNBRT00000026159_ENSNBRG00000019482,0.94,0.88,0.93,0.94,0.86,0.89,0.95,0.93,0.86,0.49,0.9,0.84,0.66,1.0,0.94,1.0,0.94,0.94,0.87,0.95,0.89,0.7,0.94,0.88
ENSNBRT00000026170_ENSNBRG00000019482,0.88,0.94,0.87,0.87,0.92,0.95,0.89,0.88,0.93,0.43,0.84,0.9,0.6,0.94,1.0,0.94,1.0,0.87,0.94,0.89,0.95,0.64,0.88,0.94
ENSMZET00005005977_ENSMZEG00005004429,0.94,0.88,0.93,0.93,0.86,0.89,0.95,0.93,0.86,0.49,0.89,0.83,0.66,1.0,0.94,1.0,0.94,0.94,0.87,0.95,0.89,0.7,0.94,0.88
ENSMZET00005005992_ENSMZEG00005004429,0.88,0.94,0.87,0.87,0.92,0.95,0.89,0.87,0.92,0.43,0.83,0.89,0.6,0.94,1.0,0.94,1.0,0.87,0.94,0.89,0.95,0.64,0.88,0.94
ENSMAMT00000016696_ENSMAMG00000010995,0.92,0.85,0.91,0.92,0.84,0.87,0.93,0.9,0.84,0.48,0.88,0.82,0.65,0.94,0.87,0.94,0.87,1.0,0.94,0.96,0.9,0.71,0.97,0.9
ENSMAMT00000016704_ENSMAMG00000010995,0.85,0.92,0.84,0.85,0.9,0.93,0.87,0.85,0.9,0.42,0.82,0.89,0.59,0.87,0.94,0.87,0.94,0.94,1.0,0.9,0.96,0.65,0.9,0.97
ENSLCAT00010048673_ENSLCAG00010022061,0.94,0.88,0.93,0.94,0.87,0.88,0.94,0.92,0.85,0.5,0.9,0.84,0.65,0.95,0.89,0.95,0.89,0.96,0.9,1.0,0.94,0.74,0.98,0.92
ENSLCAT00010048677_ENSLCAG00010022061,0.88,0.94,0.87,0.88,0.93,0.94,0.88,0.86,0.91,0.44,0.84,0.9,0.59,0.89,0.95,0.89,0.95,0.9,0.96,0.94,1.0,0.68,0.92,0.98
ENSLCAT00010048680_ENSLCAG00010022061,0.68,0.62,0.67,0.69,0.62,0.63,0.69,0.68,0.62,0.45,0.65,0.59,0.92,0.7,0.64,0.7,0.64,0.71,0.65,0.74,0.68,1.0,0.73,0.67
ENSSDUT00000022598_ENSSDUG00000016145,0.93,0.87,0.92,0.93,0.86,0.88,0.94,0.91,0.84,0.49,0.89,0.83,0.66,0.94,0.88,0.94,0.88,0.97,0.9,0.98,0.92,0.73,1.0,0.94
