,ENSVURT00010023149_ENSVURG00010015559,ENSVURT00010023155_ENSVURG00010015559,ENSPCIT00000052606_ENSPCIG00000035190,ENSPCIT00000060994_ENSPCIG00000035190,ENSPCIT00000058076_ENSPCIG00000035190,ENSSHAT00000007136_ENSSHAG00000006147,ENSSHAT00000007137_ENSSHAG00000006147,ENSMODT00000053069_ENSMODG00000046786,ENSMODT00000055307_ENSMODG00000046786,ENSSART00000014363_ENSSARG00000014349,ENSEEUT00000007855_ENSEEUG00000007870
ENSVURT00010023149_ENSVURG00010015559,1.0,0.82,0.94,0.81,0.82,0.51,0.92,0.92,0.8,0.55,0.78
ENSVURT00010023155_ENSVURG00010015559,0.82,1.0,0.82,0.7,0.94,0.4,0.8,0.8,0.92,0.45,0.66
ENSPCIT00000052606_ENSPCIG00000035190,0.94,0.82,1.0,0.82,0.82,0.5,0.92,0.92,0.8,0.55,0.78
ENSPCIT00000060994_ENSPCIG00000035190,0.81,0.7,0.82,1.0,0.71,0.41,0.8,0.79,0.68,0.48,0.78
ENSPCIT00000058076_ENSPCIG00000035190,0.82,0.94,0.82,0.71,1.0,0.4,0.8,0.8,0.91,0.45,0.66
ENSSHAT00000007136_ENSSHAG00000006147,0.51,0.4,0.5,0.41,0.4,1.0,0.52,0.5,0.4,0.29,0.4
ENSSHAT00000007137_ENSSHAG00000006147,0.92,0.8,0.92,0.8,0.8,0.52,1.0,0.92,0.8,0.55,0.78
ENSMODT00000053069_ENSMODG00000046786,0.92,0.8,0.92,0.79,0.8,0.5,0.92,1.0,0.82,0.55,0.78
ENSMODT00000055307_ENSMODG00000046786,0.8,0.92,0.8,0.68,0.91,0.4,0.8,0.82,1.0,0.45,0.66
ENSSART00000014363_ENSSARG00000014349,0.55,0.45,0.55,0.48,0.45,0.29,0.55,0.55,0.45,1.0,0.57
ENSEEUT00000007855_ENSEEUG00000007870,0.78,0.66,0.78,0.78,0.66,0.4,0.78,0.78,0.66,0.57,1.0
