,FBtr0080594_FBgn0028875,FBtr0300594_FBgn0028875,FBtr0309867_FBgn0028875,FBtr0331284_FBgn0032151,FBtr0079913_FBgn0032151,FBtr0079914_FBgn0032151,FBtr0079915_FBgn0032151,FBtr0303898_FBgn0032151,FBtr0079916_FBgn0032151,FBtr0079912_FBgn0032151,FBtr0301834_FBgn0086778,FBtr0343798_FBgn0086778,FBtr0301835_FBgn0086778,FBtr0074680_FBgn0086778
FBtr0080594_FBgn0028875,1.0,1.0,1.0,0.45,0.36,0.37,0.37,0.45,0.45,0.41,0.5,0.5,0.52,0.5
FBtr0300594_FBgn0028875,1.0,1.0,1.0,0.45,0.36,0.37,0.37,0.45,0.45,0.41,0.5,0.5,0.52,0.5
FBtr0309867_FBgn0028875,1.0,1.0,1.0,0.45,0.36,0.37,0.37,0.45,0.45,0.41,0.5,0.5,0.52,0.5
FBtr0331284_FBgn0032151,0.45,0.45,0.45,1.0,0.82,0.78,0.85,0.88,0.88,0.9,0.58,0.58,0.58,0.58
FBtr0079913_FBgn0032151,0.36,0.36,0.36,0.82,1.0,0.9,0.92,0.8,0.8,0.87,0.52,0.52,0.52,0.52
FBtr0079914_FBgn0032151,0.37,0.37,0.37,0.78,0.9,1.0,0.88,0.85,0.85,0.82,0.55,0.55,0.55,0.55
FBtr0079915_FBgn0032151,0.37,0.37,0.37,0.85,0.92,0.88,1.0,0.78,0.78,0.9,0.5,0.5,0.5,0.5
FBtr0303898_FBgn0032151,0.45,0.45,0.45,0.88,0.8,0.85,0.78,1.0,0.96,0.82,0.64,0.64,0.64,0.64
FBtr0079916_FBgn0032151,0.45,0.45,0.45,0.88,0.8,0.85,0.78,0.96,1.0,0.82,0.64,0.64,0.64,0.64
FBtr0079912_FBgn0032151,0.41,0.41,0.41,0.9,0.87,0.82,0.9,0.82,0.82,1.0,0.54,0.54,0.53,0.54
FBtr0301834_FBgn0086778,0.5,0.5,0.5,0.58,0.52,0.55,0.5,0.64,0.64,0.54,1.0,0.98,0.91,0.98
FBtr0343798_FBgn0086778,0.5,0.5,0.5,0.58,0.52,0.55,0.5,0.64,0.64,0.54,0.98,1.0,0.91,0.98
FBtr0301835_FBgn0086778,0.52,0.52,0.52,0.58,0.52,0.55,0.5,0.64,0.64,0.53,0.91,0.91,1.0,0.91
FBtr0074680_FBgn0086778,0.5,0.5,0.5,0.58,0.52,0.55,0.5,0.64,0.64,0.54,0.98,0.98,0.91,1.0
