,ENSPCIT00000042140_ENSPCIG00000025340,ENSMEUT00000007261_ENSMEUG00000007249,ENSMODT00000024695_ENSMODG00000019455,ENSPTRT00000059167_ENSPTRG00000044114,ENSPTRT00000098388_ENSPTRG00000044114,ENSPTRT00000093969_ENSPTRG00000044114,ENSPTRT00000081159_ENSPTRG00000044114,ENST00000359676_ENSG00000197183,ENST00000621426_ENSG00000197183,ENST00000326071_ENSG00000197183,ENST00000375678_ENSG00000197183,ENST00000616976_ENSG00000197183,ENSPPAT00000065134_ENSPPAG00000043681,ENSPPAT00000065139_ENSPPAG00000043681,ENSGGOT00000028069_ENSGGOG00000002289,ENSGGOT00000044906_ENSGGOG00000002289,ENSGGOT00000046990_ENSGGOG00000002289,ENSPPYT00000012662_ENSPPYG00000010907,ENSNLET00000038470_ENSNLEG00000009815,ENSNLET00000043874_ENSNLEG00000009815,ENSNLET00000057712_ENSNLEG00000009815,ENSRROT00000057867_ENSRROG00000040291,ENSRROT00000057868_ENSRROG00000040291,ENSRROT00000057869_ENSRROG00000040291,ENSRROT00000057872_ENSRROG00000040291,ENSRBIT00000057252_ENSRBIG00000040392,ENSRBIT00000057257_ENSRBIG00000040392,ENSRBIT00000057258_ENSRBIG00000040392,ENSRBIT00000057259_ENSRBIG00000040392,ENSPTET00000006366_ENSPTEG00000004799,ENSPTET00000006375_ENSPTEG00000004799,ENSPTET00000006380_ENSPTEG00000004799,ENSPTET00000006387_ENSPTEG00000004799,ENSPTET00000006393_ENSPTEG00000004799
ENSPCIT00000042140_ENSPCIG00000025340,1.0,0.73,0.85,0.78,0.66,0.54,0.54,0.66,0.78,0.43,0.54,0.64,0.66,0.54,0.66,0.54,0.54,0.64,0.54,0.54,0.59,0.54,0.54,0.64,0.43,0.66,0.43,0.54,0.54,0.81,0.66,0.75,0.75,0.54
ENSMEUT00000007261_ENSMEUG00000007249,0.73,1.0,0.66,0.6,0.75,0.43,0.43,0.75,0.6,0.47,0.43,0.7,0.75,0.43,0.75,0.43,0.43,0.67,0.43,0.43,0.67,0.43,0.43,0.7,0.47,0.75,0.48,0.43,0.43,0.61,0.74,0.61,0.61,0.43
ENSMODT00000024695_ENSMODG00000019455,0.85,0.66,1.0,0.73,0.62,0.57,0.57,0.62,0.73,0.43,0.57,0.6,0.62,0.57,0.62,0.57,0.57,0.6,0.57,0.57,0.58,0.57,0.57,0.6,0.44,0.62,0.44,0.57,0.57,0.76,0.61,0.71,0.71,0.57
ENSPTRT00000059167_ENSPTRG00000044114,0.78,0.6,0.73,1.0,0.79,0.61,0.61,0.79,1.0,0.52,0.61,0.75,0.79,0.61,0.79,0.61,0.61,0.76,0.61,0.61,0.7,0.61,0.61,0.73,0.52,0.76,0.52,0.61,0.61,0.94,0.78,0.86,0.86,0.61
ENSPTRT00000098388_ENSPTRG00000044114,0.66,0.75,0.62,0.79,1.0,0.53,0.53,1.0,0.79,0.56,0.53,0.9,1.0,0.53,1.0,0.53,0.53,0.9,0.53,0.53,0.84,0.52,0.52,0.89,0.55,0.95,0.56,0.52,0.52,0.81,0.98,0.73,0.73,0.52
ENSPTRT00000093969_ENSPTRG00000044114,0.54,0.43,0.57,0.61,0.53,1.0,0.83,0.53,0.61,0.54,1.0,0.52,0.53,1.0,0.53,1.0,0.83,0.52,1.0,0.83,0.52,0.99,0.83,0.52,0.57,0.52,0.54,0.99,0.83,0.62,0.52,0.62,0.62,0.99
ENSPTRT00000081159_ENSPTRG00000044114,0.54,0.43,0.57,0.61,0.53,0.83,1.0,0.53,0.61,0.54,0.83,0.52,0.53,0.83,0.53,0.83,1.0,0.52,0.83,0.94,0.52,0.83,0.98,0.52,0.53,0.52,0.54,0.83,0.98,0.62,0.52,0.62,0.62,0.83
ENST00000359676_ENSG00000197183,0.66,0.75,0.62,0.79,1.0,0.53,0.53,1.0,0.79,0.56,0.53,0.91,1.0,0.53,1.0,0.53,0.53,0.9,0.53,0.53,0.84,0.52,0.52,0.89,0.55,0.95,0.56,0.52,0.52,0.81,0.98,0.73,0.73,0.52
ENST00000621426_ENSG00000197183,0.78,0.6,0.73,1.0,0.79,0.61,0.61,0.79,1.0,0.52,0.61,0.75,0.79,0.61,0.79,0.61,0.61,0.76,0.61,0.61,0.7,0.61,0.61,0.73,0.52,0.76,0.52,0.61,0.61,0.94,0.78,0.86,0.86,0.61
ENST00000326071_ENSG00000197183,0.43,0.47,0.43,0.52,0.56,0.54,0.54,0.56,0.52,1.0,0.54,0.56,0.56,0.54,0.56,0.54,0.54,0.53,0.54,0.54,0.56,0.54,0.54,0.55,0.73,0.56,0.86,0.54,0.54,0.52,0.56,0.52,0.52,0.54
