,FBtr0078778_FBgn0037301,C24G6.3.1_WBGene00016060,ENSPMAT00000005339_ENSPMAG00000004861,ENSEBUT00000003924_ENSEBUG00000002573,ENSCHAT00000040353_ENSCHAG00000017534,ENSCHAT00000040395_ENSCHAG00000017534,ENSCHAT00000040423_ENSCHAG00000017534,ENSCHAT00000040449_ENSCHAG00000017534,ENSCHAT00000040464_ENSCHAG00000017534,ENSDCDT00000008094_ENSDCDG00000003622,ENSDCDT00000008173_ENSDCDG00000003622,ENSEEET00000006849_ENSEEEG00000003561,ENSEEET00000006857_ENSEEEG00000003561,ENSEEET00000006858_ENSEEEG00000003561,ENSEEET00000006859_ENSEEEG00000003561,ENSEEET00000006861_ENSEEEG00000003561,ENSEEET00000006863_ENSEEEG00000003561,ENSIPUT00000021551_ENSIPUG00000014011,ENSAMXT00000003146_ENSAMXG00000003029
FBtr0078778_FBgn0037301,1.0,0.38,0.43,0.35,0.33,0.36,0.36,0.38,0.38,0.33,0.35,0.33,0.36,0.39,0.38,0.36,0.37,0.33,0.34
C24G6.3.1_WBGene00016060,0.38,1.0,0.44,0.38,0.37,0.38,0.38,0.38,0.39,0.37,0.38,0.38,0.4,0.41,0.41,0.39,0.4,0.38,0.38
ENSPMAT00000005339_ENSPMAG00000004861,0.43,0.44,1.0,0.45,0.56,0.56,0.57,0.54,0.6,0.56,0.57,0.57,0.55,0.52,0.58,0.49,0.5,0.57,0.57
ENSEBUT00000003924_ENSEBUG00000002573,0.35,0.38,0.45,1.0,0.62,0.56,0.54,0.56,0.52,0.61,0.53,0.62,0.57,0.6,0.56,0.61,0.61,0.62,0.6
ENSCHAT00000040353_ENSCHAG00000017534,0.33,0.37,0.56,0.62,1.0,0.73,0.71,0.66,0.72,0.87,0.71,0.86,0.72,0.65,0.66,0.68,0.66,0.86,0.84
ENSCHAT00000040395_ENSCHAG00000017534,0.36,0.38,0.56,0.56,0.73,1.0,0.83,0.67,0.74,0.69,0.74,0.69,0.67,0.58,0.67,0.64,0.65,0.69,0.7
ENSCHAT00000040423_ENSCHAG00000017534,0.36,0.38,0.57,0.54,0.71,0.83,1.0,0.67,0.77,0.68,0.72,0.68,0.69,0.61,0.69,0.65,0.67,0.68,0.69
ENSCHAT00000040449_ENSCHAG00000017534,0.38,0.38,0.54,0.56,0.66,0.67,0.67,1.0,0.72,0.64,0.64,0.64,0.62,0.68,0.6,0.61,0.6,0.64,0.64
ENSCHAT00000040464_ENSCHAG00000017534,0.38,0.39,0.6,0.52,0.72,0.74,0.77,0.72,1.0,0.69,0.68,0.69,0.67,0.62,0.67,0.59,0.61,0.68,0.69
ENSDCDT00000008094_ENSDCDG00000003622,0.33,0.37,0.56,0.61,0.87,0.69,0.68,0.64,0.69,1.0,0.75,0.86,0.72,0.65,0.66,0.68,0.66,0.85,0.83
ENSDCDT00000008173_ENSDCDG00000003622,0.35,0.38,0.57,0.53,0.71,0.74,0.72,0.64,0.68,0.75,1.0,0.71,0.68,0.61,0.66,0.65,0.64,0.7,0.72
ENSEEET00000006849_ENSEEEG00000003561,0.33,0.38,0.57,0.62,0.86,0.69,0.68,0.64,0.69,0.86,0.71,1.0,0.77,0.68,0.69,0.72,0.7,0.88,0.85
ENSEEET00000006857_ENSEEEG00000003561,0.36,0.4,0.55,0.57,0.72,0.67,0.69,0.62,0.67,0.72,0.68,0.77,1.0,0.73,0.81,0.79,0.76,0.74,0.75
ENSEEET00000006858_ENSEEEG00000003561,0.39,0.41,0.52,0.6,0.65,0.58,0.61,0.68,0.62,0.65,0.61,0.68,0.73,1.0,0.68,0.74,0.7,0.66,0.67
ENSEEET00000006859_ENSEEEG00000003561,0.38,0.41,0.58,0.56,0.66,0.67,0.69,0.6,0.67,0.66,0.66,0.69,0.81,0.68,1.0,0.72,0.73,0.67,0.68
ENSEEET00000006861_ENSEEEG00000003561,0.36,0.39,0.49,0.61,0.68,0.64,0.65,0.61,0.59,0.68,0.65,0.72,0.79,0.74,0.72,1.0,0.91,0.7,0.71
ENSEEET00000006863_ENSEEEG00000003561,0.37,0.4,0.5,0.61,0.66,0.65,0.67,0.6,0.61,0.66,0.64,0.7,0.76,0.7,0.73,0.91,1.0,0.68,0.68
ENSIPUT00000021551_ENSIPUG00000014011,0.33,0.38,0.57,0.62,0.86,0.69,0.68,0.64,0.68,0.85,0.7,0.88,0.74,0.66,0.67,0.7,0.68,1.0,0.85
ENSAMXT00000003146_ENSAMXG00000003029,0.34,0.38,0.57,0.6,0.84,0.7,0.69,0.64,0.69,0.83,0.72,0.85,0.75,0.67,0.68,0.71,0.68,0.85,1.0
