,ENSPCOT00000033043_ENSPCOG00000023276,ENSPCOT00000033046_ENSPCOG00000023276,ENSMICT00000065267_ENSMICG00000036595,ENSMICT00000036911_ENSMICG00000036595,ENSOGAT00000009042_ENSOGAG00000009041,ENSGGOT00000063128_ENSGGOG00000009947,ENSGGOT00000009985_ENSGGOG00000009947,ENSGGOT00000053012_ENSGGOG00000009947,ENSGGOT00000056965_ENSGGOG00000009947,ENSGGOT00000054842_ENSGGOG00000009947
ENSPCOT00000033043_ENSPCOG00000023276,1.0,0.84,0.99,0.83,0.62,0.66,0.98,0.83,0.35,0.47
ENSPCOT00000033046_ENSPCOG00000023276,0.84,1.0,0.83,0.84,0.61,0.66,0.83,0.83,0.35,0.46
ENSMICT00000065267_ENSMICG00000036595,0.99,0.83,1.0,0.84,0.62,0.66,0.98,0.82,0.35,0.47
ENSMICT00000036911_ENSMICG00000036595,0.83,0.84,0.84,1.0,0.61,0.66,0.82,0.83,0.34,0.46
ENSOGAT00000009042_ENSOGAG00000009041,0.62,0.61,0.62,0.61,1.0,0.56,0.62,0.61,0.28,0.34
ENSGGOT00000063128_ENSGGOG00000009947,0.66,0.66,0.66,0.66,0.56,1.0,0.68,0.68,0.32,0.39
ENSGGOT00000009985_ENSGGOG00000009947,0.98,0.83,0.98,0.82,0.62,0.68,1.0,0.84,0.36,0.48
ENSGGOT00000053012_ENSGGOG00000009947,0.83,0.83,0.82,0.83,0.61,0.68,0.84,1.0,0.35,0.47
ENSGGOT00000056965_ENSGGOG00000009947,0.35,0.35,0.35,0.34,0.28,0.32,0.36,0.35,1.0,0.56
ENSGGOT00000054842_ENSGGOG00000009947,0.47,0.46,0.47,0.46,0.34,0.39,0.48,0.47,0.56,1.0
