,ENSAOCT00000018682_ENSAOCG00000015617,ENSAPET00000029954_ENSAPEG00000020744,ENSSPAT00000002330_ENSSPAG00000001759,ENSPRNT00000001042_ENSPRNG00000000664,ENSPRNT00000000977_ENSPRNG00000000630,ENSPRNT00000001007_ENSPRNG00000000645,ENSPRET00000012768_ENSPREG00000008580,ENSPRET00000012774_ENSPREG00000008580,ENSXMAT00000033632_ENSXMAG00000027832,ENSXMAT00000032959_ENSXMAG00000027832,ENSMMOT00000014758_ENSMMOG00000011106,ENSCGOT00000050388_ENSCGOG00000021163,ENSLCRT00005039097_ENSLCRG00005014897,ENSLCRT00005039099_ENSLCRG00005014897,ENSGACT00000001456_ENSGACG00000001123,ENSTNIT00000005778_ENSTNIG00000003060
ENSAOCT00000018682_ENSAOCG00000015617,1.0,0.74,0.83,0.56,0.78,0.18,0.82,0.82,0.82,0.52,0.79,0.78,0.54,0.77,0.68,0.78
ENSAPET00000029954_ENSAPEG00000020744,0.74,1.0,0.66,0.45,0.61,0.17,0.65,0.65,0.65,0.46,0.62,0.61,0.48,0.6,0.59,0.61
ENSSPAT00000002330_ENSSPAG00000001759,0.83,0.66,1.0,0.57,0.79,0.18,0.82,0.82,0.82,0.53,0.79,0.79,0.54,0.77,0.69,0.77
ENSPRNT00000001042_ENSPRNG00000000664,0.56,0.45,0.57,1.0,0.65,0.26,0.57,0.57,0.57,0.34,0.57,0.57,0.38,0.54,0.49,0.56
ENSPRNT00000000977_ENSPRNG00000000630,0.78,0.61,0.79,0.65,1.0,0.22,0.8,0.8,0.79,0.5,0.79,0.78,0.53,0.76,0.68,0.78
ENSPRNT00000001007_ENSPRNG00000000645,0.18,0.17,0.18,0.26,0.22,1.0,0.18,0.18,0.18,0.09,0.18,0.18,0.25,0.18,0.19,0.18
ENSPRET00000012768_ENSPREG00000008580,0.82,0.65,0.82,0.57,0.8,0.18,1.0,1.0,0.99,0.65,0.8,0.78,0.54,0.76,0.69,0.79
ENSPRET00000012774_ENSPREG00000008580,0.82,0.65,0.82,0.57,0.8,0.18,1.0,1.0,0.99,0.65,0.8,0.78,0.54,0.76,0.69,0.79
ENSXMAT00000033632_ENSXMAG00000027832,0.82,0.65,0.82,0.57,0.79,0.18,0.99,0.99,1.0,0.67,0.8,0.78,0.54,0.77,0.69,0.79
ENSXMAT00000032959_ENSXMAG00000027832,0.52,0.46,0.53,0.34,0.5,0.09,0.65,0.65,0.67,1.0,0.5,0.49,0.45,0.47,0.48,0.49
ENSMMOT00000014758_ENSMMOG00000011106,0.79,0.62,0.79,0.57,0.79,0.18,0.8,0.8,0.8,0.5,1.0,0.8,0.54,0.77,0.68,0.79
ENSCGOT00000050388_ENSCGOG00000021163,0.78,0.61,0.79,0.57,0.78,0.18,0.78,0.78,0.78,0.49,0.8,1.0,0.54,0.77,0.69,0.78
ENSLCRT00005039097_ENSLCRG00005014897,0.54,0.48,0.54,0.38,0.53,0.25,0.54,0.54,0.54,0.45,0.54,0.54,1.0,0.65,0.56,0.53
ENSLCRT00005039099_ENSLCRG00005014897,0.77,0.6,0.77,0.54,0.76,0.18,0.76,0.76,0.77,0.47,0.77,0.77,0.65,1.0,0.7,0.76
ENSGACT00000001456_ENSGACG00000001123,0.68,0.59,0.69,0.49,0.68,0.19,0.69,0.69,0.69,0.48,0.68,0.69,0.56,0.7,1.0,0.69
ENSTNIT00000005778_ENSTNIG00000003060,0.78,0.61,0.77,0.56,0.78,0.18,0.79,0.79,0.79,0.49,0.79,0.78,0.53,0.76,0.69,1.0
