,FBtr0078962_FBgn0037213,FBtr0078961_FBgn0037213,FBtr0335032_FBgn0038073,FBtr0335030_FBgn0038073,FBtr0300769_FBgn0038073,FBtr0335028_FBgn0038073,FBtr0335033_FBgn0038073,FBtr0335029_FBgn0038073,FBtr0335031_FBgn0038073,FBtr0310613_FBgn0038073,R148.5a.1_WBGene00020104,R148.5b.1_WBGene00020104
FBtr0078962_FBgn0037213,1.0,1.0,0.25,0.25,0.24,0.25,0.26,0.24,0.25,0.24,0.49,0.5
FBtr0078961_FBgn0037213,1.0,1.0,0.25,0.25,0.24,0.25,0.26,0.24,0.25,0.24,0.49,0.5
FBtr0335032_FBgn0038073,0.25,0.25,1.0,1.0,0.99,1.0,0.99,0.99,1.0,0.99,0.29,0.3
FBtr0335030_FBgn0038073,0.25,0.25,1.0,1.0,0.99,1.0,0.99,0.99,1.0,0.99,0.29,0.31
FBtr0300769_FBgn0038073,0.24,0.24,0.99,0.99,1.0,0.99,0.98,1.0,0.99,1.0,0.28,0.3
FBtr0335028_FBgn0038073,0.25,0.25,1.0,1.0,0.99,1.0,0.99,0.99,1.0,0.99,0.29,0.31
FBtr0335033_FBgn0038073,0.26,0.26,0.99,0.99,0.98,0.99,1.0,0.98,0.99,0.98,0.3,0.31
FBtr0335029_FBgn0038073,0.24,0.24,0.99,0.99,1.0,0.99,0.98,1.0,0.99,1.0,0.28,0.3
FBtr0335031_FBgn0038073,0.25,0.25,1.0,1.0,0.99,1.0,0.99,0.99,1.0,0.99,0.29,0.31
FBtr0310613_FBgn0038073,0.24,0.24,0.99,0.99,1.0,0.99,0.98,1.0,0.99,1.0,0.28,0.3
R148.5a.1_WBGene00020104,0.49,0.49,0.29,0.29,0.28,0.29,0.3,0.28,0.29,0.28,1.0,0.97
R148.5b.1_WBGene00020104,0.5,0.5,0.3,0.31,0.3,0.31,0.31,0.3,0.31,0.3,0.97,1.0
