,ENSPMAT00000009268_ENSPMAG00000008370,ENSEBUT00000018860_ENSEBUG00000011409,ENSEBUT00000018882_ENSEBUG00000011409,ENSAOWT00000028484_ENSAOWG00000017007,ENSAOWT00000028487_ENSAOWG00000017007,ENSAOWT00000028505_ENSAOWG00000017007,ENSAHAT00000000698_ENSAHAG00000000547,ENSARWT00000003228_ENSARWG00000002082,ENSARWT00000003232_ENSARWG00000002082,ENSDNVT00000026873_ENSDNVG00000015517
ENSPMAT00000009268_ENSPMAG00000008370,1.0,0.29,0.28,0.32,0.31,0.3,0.33,0.33,0.32,0.33
ENSEBUT00000018860_ENSEBUG00000011409,0.29,1.0,0.88,0.5,0.46,0.43,0.52,0.52,0.48,0.52
ENSEBUT00000018882_ENSEBUG00000011409,0.28,0.88,1.0,0.48,0.44,0.41,0.5,0.5,0.46,0.5
ENSAOWT00000028484_ENSAOWG00000017007,0.32,0.5,0.48,1.0,0.89,0.81,0.89,0.89,0.83,0.87
ENSAOWT00000028487_ENSAOWG00000017007,0.31,0.46,0.44,0.89,1.0,0.75,0.83,0.83,0.89,0.8
ENSAOWT00000028505_ENSAOWG00000017007,0.3,0.43,0.41,0.81,0.75,1.0,0.75,0.75,0.69,0.75
ENSAHAT00000000698_ENSAHAG00000000547,0.33,0.52,0.5,0.89,0.83,0.75,1.0,0.93,0.86,0.91
ENSARWT00000003228_ENSARWG00000002082,0.33,0.52,0.5,0.89,0.83,0.75,0.93,1.0,0.86,0.91
ENSARWT00000003232_ENSARWG00000002082,0.32,0.48,0.46,0.83,0.89,0.69,0.86,0.86,1.0,0.84
ENSDNVT00000026873_ENSDNVG00000015517,0.33,0.52,0.5,0.87,0.8,0.75,0.91,0.91,0.84,1.0
