,ENSXETT00000055601_ENSXETG00000019449,ENSXETT00000055602_ENSXETG00000019449,ENSXETT00000055605_ENSXETG00000019449,ENSXETT00000055606_ENSXETG00000019449,ENSXETT00000055607_ENSXETG00000019449,ENSXETT00000055608_ENSXETG00000019449,ENSXETT00000055609_ENSXETG00000019449,ENSXETT00000055611_ENSXETG00000019449,ENSXETT00000055613_ENSXETG00000018216,ENSXETT00000055614_ENSXETG00000018216,ENSXETT00000055615_ENSXETG00000018216,ENSXETT00000055616_ENSXETG00000018216,ENSXETT00000055617_ENSXETG00000018216,ENSOANT00000014855_ENSOANG00000009338,ENSOANT00000039863_ENSOANG00000028542,ENSEBUT00000024197_ENSEBUG00000014561
ENSXETT00000055601_ENSXETG00000019449,1.0,0.85,0.64,0.68,0.68,0.73,0.7,0.7,0.58,0.54,0.56,0.52,0.45,0.2,0.16,0.15
ENSXETT00000055602_ENSXETG00000019449,0.85,1.0,0.63,0.73,0.73,0.79,0.75,0.75,0.62,0.56,0.58,0.54,0.47,0.19,0.16,0.15
ENSXETT00000055605_ENSXETG00000019449,0.64,0.63,1.0,0.57,0.59,0.64,0.67,0.67,0.59,0.53,0.56,0.51,0.48,0.22,0.12,0.17
ENSXETT00000055606_ENSXETG00000019449,0.68,0.73,0.57,1.0,0.72,0.77,0.76,0.73,0.58,0.52,0.54,0.51,0.46,0.15,0.09,0.15
ENSXETT00000055607_ENSXETG00000019449,0.68,0.73,0.59,0.72,1.0,0.82,0.77,0.78,0.62,0.58,0.58,0.55,0.48,0.16,0.12,0.16
ENSXETT00000055608_ENSXETG00000019449,0.73,0.79,0.64,0.77,0.82,1.0,0.88,0.89,0.67,0.59,0.59,0.58,0.51,0.17,0.11,0.16
ENSXETT00000055609_ENSXETG00000019449,0.7,0.75,0.67,0.76,0.77,0.88,1.0,0.84,0.66,0.59,0.59,0.57,0.5,0.17,0.09,0.16
ENSXETT00000055611_ENSXETG00000019449,0.7,0.75,0.67,0.73,0.78,0.89,0.84,1.0,0.64,0.57,0.57,0.54,0.53,0.17,0.11,0.17
ENSXETT00000055613_ENSXETG00000018216,0.58,0.62,0.59,0.58,0.62,0.67,0.66,0.64,1.0,0.75,0.78,0.72,0.58,0.19,0.11,0.12
ENSXETT00000055614_ENSXETG00000018216,0.54,0.56,0.53,0.52,0.58,0.59,0.59,0.57,0.75,1.0,0.69,0.87,0.57,0.17,0.08,0.1
ENSXETT00000055615_ENSXETG00000018216,0.56,0.58,0.56,0.54,0.58,0.59,0.59,0.57,0.78,0.69,1.0,0.71,0.56,0.18,0.12,0.12
ENSXETT00000055616_ENSXETG00000018216,0.52,0.54,0.51,0.51,0.55,0.58,0.57,0.54,0.72,0.87,0.71,1.0,0.59,0.17,0.08,0.09
ENSXETT00000055617_ENSXETG00000018216,0.45,0.47,0.48,0.46,0.48,0.51,0.5,0.53,0.58,0.57,0.56,0.59,1.0,0.18,0.09,0.1
ENSOANT00000014855_ENSOANG00000009338,0.2,0.19,0.22,0.15,0.16,0.17,0.17,0.17,0.19,0.17,0.18,0.17,0.18,1.0,0.19,0.17
ENSOANT00000039863_ENSOANG00000028542,0.16,0.16,0.12,0.09,0.12,0.11,0.09,0.11,0.11,0.08,0.12,0.08,0.09,0.19,1.0,0.24
ENSEBUT00000024197_ENSEBUG00000014561,0.15,0.15,0.17,0.15,0.16,0.16,0.16,0.17,0.12,0.1,0.12,0.09,0.1,0.17,0.24,1.0
