,ENSSFOT00015032610_ENSSFOG00015020606,ENSSFOT00015032709_ENSSFOG00015020606,ENSSFOT00015032740_ENSSFOG00015020606,ENSSFOT00015032814_ENSSFOG00015020606,ENSSFOT00015032959_ENSSFOG00015020606,ENSSFOT00015032981_ENSSFOG00015020606,ENSSFOT00015032986_ENSSFOG00015020606,ENSSFOT00015032993_ENSSFOG00015020606,ENSPKIT00000025973_ENSPKIG00000019934,ENSPKIT00000026090_ENSPKIG00000019934,ENSPKIT00000026135_ENSPKIG00000019934,ENSPKIT00000026238_ENSPKIG00000019934,ENSPKIT00000026286_ENSPKIG00000019934
ENSSFOT00015032610_ENSSFOG00015020606,1.0,0.64,0.66,0.63,0.63,0.71,0.84,0.72,0.41,0.48,0.57,0.67,0.52
ENSSFOT00015032709_ENSSFOG00015020606,0.64,1.0,0.58,0.58,0.58,0.64,0.68,0.59,0.39,0.48,0.53,0.55,0.42
ENSSFOT00015032740_ENSSFOG00015020606,0.66,0.58,1.0,0.53,0.64,0.63,0.73,0.73,0.43,0.53,0.55,0.6,0.57
ENSSFOT00015032814_ENSSFOG00015020606,0.63,0.58,0.53,1.0,0.54,0.6,0.63,0.54,0.38,0.44,0.52,0.54,0.44
ENSSFOT00015032959_ENSSFOG00015020606,0.63,0.58,0.64,0.54,1.0,0.68,0.71,0.71,0.51,0.61,0.64,0.56,0.45
ENSSFOT00015032981_ENSSFOG00015020606,0.71,0.64,0.63,0.6,0.68,1.0,0.82,0.7,0.49,0.51,0.53,0.64,0.42
ENSSFOT00015032986_ENSSFOG00015020606,0.84,0.68,0.73,0.63,0.71,0.82,1.0,0.83,0.44,0.53,0.56,0.77,0.5
ENSSFOT00015032993_ENSSFOG00015020606,0.72,0.59,0.73,0.54,0.71,0.7,0.83,1.0,0.45,0.54,0.56,0.65,0.51
ENSPKIT00000025973_ENSPKIG00000019934,0.41,0.39,0.43,0.38,0.51,0.49,0.44,0.45,1.0,0.55,0.52,0.49,0.51
ENSPKIT00000026090_ENSPKIG00000019934,0.48,0.48,0.53,0.44,0.61,0.51,0.53,0.54,0.55,1.0,0.62,0.53,0.45
ENSPKIT00000026135_ENSPKIG00000019934,0.57,0.53,0.55,0.52,0.64,0.53,0.56,0.56,0.52,0.62,1.0,0.56,0.53
ENSPKIT00000026238_ENSPKIG00000019934,0.67,0.55,0.6,0.54,0.56,0.64,0.77,0.65,0.49,0.53,0.56,1.0,0.54
ENSPKIT00000026286_ENSPKIG00000019934,0.52,0.42,0.57,0.44,0.45,0.42,0.5,0.51,0.51,0.45,0.53,0.54,1.0
