,ENSDCDT00000071946_ENSDCDG00000034453,ENSDCDT00000071951_ENSDCDG00000034453,ENSDCDT00000071968_ENSDCDG00000034453,ENSDCDT00000071974_ENSDCDG00000034453,ENSDCDT00000071976_ENSDCDG00000034453,ENSCHAT00000003605_ENSCHAG00000001131,ENSCHAT00000003659_ENSCHAG00000001131,ENSCHAT00000003692_ENSCHAG00000001131,ENSCHAT00000003954_ENSCHAG00000001131,ENSCHAT00000004058_ENSCHAG00000001131,ENSCHAT00000004111_ENSCHAG00000001131
ENSDCDT00000071946_ENSDCDG00000034453,1.0,0.76,0.65,0.68,0.6,0.56,0.52,0.58,0.43,0.55,0.45
ENSDCDT00000071951_ENSDCDG00000034453,0.76,1.0,0.65,0.59,0.69,0.56,0.63,0.59,0.42,0.56,0.48
ENSDCDT00000071968_ENSDCDG00000034453,0.65,0.65,1.0,0.63,0.68,0.74,0.57,0.77,0.58,0.73,0.59
ENSDCDT00000071974_ENSDCDG00000034453,0.68,0.59,0.63,1.0,0.55,0.61,0.62,0.63,0.47,0.61,0.45
ENSDCDT00000071976_ENSDCDG00000034453,0.6,0.69,0.68,0.55,1.0,0.65,0.57,0.77,0.49,0.65,0.51
ENSCHAT00000003605_ENSCHAG00000001131,0.56,0.56,0.74,0.61,0.65,1.0,0.75,0.84,0.63,0.8,0.57
ENSCHAT00000003659_ENSCHAG00000001131,0.52,0.63,0.57,0.62,0.57,0.75,1.0,0.65,0.47,0.62,0.47
ENSCHAT00000003692_ENSCHAG00000001131,0.58,0.59,0.77,0.63,0.77,0.84,0.65,1.0,0.65,0.82,0.59
ENSCHAT00000003954_ENSCHAG00000001131,0.43,0.42,0.58,0.47,0.49,0.63,0.47,0.65,1.0,0.63,0.46
ENSCHAT00000004058_ENSCHAG00000001131,0.55,0.56,0.73,0.61,0.65,0.8,0.62,0.82,0.63,1.0,0.63
ENSCHAT00000004111_ENSCHAG00000001131,0.45,0.48,0.59,0.45,0.51,0.57,0.47,0.59,0.46,0.63,1.0
