,ENSGAFT00000002382_ENSGAFG00000001629,ENSPRET00000017378_ENSPREG00000011625,ENSPLAT00000011842_ENSPLAG00000004574,ENSPRET00000009701_ENSPREG00000006507,ENSPRET00000033903_ENSPREG00000022716,ENSXMAT00000026692_ENSXMAG00000022322,ENSXMAT00000039378_ENSXMAG00000020958,ENSXMAT00000030456_ENSXMAG00000025739,ENSXCOT00000003335_ENSXCOG00000002598,ENSXCOT00000021716_ENSXCOG00000016061,ENSXCOT00000020117_ENSXCOG00000014921,ENSPRET00000016952_ENSPREG00000011343,ENSPLAT00000005851_ENSPLAG00000008860,ENSPRET00000017331_ENSPREG00000011594,ENSXMAT00000022503_ENSXMAG00000027360,ENSPRET00000014366_ENSPREG00000009649,ENSFHET00000003792_ENSFHEG00000008567,ENSFHET00000033746_ENSFHEG00000018536
ENSGAFT00000002382_ENSGAFG00000001629,1.0,0.38,0.45,0.33,0.36,0.41,0.54,0.39,0.32,0.3,0.3,0.3,0.16,0.38,0.37,0.42,0.49,0.42
ENSPRET00000017378_ENSPREG00000011625,0.38,1.0,0.47,0.37,0.41,0.31,0.45,0.3,0.36,0.38,0.38,0.38,0.15,0.29,0.26,0.49,0.3,0.5
ENSPLAT00000011842_ENSPLAG00000004574,0.45,0.47,1.0,0.46,0.32,0.36,0.54,0.34,0.39,0.41,0.41,0.41,0.17,0.32,0.3,0.52,0.35,0.54
ENSPRET00000009701_ENSPREG00000006507,0.33,0.37,0.46,1.0,0.32,0.46,0.43,0.34,0.39,0.49,0.49,0.49,0.16,0.32,0.29,0.41,0.35,0.41
ENSPRET00000033903_ENSPREG00000022716,0.36,0.41,0.32,0.32,1.0,0.56,0.29,0.56,0.3,0.29,0.29,0.29,0.23,0.61,0.58,0.29,0.47,0.3
ENSXMAT00000026692_ENSXMAG00000022322,0.41,0.31,0.36,0.46,0.56,1.0,0.35,0.59,0.34,0.33,0.33,0.32,0.26,0.64,0.62,0.32,0.56,0.33
ENSXMAT00000039378_ENSXMAG00000020958,0.54,0.45,0.54,0.43,0.29,0.35,1.0,0.34,0.4,0.41,0.41,0.4,0.15,0.31,0.29,0.51,0.4,0.53
ENSXMAT00000030456_ENSXMAG00000025739,0.39,0.3,0.34,0.34,0.56,0.59,0.34,1.0,0.52,0.34,0.34,0.33,0.25,0.64,0.63,0.32,0.49,0.33
ENSXCOT00000003335_ENSXCOG00000002598,0.32,0.36,0.39,0.39,0.3,0.34,0.4,0.52,1.0,0.43,0.42,0.41,0.17,0.32,0.31,0.39,0.31,0.4
ENSXCOT00000021716_ENSXCOG00000016061,0.3,0.38,0.41,0.49,0.29,0.33,0.41,0.34,0.43,1.0,0.7,0.68,0.14,0.36,0.34,0.5,0.3,0.48
ENSXCOT00000020117_ENSXCOG00000014921,0.3,0.38,0.41,0.49,0.29,0.33,0.41,0.34,0.42,0.7,1.0,0.69,0.14,0.36,0.34,0.5,0.3,0.48
ENSPRET00000016952_ENSPREG00000011343,0.3,0.38,0.41,0.49,0.29,0.32,0.4,0.33,0.41,0.68,0.69,1.0,0.13,0.36,0.34,0.51,0.3,0.48
ENSPLAT00000005851_ENSPLAG00000008860,0.16,0.15,0.17,0.16,0.23,0.26,0.15,0.25,0.17,0.14,0.14,0.13,1.0,0.25,0.29,0.14,0.34,0.15
ENSPRET00000017331_ENSPREG00000011594,0.38,0.29,0.32,0.32,0.61,0.64,0.31,0.64,0.32,0.36,0.36,0.36,0.25,1.0,0.8,0.35,0.52,0.34
ENSXMAT00000022503_ENSXMAG00000027360,0.37,0.26,0.3,0.29,0.58,0.62,0.29,0.63,0.31,0.34,0.34,0.34,0.29,0.8,1.0,0.33,0.51,0.32
ENSPRET00000014366_ENSPREG00000009649,0.42,0.49,0.52,0.41,0.29,0.32,0.51,0.32,0.39,0.5,0.5,0.51,0.14,0.35,0.33,1.0,0.3,0.65
ENSFHET00000003792_ENSFHEG00000008567,0.49,0.3,0.35,0.35,0.47,0.56,0.4,0.49,0.31,0.3,0.3,0.3,0.34,0.52,0.51,0.3,1.0,0.31
ENSFHET00000033746_ENSFHEG00000018536,0.42,0.5,0.54,0.41,0.3,0.33,0.53,0.33,0.4,0.48,0.48,0.48,0.15,0.34,0.32,0.65,0.31,1.0
