,YJR162C_mRNA_YJR162C,YNL337W_mRNA_YNL337W,YFL063W_mRNA_YFL063W,YDR543C_mRNA_YDR543C,YAL068W-A_mRNA_YAL068W-A,YER188C-A_mRNA_YER188C-A,YNR077C_mRNA_YNR077C,YLL065W_mRNA_YLL065W,YKL225W_mRNA_YKL225W,YOL166W-A_mRNA_YOL166W-A,YMR326C_mRNA_YMR326C
YJR162C_mRNA_YJR162C,1.0,0.47,0.5,0.8,0.46,0.8,0.46,0.83,0.82,0.39,0.36
YNL337W_mRNA_YNL337W,0.47,1.0,0.34,0.51,0.99,0.51,0.98,0.45,0.46,0.61,0.49
YFL063W_mRNA_YFL063W,0.5,0.34,1.0,0.46,0.33,0.46,0.32,0.48,0.48,0.26,0.25
YDR543C_mRNA_YDR543C,0.8,0.51,0.46,1.0,0.5,0.84,0.5,0.78,0.79,0.43,0.4
YAL068W-A_mRNA_YAL068W-A,0.46,0.99,0.33,0.5,1.0,0.5,0.98,0.45,0.45,0.61,0.48
YER188C-A_mRNA_YER188C-A,0.8,0.51,0.46,0.84,0.5,1.0,0.5,0.79,0.79,0.43,0.4
YNR077C_mRNA_YNR077C,0.46,0.98,0.32,0.5,0.98,0.5,1.0,0.47,0.46,0.61,0.49
YLL065W_mRNA_YLL065W,0.83,0.45,0.48,0.78,0.45,0.79,0.47,1.0,0.82,0.39,0.36
YKL225W_mRNA_YKL225W,0.82,0.46,0.48,0.79,0.45,0.79,0.46,0.82,1.0,0.39,0.36
YOL166W-A_mRNA_YOL166W-A,0.39,0.61,0.26,0.43,0.61,0.43,0.61,0.39,0.39,1.0,0.42
YMR326C_mRNA_YMR326C,0.36,0.49,0.25,0.4,0.48,0.4,0.49,0.36,0.36,0.42,1.0
