,ENSPCOT00000037371_ENSPCOG00000025705,ENSPCOT00000037372_ENSPCOG00000025705,ENSPSMT00000020328_ENSPSMG00000012444,ENSPSMT00000020329_ENSPSMG00000012444,ENSMICT00000040440_ENSMICG00000034148,ENSMICT00000033824_ENSMICG00000034148,ENSPTRT00000046945_ENSPTRG00000023856,ENSPTRT00000058300_ENSPTRG00000023856,ENSPPAT00000034132_ENSPPAG00000028939,ENSPPAT00000034135_ENSPPAG00000028939,ENSGGOT00000026634_ENSGGOG00000026972,ENSGGOT00000049654_ENSGGOG00000026972,ENST00000354377_ENSG00000196391
ENSPCOT00000037371_ENSPCOG00000025705,1.0,0.29,1.0,0.29,1.0,0.25,0.28,0.99,0.28,0.99,0.28,0.99,0.28
ENSPCOT00000037372_ENSPCOG00000025705,0.29,1.0,0.29,0.99,0.29,0.82,0.89,0.29,0.89,0.29,0.89,0.29,0.89
ENSPSMT00000020328_ENSPSMG00000012444,1.0,0.29,1.0,0.29,0.99,0.25,0.28,0.99,0.28,0.99,0.28,0.99,0.28
ENSPSMT00000020329_ENSPSMG00000012444,0.29,0.99,0.29,1.0,0.29,0.81,0.89,0.28,0.89,0.28,0.89,0.28,0.89
ENSMICT00000040440_ENSMICG00000034148,1.0,0.29,0.99,0.29,1.0,0.25,0.28,0.99,0.28,0.99,0.28,0.99,0.28
ENSMICT00000033824_ENSMICG00000034148,0.25,0.82,0.25,0.81,0.25,1.0,0.79,0.25,0.78,0.25,0.79,0.25,0.79
ENSPTRT00000046945_ENSPTRG00000023856,0.28,0.89,0.28,0.89,0.28,0.79,1.0,0.29,1.0,0.29,1.0,0.29,1.0
ENSPTRT00000058300_ENSPTRG00000023856,0.99,0.29,0.99,0.28,0.99,0.25,0.29,1.0,0.29,1.0,0.29,1.0,0.29
ENSPPAT00000034132_ENSPPAG00000028939,0.28,0.89,0.28,0.89,0.28,0.78,1.0,0.29,1.0,0.29,0.99,0.29,0.99
ENSPPAT00000034135_ENSPPAG00000028939,0.99,0.29,0.99,0.28,0.99,0.25,0.29,1.0,0.29,1.0,0.29,1.0,0.29
ENSGGOT00000026634_ENSGGOG00000026972,0.28,0.89,0.28,0.89,0.28,0.79,1.0,0.29,0.99,0.29,1.0,0.29,0.99
ENSGGOT00000049654_ENSGGOG00000026972,0.99,0.29,0.99,0.28,0.99,0.25,0.29,1.0,0.29,1.0,0.29,1.0,0.29
ENST00000354377_ENSG00000196391,0.28,0.89,0.28,0.89,0.28,0.79,1.0,0.29,0.99,0.29,0.99,0.29,1.0
