,ENSPTRT00000045974_ENSPTRG00000022993,ENSPPAT00000032519_ENSPPAG00000028166,ENSGGOT00000008952_ENSGGOG00000008913,ENST00000356517_ENSG00000197953,ENSPPYT00000016528_ENSPPYG00000014217,ENSNLET00000004485_ENSNLEG00000003525,ENSTGET00000008263_ENSTGEG00000005612,ENSPANT00000011552_ENSPANG00000009179,ENSCATT00000050469_ENSCATG00000036536,ENSMMUT00000026395_ENSMMUG00000018774,ENSMFAT00000009491_ENSMFAG00000042922,ENSMNET00000044930_ENSMNEG00000034142,ENSMLET00000047381_ENSMLEG00000036108,ENSCSAT00000010002_ENSCSAG00000011925
ENSPTRT00000045974_ENSPTRG00000022993,1.0,1.0,1.0,1.0,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.98,0.98,0.99
ENSPPAT00000032519_ENSPPAG00000028166,1.0,1.0,0.99,1.0,0.99,0.99,0.98,0.98,0.98,0.99,0.98,0.98,0.98,0.98
ENSGGOT00000008952_ENSGGOG00000008913,1.0,0.99,1.0,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
ENST00000356517_ENSG00000197953,1.0,1.0,0.99,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99
ENSPPYT00000016528_ENSPPYG00000014217,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSNLET00000004485_ENSNLEG00000003525,0.99,0.99,0.99,0.99,0.99,1.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ENSTGET00000008263_ENSTGEG00000005612,0.98,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
ENSPANT00000011552_ENSPANG00000009179,0.99,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99
ENSCATT00000050469_ENSCATG00000036536,0.98,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
ENSMMUT00000026395_ENSMMUG00000018774,0.99,0.99,0.98,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
ENSMFAT00000009491_ENSMFAG00000042922,0.99,0.98,0.98,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
ENSMNET00000044930_ENSMNEG00000034142,0.98,0.98,0.98,0.98,0.99,0.99,1.0,0.99,1.0,1.0,1.0,1.0,0.99,0.99
ENSMLET00000047381_ENSMLEG00000036108,0.98,0.98,0.98,0.99,0.99,0.99,1.0,0.99,1.0,1.0,1.0,0.99,1.0,0.99
ENSCSAT00000010002_ENSCSAG00000011925,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1.0
