,FBtr0079173_FBgn0031758,FBtr0079174_FBgn0031758,FBtr0309286_FBgn0031758,FBtr0079172_FBgn0031757,FBtr0303572_FBgn0030872,FBtr0339750_FBgn0030872,FBtr0074464_FBgn0030872,K07B1.3.1_WBGene00006729,ENSAOWT00000026322_ENSAOWG00000015681,ENSAHAT00000011452_ENSAHAG00000007499,ENSARWT00000022038_ENSARWG00000013304
FBtr0079173_FBgn0031758,1.0,0.51,0.51,0.31,0.19,0.21,0.19,0.18,0.24,0.24,0.24
FBtr0079174_FBgn0031758,0.51,1.0,0.6,0.14,0.15,0.26,0.15,0.18,0.2,0.2,0.2
FBtr0309286_FBgn0031758,0.51,0.6,1.0,0.14,0.15,0.24,0.15,0.18,0.2,0.2,0.2
FBtr0079172_FBgn0031757,0.31,0.14,0.14,1.0,0.19,0.15,0.19,0.14,0.18,0.18,0.18
FBtr0303572_FBgn0030872,0.19,0.15,0.15,0.19,1.0,0.31,0.94,0.22,0.24,0.24,0.24
FBtr0339750_FBgn0030872,0.21,0.26,0.24,0.15,0.31,1.0,0.31,0.2,0.15,0.15,0.15
FBtr0074464_FBgn0030872,0.19,0.15,0.15,0.19,0.94,0.31,1.0,0.22,0.24,0.24,0.24
K07B1.3.1_WBGene00006729,0.18,0.18,0.18,0.14,0.22,0.2,0.22,1.0,0.28,0.28,0.28
ENSAOWT00000026322_ENSAOWG00000015681,0.24,0.2,0.2,0.18,0.24,0.15,0.24,0.28,1.0,0.77,0.77
ENSAHAT00000011452_ENSAHAG00000007499,0.24,0.2,0.2,0.18,0.24,0.15,0.24,0.28,0.77,1.0,0.77
ENSARWT00000022038_ENSARWG00000013304,0.24,0.2,0.2,0.18,0.24,0.15,0.24,0.28,0.77,0.77,1.0
