,ENSPMET00000022587_ENSPMEG00000016974,ENSPFOT00000020279_ENSPFOG00000020129,ENSPLAT00000029634_ENSPLAG00000015979,ENSPRET00000029444_ENSPREG00000019707,ENSXMAT00000019539_ENSXMAG00000019464,ENSXCOT00000010154_ENSXCOG00000007509,ENSFHET00000007748_ENSFHEG00000006023,ENSCVAT00000002920_ENSCVAG00000009335,ENSGWIT00000050383_ENSGWIG00000022974,ENSTNIT00000018298_ENSTNIG00000015023,ENSTRUT00000028390_ENSTRUG00000011200,ENSMMOT00000015209_ENSMMOG00000011428,ENSLBET00000011596_ENSLBEG00000008500
ENSPMET00000022587_ENSPMEG00000016974,1.0,0.24,0.85,0.24,0.23,0.39,0.22,0.22,0.21,0.23,0.2,0.19,0.21
ENSPFOT00000020279_ENSPFOG00000020129,0.24,1.0,0.24,0.69,0.69,0.38,0.67,0.66,0.65,0.63,0.44,0.39,0.65
ENSPLAT00000029634_ENSPLAG00000015979,0.85,0.24,1.0,0.24,0.23,0.39,0.22,0.22,0.21,0.24,0.2,0.19,0.21
ENSPRET00000029444_ENSPREG00000019707,0.24,0.69,0.24,1.0,0.69,0.38,0.67,0.66,0.65,0.63,0.44,0.39,0.65
ENSXMAT00000019539_ENSXMAG00000019464,0.23,0.69,0.23,0.69,1.0,0.38,0.68,0.67,0.64,0.63,0.44,0.38,0.65
ENSXCOT00000010154_ENSXCOG00000007509,0.39,0.38,0.39,0.38,0.38,1.0,0.37,0.36,0.35,0.38,0.3,0.26,0.35
ENSFHET00000007748_ENSFHEG00000006023,0.22,0.67,0.22,0.67,0.68,0.37,1.0,0.67,0.64,0.63,0.44,0.38,0.65
ENSCVAT00000002920_ENSCVAG00000009335,0.22,0.66,0.22,0.66,0.67,0.36,0.67,1.0,0.64,0.62,0.44,0.38,0.65
ENSGWIT00000050383_ENSGWIG00000022974,0.21,0.65,0.21,0.65,0.64,0.35,0.64,0.64,1.0,0.63,0.45,0.39,0.64
ENSTNIT00000018298_ENSTNIG00000015023,0.23,0.63,0.24,0.63,0.63,0.38,0.63,0.62,0.63,1.0,0.49,0.42,0.62
ENSTRUT00000028390_ENSTRUG00000011200,0.2,0.44,0.2,0.44,0.44,0.3,0.44,0.44,0.45,0.49,1.0,0.54,0.44
ENSMMOT00000015209_ENSMMOG00000011428,0.19,0.39,0.19,0.39,0.38,0.26,0.38,0.38,0.39,0.42,0.54,1.0,0.38
ENSLBET00000011596_ENSLBEG00000008500,0.21,0.65,0.21,0.65,0.65,0.35,0.65,0.65,0.64,0.62,0.44,0.38,1.0
