,C44B12.4.1_WBGene00005904,Y55F3AM.2.1_WBGene00005903,C44B12.8.1_WBGene00005905,K07C6.9.1_WBGene00005957,K07C6.8.1_WBGene00005956,C29F3.6.1_WBGene00005949,K07C6.6.1_WBGene00005954,R13D7.4.1_WBGene00005951,K07C6.10.1_WBGene00005958,K07C6.11a.1_WBGene00005959,K07C6.11b.1_WBGene00005959,C03G6.2.1_WBGene00005947,K09D9.10.1_WBGene00005953,K07C6.7.1_WBGene00005955,T07H8.3.1_WBGene00005950,E02C12.2.1_WBGene00005937,E02C12.3.1_WBGene00005938,C03A7.5.1_WBGene00005929,T06E6.3.1_WBGene00005931,C03A7.6.1_WBGene00005930,T01C4.4.1_WBGene00005925,T01C4.3.1_WBGene00005924,T01C4.6.1_WBGene00005927,F31F4.3.1_WBGene00005913,F31F4.2.1_WBGene00005914,F31F4.4.1_WBGene00005912,T05A12.1.1_WBGene00005910,R13H7.1.1_WBGene00005911,C47A10.8.1_WBGene00005909,F55B12.8.1_WBGene00005908,T07H8.1.1_WBGene00005907,R13D11.9.1_WBGene00005923,F41H8.4.1_WBGene00005922,K06B4.9.1_WBGene00005920,R05D8.5.1_WBGene00005919,R05D8.4.1_WBGene00005917,C24B9.16.1_WBGene00005915,T10H4.9.1_WBGene00005942,Y102A5C.22.1_WBGene00005945,Y43B11AL.2a.1_WBGene00005941,Y43B11AL.2b.1_WBGene00005941,T26H8.2.1_WBGene00005939,F59B1.7.1_WBGene00005932,K01B6.2.1_WBGene00005936,C06B3.11.1_WBGene00005933,T10C6.3.1_WBGene00005934
C44B12.4.1_WBGene00005904,1.0,0.79,0.79,0.77,0.78,0.71,0.77,0.81,0.73,0.82,0.77,0.81,0.79,0.81,0.72,0.73,0.77,0.77,0.72,0.77,0.75,0.72,0.76,0.79,0.79,0.79,0.79,0.82,0.82,0.75,0.82,0.79,0.77,0.82,0.77,0.77,0.79,0.75,0.74,0.72,0.75,0.75,0.74,0.69,0.74,0.69
Y55F3AM.2.1_WBGene00005903,0.79,1.0,0.8,0.76,0.76,0.69,0.76,0.8,0.72,0.8,0.75,0.8,0.78,0.8,0.73,0.73,0.77,0.79,0.75,0.79,0.76,0.73,0.78,0.77,0.77,0.77,0.77,0.8,0.8,0.73,0.8,0.77,0.75,0.8,0.75,0.75,0.77,0.75,0.75,0.73,0.75,0.75,0.75,0.69,0.75,0.71
C44B12.8.1_WBGene00005905,0.79,0.8,1.0,0.76,0.76,0.7,0.76,0.8,0.72,0.8,0.75,0.8,0.78,0.8,0.73,0.74,0.77,0.77,0.73,0.78,0.76,0.73,0.77,0.78,0.78,0.78,0.78,0.81,0.81,0.74,0.8,0.78,0.76,0.81,0.76,0.76,0.77,0.76,0.75,0.73,0.76,0.76,0.76,0.7,0.75,0.71
K07C6.9.1_WBGene00005957,0.77,0.76,0.76,1.0,0.86,0.74,0.86,0.82,0.78,0.82,0.82,0.81,0.8,0.82,0.76,0.73,0.76,0.76,0.76,0.76,0.74,0.76,0.76,0.78,0.78,0.78,0.78,0.8,0.8,0.78,0.8,0.78,0.77,0.8,0.77,0.77,0.78,0.74,0.73,0.76,0.74,0.75,0.73,0.68,0.74,0.71
K07C6.8.1_WBGene00005956,0.78,0.76,0.76,0.86,1.0,0.73,0.85,0.81,0.77,0.81,0.82,0.81,0.8,0.81,0.77,0.73,0.76,0.76,0.75,0.76,0.75,0.76,0.75,0.78,0.78,0.78,0.78,0.8,0.8,0.78,0.8,0.78,0.77,0.8,0.77,0.76,0.77,0.74,0.73,0.75,0.74,0.74,0.73,0.69,0.73,0.71
C29F3.6.1_WBGene00005949,0.71,0.69,0.7,0.74,0.73,1.0,0.74,0.73,0.86,0.73,0.74,0.73,0.73,0.73,0.7,0.7,0.7,0.71,0.71,0.7,0.7,0.75,0.7,0.73,0.73,0.73,0.73,0.73,0.73,0.78,0.73,0.73,0.73,0.73,0.72,0.73,0.72,0.7,0.7,0.71,0.7,0.7,0.69,0.65,0.69,0.69
K07C6.6.1_WBGene00005954,0.77,0.76,0.76,0.86,0.85,0.74,1.0,0.81,0.77,0.81,0.82,0.81,0.8,0.81,0.76,0.73,0.76,0.76,0.76,0.76,0.74,0.76,0.76,0.78,0.78,0.78,0.78,0.8,0.8,0.78,0.8,0.78,0.77,0.8,0.77,0.77,0.78,0.74,0.73,0.76,0.74,0.74,0.73,0.69,0.73,0.71
R13D7.4.1_WBGene00005951,0.81,0.8,0.8,0.82,0.81,0.73,0.81,1.0,0.78,0.85,0.79,0.85,0.83,0.85,0.75,0.75,0.79,0.79,0.75,0.79,0.77,0.75,0.79,0.81,0.81,0.81,0.81,0.84,0.84,0.77,0.84,0.81,0.79,0.84,0.79,0.79,0.81,0.77,0.76,0.75,0.77,0.77,0.76,0.71,0.76,0.72
K07C6.10.1_WBGene00005958,0.73,0.72,0.72,0.78,0.77,0.86,0.77,0.78,1.0,0.77,0.78,0.76,0.76,0.77,0.72,0.71,0.72,0.72,0.73,0.72,0.72,0.72,0.72,0.75,0.74,0.74,0.74,0.75,0.75,0.74,0.75,0.74,0.74,0.75,0.74,0.74,0.74,0.71,0.7,0.72,0.71,0.71,0.7,0.66,0.7,0.7
K07C6.11a.1_WBGene00005959,0.82,0.8,0.8,0.82,0.81,0.73,0.81,0.85,0.77,1.0,0.81,0.86,0.84,0.86,0.75,0.75,0.79,0.79,0.75,0.79,0.77,0.75,0.79,0.81,0.81,0.81,0.81,0.84,0.84,0.77,0.84,0.81,0.8,0.84,0.79,0.79,0.81,0.77,0.76,0.74,0.77,0.77,0.76,0.7,0.76,0.71
K07C6.11b.1_WBGene00005959,0.77,0.75,0.75,0.82,0.82,0.74,0.82,0.79,0.78,0.81,1.0,0.79,0.78,0.79,0.73,0.72,0.75,0.74,0.75,0.74,0.73,0.74,0.74,0.76,0.76,0.76,0.76,0.78,0.78,0.78,0.78,0.76,0.75,0.78,0.75,0.75,0.76,0.72,0.71,0.74,0.72,0.73,0.72,0.7,0.72,0.71
