,ENSAMXT00000035996_ENSAMXG00000041424,ENSAMXT00000052316_ENSAMXG00000036726,ENSAMXT00000006989_ENSAMXG00000006807,ENSPNAT00000008083_ENSPNAG00000010237,ENSPNAT00000000948_ENSPNAG00000002857,ENSPNAT00000001852_ENSPNAG00000013250,ENSIPUT00000016408_ENSIPUG00000010699,ENSIPUT00000016418_ENSIPUG00000010699,ENSIPUT00000016482_ENSIPUG00000010699,ENSIPUT00000016501_ENSIPUG00000010699,ENSIPUT00000016519_ENSIPUG00000010699
ENSAMXT00000035996_ENSAMXG00000041424,1.0,0.46,0.37,1e-18,0.05,0.05,0.33,0.3,0.33,0.33,0.33
ENSAMXT00000052316_ENSAMXG00000036726,0.46,1.0,1e-18,0.16,0.1,0.1,0.25,0.19,0.25,0.25,0.25
ENSAMXT00000006989_ENSAMXG00000006807,0.37,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSPNAT00000008083_ENSPNAG00000010237,1e-18,0.16,1e-18,1.0,0.36,0.36,0.26,0.25,0.26,0.26,0.26
ENSPNAT00000000948_ENSPNAG00000002857,0.05,0.1,1e-18,0.36,1.0,0.86,0.39,0.38,0.39,0.39,0.39
ENSPNAT00000001852_ENSPNAG00000013250,0.05,0.1,1e-18,0.36,0.86,1.0,0.39,0.38,0.39,0.39,0.39
ENSIPUT00000016408_ENSIPUG00000010699,0.33,0.25,1e-18,0.26,0.39,0.39,1.0,0.86,0.88,0.88,0.88
ENSIPUT00000016418_ENSIPUG00000010699,0.3,0.19,1e-18,0.25,0.38,0.38,0.86,1.0,0.86,0.86,0.86
ENSIPUT00000016482_ENSIPUG00000010699,0.33,0.25,1e-18,0.26,0.39,0.39,0.88,0.86,1.0,0.88,0.88
ENSIPUT00000016501_ENSIPUG00000010699,0.33,0.25,1e-18,0.26,0.39,0.39,0.88,0.86,0.88,1.0,0.88
ENSIPUT00000016519_ENSIPUG00000010699,0.33,0.25,1e-18,0.26,0.39,0.39,0.88,0.86,0.88,0.88,1.0
