,R02C2.6.1_WBGene00019817,R02C2.1.1_WBGene00019814,R02C2.2.1_WBGene00019815,Y39H10A.7a.1_WBGene00000498,Y39H10A.7b.1_WBGene00000498,Y39H10A.7b.2_WBGene00000498,Y43D4A.6.1_WBGene00012792,ENSMMOT00000025092_ENSMMOG00000018759,ENSPNYT00000014970_ENSPNYG00000011058,ENSHHUT00000076753_ENSHHUG00000043602
R02C2.6.1_WBGene00019817,1.0,0.79,0.8,0.72,0.7,0.7,0.77,0.64,0.68,0.7
R02C2.1.1_WBGene00019814,0.79,1.0,0.81,0.72,0.71,0.71,0.78,0.63,0.69,0.7
R02C2.2.1_WBGene00019815,0.8,0.81,1.0,0.73,0.72,0.72,0.79,0.63,0.69,0.7
Y39H10A.7a.1_WBGene00000498,0.72,0.72,0.73,1.0,0.89,0.89,0.76,0.6,0.62,0.69
Y39H10A.7b.1_WBGene00000498,0.7,0.71,0.72,0.89,1.0,0.92,0.75,0.63,0.65,0.72
Y39H10A.7b.2_WBGene00000498,0.7,0.71,0.72,0.89,0.92,1.0,0.75,0.63,0.65,0.72
Y43D4A.6.1_WBGene00012792,0.77,0.78,0.79,0.76,0.75,0.75,1.0,0.65,0.68,0.74
ENSMMOT00000025092_ENSMMOG00000018759,0.64,0.63,0.63,0.6,0.63,0.63,0.65,1.0,0.75,0.73
ENSPNYT00000014970_ENSPNYG00000011058,0.68,0.69,0.69,0.62,0.65,0.65,0.68,0.75,1.0,0.73
ENSHHUT00000076753_ENSHHUG00000043602,0.7,0.7,0.7,0.69,0.72,0.72,0.74,0.73,0.73,1.0
