,ENSSCAT00000001028_ENSSCAG00000000759,ENSSCAT00000003141_ENSSCAG00000002312,ENSSCAT00000000504_ENSSCAG00000000392,ENSSCAT00000001557_ENSSCAG00000001143,ENSSCAT00000000924_ENSSCAG00000000695,ENSSCAT00000000776_ENSSCAG00000000591,ENSSCAT00000001676_ENSSCAG00000001221,ENSSCAT00000000792_ENSSCAG00000000602,ENSSCAT00000002876_ENSSCAG00000002113,ENSSCAT00000000628_ENSSCAG00000000485,ENSSCAT00000002553_ENSSCAG00000001880,ENSSCAT00000001589_ENSSCAG00000001166,ENSSCAT00000003482_ENSSCAG00000002562,ENSSCAT00000000801_ENSSCAG00000000611,ENSSCAT00000002870_ENSSCAG00000002110,ENSSCAT00000001680_ENSSCAG00000001226,ENSSCAT00000001546_ENSSCAG00000001137,ENSSCAT00000002819_ENSSCAG00000002071,ENSSCAT00000003486_ENSSCAG00000002565,ENSSCAT00000012387_ENSSCAG00000008260
ENSSCAT00000001028_ENSSCAG00000000759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000003141_ENSSCAG00000002312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000000504_ENSSCAG00000000392,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000001557_ENSSCAG00000001143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000000924_ENSSCAG00000000695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000000776_ENSSCAG00000000591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000001676_ENSSCAG00000001221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000000792_ENSSCAG00000000602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000002876_ENSSCAG00000002113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000000628_ENSSCAG00000000485,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,1.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.58,0.58
ENSSCAT00000002553_ENSSCAG00000001880,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000001589_ENSSCAG00000001166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000003482_ENSSCAG00000002562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000000801_ENSSCAG00000000611,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000002870_ENSSCAG00000002110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000001680_ENSSCAG00000001226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000001546_ENSSCAG00000001137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000002819_ENSSCAG00000002071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78
ENSSCAT00000003486_ENSSCAG00000002565,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.58,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,1.0,1.0
ENSSCAT00000012387_ENSSCAG00000008260,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.58,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,1.0,1.0
