,ENSSFOT00015037204_ENSSFOG00015023408,ENSPKIT00000035288_ENSPKIG00000025571,ENSPKIT00000035289_ENSPKIG00000025571,ENSPKIT00000035292_ENSPKIG00000025571,ENSDCDT00000074213_ENSDCDG00000035214,ENSDCDT00000074215_ENSDCDG00000035214,ENSDCDT00000074219_ENSDCDG00000035214,ENSDCDT00000074225_ENSDCDG00000035214,ENSCHAT00000055579_ENSCHAG00000023540,ENSCHAT00000055608_ENSCHAG00000023540
ENSSFOT00015037204_ENSSFOG00015023408,1.0,0.78,0.78,0.98,0.72,0.73,0.72,0.69,0.78,0.97
ENSPKIT00000035288_ENSPKIG00000025571,0.78,1.0,1.0,0.8,0.9,0.9,0.9,0.86,0.97,0.78
ENSPKIT00000035289_ENSPKIG00000025571,0.78,1.0,1.0,0.8,0.9,0.9,0.9,0.86,0.97,0.78
ENSPKIT00000035292_ENSPKIG00000025571,0.98,0.8,0.8,1.0,0.72,0.73,0.72,0.68,0.78,0.98
ENSDCDT00000074213_ENSDCDG00000035214,0.72,0.9,0.9,0.72,1.0,0.88,0.87,0.83,0.9,0.72
ENSDCDT00000074215_ENSDCDG00000035214,0.73,0.9,0.9,0.73,0.88,1.0,0.88,0.83,0.9,0.73
ENSDCDT00000074219_ENSDCDG00000035214,0.72,0.9,0.9,0.72,0.87,0.88,1.0,0.83,0.9,0.72
ENSDCDT00000074225_ENSDCDG00000035214,0.69,0.86,0.86,0.68,0.83,0.83,0.83,1.0,0.86,0.68
ENSCHAT00000055579_ENSCHAG00000023540,0.78,0.97,0.97,0.78,0.9,0.9,0.9,0.86,1.0,0.8
ENSCHAT00000055608_ENSCHAG00000023540,0.97,0.78,0.78,0.98,0.72,0.73,0.72,0.68,0.8,1.0
