,ENSSMAT00000017085_ENSSMAG00000010354,ENSBSLT00000053371_ENSBSLG00000023168,ENSCHAT00000041571_ENSCHAG00000018035,ENSSFOT00015010660_ENSSFOG00015006835,ENSIPUT00000028375_ENSIPUG00000018471,ENSEEET00000003155_ENSEEEG00000001764,ENSAOCT00000004295_ENSAOCG00000002534,ENSAPET00000011480_ENSAPEG00000008017,ENSAPOT00000029149_ENSAPOG00000000648,ENSPKIT00000029325_ENSPKIG00000022046
ENSSMAT00000017085_ENSSMAG00000010354,1.0,0.92,0.87,0.91,0.88,0.86,0.89,0.89,0.87,0.84
ENSBSLT00000053371_ENSBSLG00000023168,0.92,1.0,0.84,0.87,0.89,0.85,0.9,0.9,0.88,0.81
ENSCHAT00000041571_ENSCHAG00000018035,0.87,0.84,1.0,0.86,0.85,0.85,0.84,0.84,0.85,0.87
ENSSFOT00015010660_ENSSFOG00015006835,0.91,0.87,0.86,1.0,0.88,0.86,0.86,0.86,0.86,0.88
ENSIPUT00000028375_ENSIPUG00000018471,0.88,0.89,0.85,0.88,1.0,0.87,0.92,0.92,0.92,0.84
ENSEEET00000003155_ENSEEEG00000001764,0.86,0.85,0.85,0.86,0.87,1.0,0.88,0.88,0.89,0.81
ENSAOCT00000004295_ENSAOCG00000002534,0.89,0.9,0.84,0.86,0.92,0.88,1.0,1.0,0.98,0.83
ENSAPET00000011480_ENSAPEG00000008017,0.89,0.9,0.84,0.86,0.92,0.88,1.0,1.0,0.98,0.83
ENSAPOT00000029149_ENSAPOG00000000648,0.87,0.88,0.85,0.86,0.92,0.89,0.98,0.98,1.0,0.84
ENSPKIT00000029325_ENSPKIG00000022046,0.84,0.81,0.87,0.88,0.84,0.81,0.83,0.83,0.84,1.0
