,F54D10.2.1_WBGene00018803,T12B5.13.1_WBGene00020459,Y119D3B.8.1_WBGene00022486,T12B5.5.1_WBGene00020452,Y119D3B.4.1_WBGene00022482,Y119D3B.6.1_WBGene00022484,Y119D3B.22.1_WBGene00044675,Y82E9BL.4.1_WBGene00022321,Y82E9BL.16.1_WBGene00022332,Y82E9BL.19.1_WBGene00194735
F54D10.2.1_WBGene00018803,1.0,0.46,0.61,0.76,0.65,0.6,0.59,0.52,0.7,0.66
T12B5.13.1_WBGene00020459,0.46,1.0,0.29,0.48,0.55,0.33,0.31,0.32,0.4,0.31
Y119D3B.8.1_WBGene00022486,0.61,0.29,1.0,0.57,0.47,0.6,0.6,0.65,0.56,0.61
T12B5.5.1_WBGene00020452,0.76,0.48,0.57,1.0,0.72,0.59,0.58,0.49,0.7,0.66
Y119D3B.4.1_WBGene00022482,0.65,0.55,0.47,0.72,1.0,0.66,0.59,0.55,0.6,0.56
Y119D3B.6.1_WBGene00022484,0.6,0.33,0.6,0.59,0.66,1.0,0.81,0.54,0.59,0.56
Y119D3B.22.1_WBGene00044675,0.59,0.31,0.6,0.58,0.59,0.81,1.0,0.54,0.59,0.55
Y82E9BL.4.1_WBGene00022321,0.52,0.32,0.65,0.49,0.55,0.54,0.54,1.0,0.5,0.54
Y82E9BL.16.1_WBGene00022332,0.7,0.4,0.56,0.7,0.6,0.59,0.59,0.5,1.0,0.6
Y82E9BL.19.1_WBGene00194735,0.66,0.31,0.61,0.66,0.56,0.56,0.55,0.54,0.6,1.0
