,ENSPCIT00000001601_ENSPCIG00000001033,ENSPCIT00000001624_ENSPCIG00000001033,ENSVURT00010002141_ENSVURG00010001573,ENSVURT00010002155_ENSVURG00010001573,ENSMEUT00000016625_ENSMEUG00000016554,ENSMODT00000021219_ENSMODG00000016706,ENSOANT00000040369_ENSOANG00000028446,ENSCPOT00000031631_ENSCPOG00000036890,ENSCPOT00000040859_ENSCPOG00000036890,ENSODET00000010067_ENSODEG00000007418,ENSCLAT00000017610_ENSCLAG00000011981,ENSCLAT00000017611_ENSCLAG00000011981
ENSPCIT00000001601_ENSPCIG00000001033,1.0,0.77,0.59,0.77,0.1,0.73,0.47,0.42,0.5,0.25,0.57,0.5
ENSPCIT00000001624_ENSPCIG00000001033,0.77,1.0,0.59,0.77,0.1,0.73,0.47,0.42,0.5,0.25,0.57,0.5
ENSVURT00010002141_ENSVURG00010001573,0.59,0.59,1.0,0.59,0.08,0.56,0.54,0.36,0.44,0.28,0.5,0.43
ENSVURT00010002155_ENSVURG00010001573,0.77,0.77,0.59,1.0,0.1,0.73,0.47,0.42,0.5,0.25,0.57,0.5
ENSMEUT00000016625_ENSMEUG00000016554,0.1,0.1,0.08,0.1,1.0,0.1,0.07,0.06,0.08,0.09,0.08,0.06
ENSMODT00000021219_ENSMODG00000016706,0.73,0.73,0.56,0.73,0.1,1.0,0.43,0.42,0.5,0.25,0.57,0.5
ENSOANT00000040369_ENSOANG00000028446,0.47,0.47,0.54,0.47,0.07,0.43,1.0,0.35,0.44,0.26,0.5,0.39
ENSCPOT00000031631_ENSCPOG00000036890,0.42,0.42,0.36,0.42,0.06,0.42,0.35,1.0,0.68,0.31,0.53,0.41
ENSCPOT00000040859_ENSCPOG00000036890,0.5,0.5,0.44,0.5,0.08,0.5,0.44,0.68,1.0,0.29,0.62,0.5
ENSODET00000010067_ENSODEG00000007418,0.25,0.25,0.28,0.25,0.09,0.25,0.26,0.31,0.29,1.0,0.32,0.24
ENSCLAT00000017610_ENSCLAG00000011981,0.57,0.57,0.5,0.57,0.08,0.57,0.5,0.53,0.62,0.32,1.0,0.57
ENSCLAT00000017611_ENSCLAG00000011981,0.5,0.5,0.43,0.5,0.06,0.5,0.39,0.41,0.5,0.24,0.57,1.0
