,FBtr0084866_FBgn0027090,Y41E3.4a.1_WBGene00001336,Y41E3.4b.1_WBGene00001336,Y41E3.4b.2_WBGene00001336,Y41E3.4c.1_WBGene00001336,Y41E3.4d.1_WBGene00001336,ENSCSAVT00000011759_ENSCSAVG00000006819,ENSCSAVT00000011762_ENSCSAVG00000006819,ENSPTET00000009050_ENSPTEG00000006804,YOR168W_mRNA_YOR168W
FBtr0084866_FBgn0027090,1.0,0.28,0.35,0.35,0.44,0.44,0.24,0.24,0.44,0.56
Y41E3.4a.1_WBGene00001336,0.28,1.0,0.68,0.68,0.52,0.4,0.35,0.36,0.21,0.24
Y41E3.4b.1_WBGene00001336,0.35,0.68,1.0,0.92,0.63,0.46,0.35,0.36,0.27,0.3
Y41E3.4b.2_WBGene00001336,0.35,0.68,0.92,1.0,0.63,0.46,0.35,0.36,0.27,0.3
Y41E3.4c.1_WBGene00001336,0.44,0.52,0.63,0.63,1.0,0.54,0.35,0.36,0.31,0.36
Y41E3.4d.1_WBGene00001336,0.44,0.4,0.46,0.46,0.54,1.0,0.35,0.35,0.32,0.51
ENSCSAVT00000011759_ENSCSAVG00000006819,0.24,0.35,0.35,0.35,0.35,0.35,1.0,0.84,0.23,0.21
ENSCSAVT00000011762_ENSCSAVG00000006819,0.24,0.36,0.36,0.36,0.36,0.35,0.84,1.0,0.23,0.22
ENSPTET00000009050_ENSPTEG00000006804,0.44,0.21,0.27,0.27,0.31,0.32,0.23,0.23,1.0,0.42
YOR168W_mRNA_YOR168W,0.56,0.24,0.3,0.3,0.36,0.51,0.21,0.22,0.42,1.0
