,ENSVURT00010007102_ENSVURG00010004871,ENSMODT00000036941_ENSMODG00000024731,ENSSHAT00000010559_ENSSHAG00000009033,ENST00000267984_ENSG00000140406,ENSPPYT00000007934_ENSPPYG00000006718,ENSTGET00000003923_ENSTGEG00000002739,ENSMMUT00000082018_ENSMMUG00000052973,ENSCSAT00000019819_ENSCSAG00000019729,ENSPTET00000027665_ENSPTEG00000020299,ENSCCAT00000003888_ENSCCAG00000003557,ENSCJAT00000015284_ENSCJAG00000007827
ENSVURT00010007102_ENSVURG00010004871,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSMODT00000036941_ENSMODG00000024731,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSSHAT00000010559_ENSSHAG00000009033,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENST00000267984_ENSG00000140406,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSPPYT00000007934_ENSPPYG00000006718,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
ENSTGET00000003923_ENSTGEG00000002739,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSMMUT00000082018_ENSMMUG00000052973,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSCSAT00000019819_ENSCSAG00000019729,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSPTET00000027665_ENSPTEG00000020299,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSCCAT00000003888_ENSCCAG00000003557,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
ENSCJAT00000015284_ENSCJAG00000007827,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
