,ENSCPOT00000042835_ENSCPOG00000032310,ENSCAPT00000001319_ENSCAPG00000001149,ENSCLAT00000005905_ENSCLAG00000004115,ENSCLAT00000005906_ENSCLAG00000004115,ENSODET00000020915_ENSODEG00000015237,ENSHGLT00000018440_ENSHGLG00000013068,ENSHGLT00100018016_ENSHGLG00100013145,ENSHGLT00100020666_ENSHGLG00100015068,ENSHGLT00000002257_ENSHGLG00000001673,ENSFDAT00000014114_ENSFDAG00000010349,ENSFDAT00000014131_ENSFDAG00000010349,ENSSTOT00000026593_ENSSTOG00000026336,ENSSTOT00000035879_ENSSTOG00000026336,ENSUPAT00010034327_ENSUPAG00010023723,ENSUPAT00010034328_ENSUPAG00010023723,ENSSDAT00000001364_ENSSDAG00000001129,ENSSDAT00000001381_ENSSDAG00000001129,ENSMMMT00000018414_ENSMMMG00000014361,ENSMMMT00000018419_ENSMMMG00000014361
ENSCPOT00000042835_ENSCPOG00000032310,1.0,0.56,0.92,0.72,0.66,0.91,0.76,0.62,0.65,0.53,0.76,0.74,0.69,0.45,0.69,0.8,0.69,0.79,0.68
ENSCAPT00000001319_ENSCAPG00000001149,0.56,1.0,0.54,1e-18,0.48,0.53,0.47,0.5,0.51,0.46,0.46,0.45,1e-18,0.03,1e-18,0.5,1e-18,0.5,1e-18
ENSCLAT00000005905_ENSCLAG00000004115,0.92,0.54,1.0,0.75,0.66,0.91,0.77,0.62,0.65,0.52,0.76,0.74,0.69,0.44,0.69,0.79,0.69,0.79,0.68
ENSCLAT00000005906_ENSCLAG00000004115,0.72,1e-18,0.75,1.0,0.6,0.71,0.67,0.53,0.54,0.52,0.68,0.65,0.93,0.65,0.93,0.65,0.93,0.65,0.93
ENSODET00000020915_ENSODEG00000015237,0.66,0.48,0.66,0.6,1.0,0.66,0.67,0.54,0.56,0.62,0.66,0.64,0.59,0.37,0.59,0.6,0.58,0.6,0.58
ENSHGLT00000018440_ENSHGLG00000013068,0.91,0.53,0.91,0.71,0.66,1.0,0.8,0.65,0.68,0.53,0.77,0.75,0.7,0.44,0.7,0.8,0.69,0.8,0.69
ENSHGLT00100018016_ENSHGLG00100013145,0.76,0.47,0.77,0.67,0.67,0.8,1.0,0.61,0.68,0.58,0.93,0.84,0.66,0.58,0.66,0.8,0.66,0.79,0.65
ENSHGLT00100020666_ENSHGLG00100015068,0.62,0.5,0.62,0.53,0.54,0.65,0.61,1.0,0.83,0.47,0.59,0.6,0.52,0.35,0.52,0.64,0.52,0.64,0.52
ENSHGLT00000002257_ENSHGLG00000001673,0.65,0.51,0.65,0.54,0.56,0.68,0.68,0.83,1.0,0.47,0.66,0.68,0.53,0.44,0.53,0.73,0.53,0.73,0.53
ENSFDAT00000014114_ENSFDAG00000010349,0.53,0.46,0.52,0.52,0.62,0.53,0.58,0.47,0.47,1.0,0.6,0.54,0.51,0.25,0.51,0.49,0.51,0.49,0.5
ENSFDAT00000014131_ENSFDAG00000010349,0.76,0.46,0.76,0.68,0.66,0.77,0.93,0.59,0.66,0.6,1.0,0.83,0.65,0.57,0.65,0.79,0.65,0.79,0.65
ENSSTOT00000026593_ENSSTOG00000026336,0.74,0.45,0.74,0.65,0.64,0.75,0.84,0.6,0.68,0.54,0.83,1.0,0.71,0.65,0.71,0.9,0.71,0.89,0.71
ENSSTOT00000035879_ENSSTOG00000026336,0.69,1e-18,0.69,0.93,0.59,0.7,0.66,0.52,0.53,0.51,0.65,0.71,1.0,0.71,0.99,0.71,0.99,0.71,0.99
ENSUPAT00010034327_ENSUPAG00010023723,0.45,0.03,0.44,0.65,0.37,0.44,0.58,0.35,0.44,0.25,0.57,0.65,0.71,1.0,0.71,0.55,0.71,0.55,0.71
ENSUPAT00010034328_ENSUPAG00010023723,0.69,1e-18,0.69,0.93,0.59,0.7,0.66,0.52,0.53,0.51,0.65,0.71,0.99,0.71,1.0,0.71,1.0,0.71,0.99
ENSSDAT00000001364_ENSSDAG00000001129,0.8,0.5,0.79,0.65,0.6,0.8,0.8,0.64,0.73,0.49,0.79,0.9,0.71,0.55,0.71,1.0,0.71,0.94,0.71
ENSSDAT00000001381_ENSSDAG00000001129,0.69,1e-18,0.69,0.93,0.58,0.69,0.66,0.52,0.53,0.51,0.65,0.71,0.99,0.71,1.0,0.71,1.0,0.71,0.99
ENSMMMT00000018414_ENSMMMG00000014361,0.79,0.5,0.79,0.65,0.6,0.8,0.79,0.64,0.73,0.49,0.79,0.89,0.71,0.55,0.71,0.94,0.71,1.0,0.71
ENSMMMT00000018419_ENSMMMG00000014361,0.68,1e-18,0.68,0.93,0.58,0.69,0.65,0.52,0.53,0.5,0.65,0.71,0.99,0.71,0.99,0.71,0.99,0.71,1.0
