,ENSVURT00010004340_ENSVURG00010003057,ENSSHAT00000014474_ENSSHAG00000012264,ENSSHAT00000014475_ENSSHAG00000012264,ENSMODT00000031805_ENSMODG00000019545,ENSMODT00000087703_ENSMODG00000019545,ENSPTRT00000096431_ENSPTRG00000013160,ENSPTRT00000059351_ENSPTRG00000013160,ENSPTRT00000024419_ENSPTRG00000013160,ENSPTRT00000085441_ENSPTRG00000013160,ENSPPAT00000010569_ENSPPAG00000009647,ENSPPAT00000010665_ENSPPAG00000009647,ENSPPAT00000010815_ENSPPAG00000009647,ENST00000402452_ENSG00000244588,ENST00000409241_ENSG00000244588,ENST00000246108_ENSG00000244588
ENSVURT00010004340_ENSVURG00010003057,1.0,0.85,0.8,0.75,0.7,0.76,0.59,0.03,0.03,0.76,0.59,0.03,0.59,0.76,0.29
ENSSHAT00000014474_ENSSHAG00000012264,0.85,1.0,0.93,0.82,0.78,0.75,0.59,0.03,0.03,0.75,0.59,0.03,0.59,0.75,0.29
ENSSHAT00000014475_ENSSHAG00000012264,0.8,0.93,1.0,0.8,0.75,0.72,0.57,0.03,0.03,0.72,0.57,0.03,0.57,0.72,0.28
ENSMODT00000031805_ENSMODG00000019545,0.75,0.82,0.8,1.0,0.91,0.75,0.6,0.02,0.03,0.75,0.6,0.03,0.6,0.75,0.28
ENSMODT00000087703_ENSMODG00000019545,0.7,0.78,0.75,0.91,1.0,0.68,0.56,0.03,0.04,0.68,0.56,0.04,0.56,0.68,0.3
ENSPTRT00000096431_ENSPTRG00000013160,0.76,0.75,0.72,0.75,0.68,1.0,0.77,0.03,0.04,0.98,0.77,0.04,0.77,0.98,0.31
ENSPTRT00000059351_ENSPTRG00000013160,0.59,0.59,0.57,0.6,0.56,0.77,1.0,0.06,0.05,0.77,0.95,0.05,0.95,0.77,0.32
ENSPTRT00000024419_ENSPTRG00000013160,0.03,0.03,0.03,0.02,0.03,0.03,0.06,1.0,0.67,0.03,0.06,0.67,0.06,0.03,0.2
ENSPTRT00000085441_ENSPTRG00000013160,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.67,1.0,0.04,0.05,1.0,0.05,0.04,0.2
ENSPPAT00000010569_ENSPPAG00000009647,0.76,0.75,0.72,0.75,0.68,0.98,0.77,0.03,0.04,1.0,0.77,0.04,0.77,0.98,0.31
ENSPPAT00000010665_ENSPPAG00000009647,0.59,0.59,0.57,0.6,0.56,0.77,0.95,0.06,0.05,0.77,1.0,0.05,0.95,0.77,0.32
ENSPPAT00000010815_ENSPPAG00000009647,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0.67,1.0,0.04,0.05,1.0,0.05,0.04,0.2
ENST00000402452_ENSG00000244588,0.59,0.59,0.57,0.6,0.56,0.77,0.95,0.06,0.05,0.77,0.95,0.05,1.0,0.77,0.32
ENST00000409241_ENSG00000244588,0.76,0.75,0.72,0.75,0.68,0.98,0.77,0.03,0.04,0.98,0.77,0.04,0.77,1.0,0.31
ENST00000246108_ENSG00000244588,0.29,0.29,0.28,0.28,0.3,0.31,0.32,0.2,0.2,0.31,0.32,0.2,0.32,0.31,1.0
