,ENSPLAT00000025540_ENSPLAG00000020739,ENSPMET00000018091_ENSPMEG00000013135,ENSPMET00000018112_ENSPMEG00000013135,ENSPMET00000018117_ENSPMEG00000013135,ENSPRET00000007566_ENSPREG00000005131,ENSXCOT00000011297_ENSXCOG00000008443,ENSXMAT00000032800_ENSXMAG00000014548,ENSXMAT00000035343_ENSXMAG00000014548,ENSXMAT00000014588_ENSXMAG00000014548,ENSGAFT00000012421_ENSGAFG00000008307,ENSGAFT00000012427_ENSGAFG00000008307,ENSCVAT00000022410_ENSCVAG00000017238,ENSCVAT00000022485_ENSCVAG00000017238,ENSCVAT00000031166_ENSCVAG00000017238,ENSFHET00000015689_ENSFHEG00000001053,ENSFHET00000015691_ENSFHEG00000001053,ENSKMAT00000017960_ENSKMAG00000013198,ENSKMAT00000017972_ENSKMAG00000013198
ENSPLAT00000025540_ENSPLAG00000020739,1.0,1.0,0.73,0.45,0.72,0.89,0.44,0.72,0.88,0.71,0.71,0.51,0.67,0.75,0.75,0.67,0.64,0.66
ENSPMET00000018091_ENSPMEG00000013135,1.0,1.0,0.73,0.45,0.72,0.89,0.44,0.72,0.88,0.72,0.71,0.51,0.68,0.75,0.75,0.67,0.64,0.66
ENSPMET00000018112_ENSPMEG00000013135,0.73,0.73,1.0,0.6,0.87,0.77,0.58,0.86,0.76,0.86,0.63,0.46,0.75,0.83,0.83,0.59,0.71,0.64
ENSPMET00000018117_ENSPMEG00000013135,0.45,0.45,0.6,1.0,0.58,0.48,0.83,0.58,0.48,0.58,0.39,0.28,0.53,0.55,0.55,0.36,0.47,0.4
ENSPRET00000007566_ENSPREG00000005131,0.72,0.72,0.87,0.58,1.0,0.76,0.58,0.86,0.76,0.86,0.62,0.46,0.75,0.83,0.83,0.59,0.71,0.63
ENSXCOT00000011297_ENSXCOG00000008443,0.89,0.89,0.77,0.48,0.76,1.0,0.49,0.78,0.99,0.77,0.7,0.52,0.72,0.79,0.8,0.65,0.69,0.71
ENSXMAT00000032800_ENSXMAG00000014548,0.44,0.44,0.58,0.83,0.58,0.49,1.0,0.6,0.49,0.58,0.39,0.28,0.53,0.55,0.55,0.36,0.48,0.4
ENSXMAT00000035343_ENSXMAG00000014548,0.72,0.72,0.86,0.58,0.86,0.78,0.6,1.0,0.77,0.87,0.63,0.46,0.75,0.83,0.83,0.59,0.72,0.64
ENSXMAT00000014588_ENSXMAG00000014548,0.88,0.88,0.76,0.48,0.76,0.99,0.49,0.77,1.0,0.76,0.69,0.53,0.72,0.79,0.79,0.65,0.68,0.71
ENSGAFT00000012421_ENSGAFG00000008307,0.71,0.72,0.86,0.58,0.86,0.77,0.58,0.87,0.76,1.0,0.64,0.46,0.75,0.82,0.83,0.59,0.72,0.64
ENSGAFT00000012427_ENSGAFG00000008307,0.71,0.71,0.63,0.39,0.62,0.7,0.39,0.63,0.69,0.64,1.0,0.55,0.54,0.6,0.6,0.59,0.53,0.59
ENSCVAT00000022410_ENSCVAG00000017238,0.51,0.51,0.46,0.28,0.46,0.52,0.28,0.46,0.53,0.46,0.55,1.0,0.46,0.5,0.45,0.62,0.4,0.48
ENSCVAT00000022485_ENSCVAG00000017238,0.67,0.68,0.75,0.53,0.75,0.72,0.53,0.75,0.72,0.75,0.54,0.46,1.0,0.93,0.87,0.55,0.7,0.57
ENSCVAT00000031166_ENSCVAG00000017238,0.75,0.75,0.83,0.55,0.83,0.79,0.55,0.83,0.79,0.82,0.6,0.5,0.93,1.0,0.94,0.59,0.76,0.63
ENSFHET00000015689_ENSFHEG00000001053,0.75,0.75,0.83,0.55,0.83,0.8,0.55,0.83,0.79,0.83,0.6,0.45,0.87,0.94,1.0,0.63,0.76,0.63
ENSFHET00000015691_ENSFHEG00000001053,0.67,0.67,0.59,0.36,0.59,0.65,0.36,0.59,0.65,0.59,0.59,0.62,0.55,0.59,0.63,1.0,0.52,0.65
ENSKMAT00000017960_ENSKMAG00000013198,0.64,0.64,0.71,0.47,0.71,0.69,0.48,0.72,0.68,0.72,0.53,0.4,0.7,0.76,0.76,0.52,1.0,0.66
ENSKMAT00000017972_ENSKMAG00000013198,0.66,0.66,0.64,0.4,0.63,0.71,0.4,0.64,0.71,0.64,0.59,0.48,0.57,0.63,0.63,0.65,0.66,1.0
