,ENSEBUT00000026737_ENSEBUG00000016115,ENSACLT00000012896_ENSACLG00000008568,ENSDART00000115182_ENSDARG00000016212,ENSDART00000170215_ENSDARG00000016212,ENSNSUT00000028495_ENSNSUG00000019235,ENSNSUT00000028496_ENSNSUG00000019235,ENSCPUT00000019272_ENSCPUG00000011253,ENSNPET00000001432_ENSNPEG00000001098,ENSCCNT00000033689_ENSCCNG00000025788,ENSDORT00000027843_ENSDORG00000028083,ENSNGAT00000004992_ENSNGAG00000003978,ENSRNOT00000072628_ENSRNOG00000047244
ENSEBUT00000026737_ENSEBUG00000016115,1.0,0.19,0.18,0.18,0.36,0.39,0.33,0.39,0.39,0.39,0.39,0.43
ENSACLT00000012896_ENSACLG00000008568,0.19,1.0,0.63,0.63,0.24,0.25,0.15,0.25,0.25,0.23,0.23,0.26
ENSDART00000115182_ENSDARG00000016212,0.18,0.63,1.0,0.87,0.22,0.23,0.14,0.24,0.23,0.22,0.22,0.25
ENSDART00000170215_ENSDARG00000016212,0.18,0.63,0.87,1.0,0.23,0.24,0.14,0.24,0.24,0.22,0.22,0.25
ENSNSUT00000028495_ENSNSUG00000019235,0.36,0.24,0.22,0.23,1.0,0.69,0.48,0.68,0.67,0.68,0.68,0.67
ENSNSUT00000028496_ENSNSUG00000019235,0.39,0.25,0.23,0.24,0.69,1.0,0.48,0.79,0.74,0.68,0.68,0.74
ENSCPUT00000019272_ENSCPUG00000011253,0.33,0.15,0.14,0.14,0.48,0.48,1.0,0.54,0.48,0.53,0.53,0.49
ENSNPET00000001432_ENSNPEG00000001098,0.39,0.25,0.24,0.24,0.68,0.79,0.54,1.0,0.74,0.68,0.68,0.74
ENSCCNT00000033689_ENSCCNG00000025788,0.39,0.25,0.23,0.24,0.67,0.74,0.48,0.74,1.0,0.69,0.69,0.74
ENSDORT00000027843_ENSDORG00000028083,0.39,0.23,0.22,0.22,0.68,0.68,0.53,0.68,0.69,1.0,0.83,0.69
ENSNGAT00000004992_ENSNGAG00000003978,0.39,0.23,0.22,0.22,0.68,0.68,0.53,0.68,0.69,0.83,1.0,0.69
ENSRNOT00000072628_ENSRNOG00000047244,0.43,0.26,0.25,0.25,0.67,0.74,0.49,0.74,0.74,0.69,0.69,1.0
